shell,N,theta_f_old,theta_r_old,W_D_old,theta_f_exact,theta_r_exact,W_D_exact,delta_W_D,W_DsqrtN_old,W_DsqrtN_exact
3,37,3.628701115061138,1.885550218914596,1.7431508961465418,3.628708055349369,1.8855866739154445,1.7431213814339246,-2.951471261725125e-05,10.603172955735948,10.602993424747947
4,61,2.8146712601522075,1.4621980264466852,1.3524732337055223,2.814688440771443,1.4622461504184618,1.3524422903529814,-3.094335254094638e-05,10.56315363522098,10.562911959911826
5,91,2.2997973745438123,1.1945751874295927,1.1052221871142196,2.2997980735356016,1.1946152810815147,1.105182792454087,-3.939466013269666e-05,10.543147705640287,10.542771904534016
6,127,1.944451626443851,1.0099068387052372,0.9345447877386137,1.9444693296175262,1.009973479607291,0.9344958500102352,-4.8937728378550815e-05,10.531784889407641,10.531233389217366
7,169,1.6843590609994115,0.8748453306562556,0.8095137303431559,1.684386601737659,0.8748473145585055,0.8095392871791535,2.5556835997586624e-05,10.523678494461027,10.524010733328995
8,217,1.4857082880700234,0.7716088623422723,0.7140994257277511,1.485740936443503,0.7716517294394153,0.7140892070040877,-1.0218723663357743e-05,10.51934141436434,10.519190883164956
9,271,1.3290248783037237,0.6901572424690174,0.6388676358347063,1.329044894283454,0.6902546419054882,0.6387902523779658,-7.73834567404652e-05,10.517088618420704,10.51581472594832
10,331,1.2022568639379347,0.6243931387895457,0.577863725148389,1.2022702823564855,0.6244038556324304,0.5778664267240551,2.7015756660642154e-06,10.513309016804625,10.513358167665933
11,397,1.0975728418190442,0.5699512201560202,0.5276216216630241,1.0975888226285084,0.5700310023704264,0.5275578202580821,-6.380140494199882e-05,10.512786335296118,10.511515101308525
12,469,1.009638955416536,0.5243606899838106,0.48527826543272534,1.009685311600609,0.5243741250164524,0.4853111865841566,3.29211514312755e-05,10.509384026133695,10.510096980015248
