T_star,old_k_forward,old_k_reverse,exact_k_forward,exact_k_reverse,old_D,exact_D,delta_D
0.005,0,998,0,998,0.998,0.998,0.0
0.01,1,988,1,988,0.987,0.987,0.0
0.015,24,995,24,995,0.971,0.971,0.0
0.02,74,993,74,993,0.919,0.919,0.0
0.03,214,992,214,992,0.778,0.778,0.0
0.04,381,990,381,990,0.609,0.609,0.0
0.05,496,997,496,997,0.501,0.501,0.0
0.06,592,999,592,999,0.407,0.407,0.0
0.08,771,999,771,999,0.228,0.228,0.0
0.1,850,997,850,997,0.147,0.147,0.0
0.12,909,999,909,999,0.09,0.09,0.0
0.16,967,999,967,999,0.032,0.032,0.0
