migration_action,repo_target,source_path,sha256,size_bytes,status,size_risk,reason,final_decision,final_reason
ARCHIVE,archive/legacy/janus_n10_rewrite/N10_ClaimFrozen_ManuscriptBundle.zip,janus_n10_rewrite/N10_ClaimFrozen_ManuscriptBundle.zip,be9a06c941ecdb7a5e415c796511745e8a764e2894baefb62523a4996d053ec0,3958286,LEGACY,OK,"Superseded draft/config/output retained for provenance, not current authority.",EXCLUDE_REDUNDANT_ZIP,ZIP bundle excluded from git; expanded contents tracked. Unique nested-only members extracted: 0. Bundle SHA-256 retained in excluded-bundle ledger.
ARCHIVE,figures/publication/N18_PublicationFigure_AuditBundle.zip,janus_n18_publication_figures/N18_PublicationFigure_AuditBundle.zip,7da6f5f196b9192faf18c4021c74c914b0393a9c2d50c4412e9b21784c8bd1ad,11386552,ARCHIVE_BUNDLE,OK,Historical bundle; contents may also exist unpacked.,EXCLUDE_REDUNDANT_ZIP,ZIP bundle excluded from git; expanded contents tracked. Unique nested-only members extracted: 0. Bundle SHA-256 retained in excluded-bundle ledger.
ARCHIVE,research-os/janus_n11_citation_novelty/N11_CitationNovelty_AuditBundle.zip,janus_n11_citation_novelty/N11_CitationNovelty_AuditBundle.zip,8aa58c5292fae2ac7e21609748feec8ea7863fc1b2b6e69902e1832e96158801,3746508,ARCHIVE_BUNDLE,OK,Historical bundle; contents may also exist unpacked.,EXCLUDE_REDUNDANT_ZIP,ZIP bundle excluded from git; expanded contents tracked. Unique nested-only members extracted: 0. Bundle SHA-256 retained in excluded-bundle ledger.
ARCHIVE,research-os/janus_n13_claim_figure_revision/N13_ClaimFigureThermalRevision_Bundle.zip,janus_n13_claim_figure_revision/N13_ClaimFigureThermalRevision_Bundle.zip,1668fb81906cc5f6187339176a5a41334c2581d4d6d550a00dc7cdd7c37bf92d,4743507,ARCHIVE_BUNDLE,OK,Historical bundle; contents may also exist unpacked.,EXCLUDE_REDUNDANT_ZIP,ZIP bundle excluded from git; expanded contents tracked. Unique nested-only members extracted: 0. Bundle SHA-256 retained in excluded-bundle ledger.
ARCHIVE,research-os/janus_n15_targeted_revision/N15_RedTeamClosure_Bundle.zip,janus_n15_targeted_revision/N15_RedTeamClosure_Bundle.zip,fef1250d0230ef4665ca178ee43e212917ec1ce2e02dfdeda7b558f5a3a0164a,3904403,ARCHIVE_BUNDLE,OK,Historical bundle; contents may also exist unpacked.,EXCLUDE_REDUNDANT_ZIP,ZIP bundle excluded from git; expanded contents tracked. Unique nested-only members extracted: 4. Bundle SHA-256 retained in excluded-bundle ledger.
ARCHIVE,research-os/janus_n15_targeted_revision/N16_FiveReviewerAudit_Bundle.zip,janus_n15_targeted_revision/N16_FiveReviewerAudit_Bundle.zip,e79f7c3b82d8d98b23249bc493301612d37171f2ba5f5666fe9a014eee1e9ec3,3914017,ARCHIVE_BUNDLE,OK,Historical bundle; contents may also exist unpacked.,EXCLUDE_REDUNDANT_ZIP,ZIP bundle excluded from git; expanded contents tracked. Unique nested-only members extracted: 2. Bundle SHA-256 retained in excluded-bundle ledger.
ARCHIVE,research-os/janus_n15_targeted_revision/N16_ReviewClosure_TargetedRevision_Bundle.zip,janus_n15_targeted_revision/N16_ReviewClosure_TargetedRevision_Bundle.zip,54c82cdb6a1b48e5fa7475cbfa346b8d286d595a1474f802b17de1c3082f8812,3917436,ARCHIVE_BUNDLE,OK,Historical bundle; contents may also exist unpacked.,EXCLUDE_REDUNDANT_ZIP,ZIP bundle excluded from git; expanded contents tracked. Unique nested-only members extracted: 0. Bundle SHA-256 retained in excluded-bundle ledger.
ARCHIVE,research-os/janus_n17_upstream_strengthening/N17_UpstreamStrengthening_Bundle.zip,janus_n17_upstream_strengthening/N17_UpstreamStrengthening_Bundle.zip,15b0914f12d233993e353a5626c3b15eba0c187fa04959f836ae2dcc0735021a,3958913,ARCHIVE_BUNDLE,OK,Historical bundle; contents may also exist unpacked.,EXCLUDE_REDUNDANT_ZIP,ZIP bundle excluded from git; expanded contents tracked. Unique nested-only members extracted: 0. Bundle SHA-256 retained in excluded-bundle ledger.
ARCHIVE,research-os/janus_n2_gate/Janus_MoSSe_CanonicalUnguided_BaselineRelease.zip,janus_n2_gate/Janus_MoSSe_CanonicalUnguided_BaselineRelease.zip,aab51d38ba587bc7d1f95765be159740698d575c0a82c3906c4c863ff3bcdffc,6008071,ARCHIVE_BUNDLE,OK,Historical bundle; contents may also exist unpacked.,EXCLUDE_REDUNDANT_ZIP,ZIP bundle excluded from git; expanded contents tracked. Unique nested-only members extracted: 0. Bundle SHA-256 retained in excluded-bundle ledger.
ARCHIVE,research-os/janus_n2_gate/N2_FiniteSizeShape_GateBundle.zip,janus_n2_gate/N2_FiniteSizeShape_GateBundle.zip,94938f7f661a5e484abed418e6b562d6ca5819f4eda23271070b3fbd27dd456e,279341,ARCHIVE_BUNDLE,OK,Historical bundle; contents may also exist unpacked.,EXCLUDE_REDUNDANT_ZIP,ZIP bundle excluded from git; expanded contents tracked. Unique nested-only members extracted: 0. Bundle SHA-256 retained in excluded-bundle ledger.
ARCHIVE,research-os/janus_n3_gate/N3_BoundaryRegistry_GateBundle.zip,janus_n3_gate/N3_BoundaryRegistry_GateBundle.zip,33013992b4a086ed506a3db0070e872a387b343485b05fc6b4f77468a3bb568c,16380,ARCHIVE_BUNDLE,OK,Historical bundle; contents may also exist unpacked.,EXCLUDE_REDUNDANT_ZIP,ZIP bundle excluded from git; expanded contents tracked. Unique nested-only members extracted: 0. Bundle SHA-256 retained in excluded-bundle ledger.
ARCHIVE,research-os/janus_n4_gate/N4_OddSector_GaugeGateBundle.zip,janus_n4_gate/N4_OddSector_GaugeGateBundle.zip,1a3e314c3520256ba27681ec541b8bbdc12723c7ddb972a3f0f9db295de0a575,150187,ARCHIVE_BUNDLE,OK,Historical bundle; contents may also exist unpacked.,EXCLUDE_REDUNDANT_ZIP,ZIP bundle excluded from git; expanded contents tracked. Unique nested-only members extracted: 0. Bundle SHA-256 retained in excluded-bundle ledger.
ARCHIVE,research-os/janus_n5_gate/N5_VectorModeLocking_Floquet_GateBundle.zip,janus_n5_gate/N5_VectorModeLocking_Floquet_GateBundle.zip,4d1403ae3e03486675e3a24b888ec84de0362683318e22997468802233fa00fa,46678,ARCHIVE_BUNDLE,OK,Historical bundle; contents may also exist unpacked.,EXCLUDE_REDUNDANT_ZIP,ZIP bundle excluded from git; expanded contents tracked. Unique nested-only members extracted: 0. Bundle SHA-256 retained in excluded-bundle ledger.
ARCHIVE,research-os/janus_n8_gate/Janus_MoSSe_AuditResolved_ReproducibilityRelease.zip,janus_n8_gate/Janus_MoSSe_AuditResolved_ReproducibilityRelease.zip,fa39097305aa305fd11bb270ac2a21a96838214f09d2b54ab185515ba4b88fa2,5952036,ARCHIVE_BUNDLE,OK,Historical bundle; contents may also exist unpacked.,EXCLUDE_REDUNDANT_ZIP,ZIP bundle excluded from git; expanded contents tracked. Unique nested-only members extracted: 0. Bundle SHA-256 retained in excluded-bundle ledger.
ARCHIVE,research-os/janus_n8_gate/Janus_MoSSe_ElasticValidation_CodeAndData.zip,janus_n8_gate/Janus_MoSSe_ElasticValidation_CodeAndData.zip,531860485408aa95433c98e5125461bb847268276e27179ff7cf1be8656dea2a,133353,ARCHIVE_BUNDLE,OK,Historical bundle; contents may also exist unpacked.,EXCLUDE_REDUNDANT_ZIP,ZIP bundle excluded from git; expanded contents tracked. Unique nested-only members extracted: 0. Bundle SHA-256 retained in excluded-bundle ledger.
ARCHIVE,research-os/janus_n8_gate/Janus_MoSSe_WorkflowValidated_SubmissionBundle.zip,janus_n8_gate/Janus_MoSSe_WorkflowValidated_SubmissionBundle.zip,7e521be4ab471b54008397ef315cc1bba6d68b30d5d9cbb773324d17a94e6355,3519570,ARCHIVE_BUNDLE,OK,Historical bundle; contents may also exist unpacked.,EXCLUDE_REDUNDANT_ZIP,ZIP bundle excluded from git; expanded contents tracked. Unique nested-only members extracted: 0. Bundle SHA-256 retained in excluded-bundle ledger.
ARCHIVE,research-os/janus_n8_gate/N8_ThermalElasticity_GateBundle.zip,janus_n8_gate/N8_ThermalElasticity_GateBundle.zip,a985a498de6f3d7657015308c1f4fd184be535342c404b69a11f38582a37df68,149696,ARCHIVE_BUNDLE,OK,Historical bundle; contents may also exist unpacked.,EXCLUDE_REDUNDANT_ZIP,ZIP bundle excluded from git; expanded contents tracked. Unique nested-only members extracted: 0. Bundle SHA-256 retained in excluded-bundle ledger.
ARCHIVE,research-os/janus_n9_claim_matrix/N9_ClaimEvidence_GateBundle.zip,janus_n9_claim_matrix/N9_ClaimEvidence_GateBundle.zip,4b572712bbc81c89ed0f674908f8fa2bca16d7addb38078228b2844668bb1763,47826,ARCHIVE_BUNDLE,OK,Historical bundle; contents may also exist unpacked.,EXCLUDE_REDUNDANT_ZIP,ZIP bundle excluded from git; expanded contents tracked. Unique nested-only members extracted: 0. Bundle SHA-256 retained in excluded-bundle ledger.
ARCHIVE,research-os/janus_redteam_closure/N14_RedTeamClosure_Bundle.zip,janus_redteam_closure/N14_RedTeamClosure_Bundle.zip,e3eda12a1db724d06bafa27c5c76ebb14ccea68ef023c9f52d69de058fe2ea0b,5896,ARCHIVE_BUNDLE,OK,Historical bundle; contents may also exist unpacked.,EXCLUDE_REDUNDANT_ZIP,ZIP bundle excluded from git; expanded contents tracked. Unique nested-only members extracted: 0. Bundle SHA-256 retained in excluded-bundle ledger.
ARCHIVE,research-os/janus_redteam_gate/N12_RedTeam_GateBundle.zip,janus_redteam_gate/N12_RedTeam_GateBundle.zip,6d4563c4d863d8a62c9d5a167768a883bdd16110080db8c42a9d0695561082c2,17143,ARCHIVE_BUNDLE,OK,Historical bundle; contents may also exist unpacked.,EXCLUDE_REDUNDANT_ZIP,ZIP bundle excluded from git; expanded contents tracked. Unique nested-only members extracted: 0. Bundle SHA-256 retained in excluded-bundle ledger.
ARCHIVE,research-os/janus_redteam_gate/rtb01/RTB01_ThermalStationarity_ClosureBundle.zip,janus_redteam_gate/rtb01/RTB01_ThermalStationarity_ClosureBundle.zip,fa1e54cb07ea41df0a980eb00098283205b5265ead28a31d6c7257f17b5968dd,21108,ARCHIVE_BUNDLE,OK,Historical bundle; contents may also exist unpacked.,EXCLUDE_REDUNDANT_ZIP,ZIP bundle excluded from git; expanded contents tracked. Unique nested-only members extracted: 0. Bundle SHA-256 retained in excluded-bundle ledger.
KEEP,submission/acs-nano/N19_ACS_Nano_Initial_Submission_Package.zip,janus_n19_acs_submission/N19_ACS_Nano_Initial_Submission_Package.zip,baba591b8f99a25391c8196a05efb06a1169c1e47b229ac4984df562fcf8ab33,40701754,CURRENT_BUNDLE,NOTICE_GT25MB,Current packaged reproducibility/submission artifact.,EXCLUDE_REDUNDANT_ZIP,ZIP bundle excluded from git; expanded contents tracked. Unique nested-only members extracted: 1. Bundle SHA-256 retained in excluded-bundle ledger.
KEEP,submission/acs-nano/reproducibility/Janus_MoSSe_Current_ReproducibilityRelease_v2.zip,janus_n19_acs_submission/reproducibility/Janus_MoSSe_Current_ReproducibilityRelease_v2.zip,fd2a151a9a9a39efe5a88b84eaa7173ef1097f57fe805d22d8bd5dc47cbac167,27492335,CURRENT_BUNDLE,NOTICE_GT25MB,Current packaged reproducibility/submission artifact.,EXCLUDE_REDUNDANT_ZIP,ZIP bundle excluded from git; expanded contents tracked. Unique nested-only members extracted: 0. Bundle SHA-256 retained in excluded-bundle ledger.
