source_path,basename,extension,size_bytes,sha256,duplicate_group,duplicate_preferred,status,migration_action,repo_target,reason,size_risk
Janus_mechanical_rectification_v18_CompactMain_FigureAuditCorrected(2).pdf,Janus_mechanical_rectification_v18_CompactMain_FigureAuditCorrected(2).pdf,.pdf,1394733,ffafbc12d150c1f42e5c1e2f5b63709c63864455a89c0580db285965504ffb97,,True,SUPPORTING,KEEP,provenance/source-inputs/Janus_mechanical_rectification_v18_CompactMain_FigureAuditCorrected(2).pdf,"Research OS evidence, code, data, audit, or provenance artifact.",OK
MoSSe_2H_GSFE_inversion_linecut.png,MoSSe_2H_GSFE_inversion_linecut.png,.png,118506,bcddbfbb18b97585b1885ee42877e12095934fb810e7097296287cde3414c0bb,,True,SUPPORTING,KEEP,provenance/source-inputs/MoSSe_2H_GSFE_inversion_linecut.png,"Research OS evidence, code, data, audit, or provenance artifact.",OK
MoSSe_2H_GSFE_reconstruction.png,MoSSe_2H_GSFE_reconstruction.png,.png,213722,b2c796e4aadf92b060b4e4c82011feb3c8ec9eb9cab230d67441927ebe5c34d6,,True,SUPPORTING,KEEP,provenance/source-inputs/MoSSe_2H_GSFE_reconstruction.png,"Research OS evidence, code, data, audit, or provenance artifact.",OK
janus_acs_nano_venue/Janus_MoSSe_ACSNano_Structured_Manuscript_v6.docx,Janus_MoSSe_ACSNano_Structured_Manuscript_v6.docx,.docx,3855174,bb7cee70bf53fc4ab67626472c7d7c3f516566d623317692d98f44dfc9f35cb7,,True,LEGACY,ARCHIVE,archive/legacy/janus_acs_nano_venue/Janus_MoSSe_ACSNano_Structured_Manuscript_v6.docx,"Superseded draft/config/output retained for provenance, not current authority.",OK
janus_acs_nano_venue/Janus_MoSSe_ACSNano_Structured_Manuscript_v7.docx,Janus_MoSSe_ACSNano_Structured_Manuscript_v7.docx,.docx,3855349,8a1a810296a61b15462de4fedcc7de76ee37bb0812d0d2d775466aa148133b59,,True,SUPPORTING,KEEP,research-os/janus_acs_nano_venue/Janus_MoSSe_ACSNano_Structured_Manuscript_v7.docx,"Research OS evidence, code, data, audit, or provenance artifact.",OK
janus_acs_nano_venue/acs_nano_preformat_audit.txt,acs_nano_preformat_audit.txt,.txt,1047,19e029ca0755546b0525f04fd0ebfa8e177b58140251aa5a2d2c87c60c5962a3,,True,SUPPORTING,KEEP,research-os/janus_acs_nano_venue/acs_nano_preformat_audit.txt,"Research OS evidence, code, data, audit, or provenance artifact.",OK
janus_acs_nano_venue/acs_nano_submission_manifest_preformat.json,acs_nano_submission_manifest_preformat.json,.json,1976,440484ef9fcdd9b5c586bf88b23c2d7dabcee3a61bd67ccf7bfa23a598fee97c,,True,SUPPORTING,KEEP,research-os/janus_acs_nano_venue/acs_nano_submission_manifest_preformat.json,"Research OS evidence, code, data, audit, or provenance artifact.",OK
janus_acs_nano_venue/add_ai_acknowledgment.py,add_ai_acknowledgment.py,.py,1429,43b7624c159e321473d410ac4ed2b6e808a79841dcace6fb54e6a1fe128f547b,,True,SUPPORTING,KEEP,research-os/janus_acs_nano_venue/add_ai_acknowledgment.py,"Research OS evidence, code, data, audit, or provenance artifact.",OK
janus_acs_nano_venue/apply_acs_nano_structure.py,apply_acs_nano_structure.py,.py,3547,8ff5f6ab7582a79a8b6d31285349be044249a9c37988497b09834cbc88cc02be,,True,SUPPORTING,KEEP,research-os/janus_acs_nano_venue/apply_acs_nano_structure.py,"Research OS evidence, code, data, audit, or provenance artifact.",OK
janus_acs_nano_venue/render_v6/Janus_MoSSe_ACSNano_Structured_Manuscript_v6.pdf,Janus_MoSSe_ACSNano_Structured_Manuscript_v6.pdf,.pdf,1531159,326ee1a90cb56f896d8d5e0d1474df8cb311e7ad949f2733c24e81bd3fb02ca4,,True,EPHEMERAL_QA,EXCLUDE,,Rendered page/QA-only intermediate; reproducible from source document.,OK
