family,shape,N,Theta,theta,n_minima,ground_U,prepared_Fp,prepared_Fm,shipped_Fp,shipped_Fm,dFp,dFm
hex,shell6,127,0,0.0,2,-0.6541619275241644,3.4851202323700625,1.4222355051564717,3.4851202323700723,1.422235505156472,-9.769962616701378e-15,-2.220446049250313e-16
hex,shell6,127,20,1.7747130188322278,2,-0.5242988156688243,2.9048936438490336,1.1928314494847065,2.9048936438490425,1.1928314494847077,-8.881784197001252e-15,-1.1102230246251565e-15
hex,shell8,217,0,0.0,2,-0.6541619275241644,3.4851202323700625,1.4222355051564717,3.4851202323700723,1.422235505156472,-9.769962616701378e-15,-2.220446049250313e-16
hex,shell8,217,20,1.3576884666042615,2,-0.5239959783767569,2.9033712870732535,1.1922202653884941,2.903371287073261,1.1922202653884943,-7.549516567451064e-15,-2.220446049250313e-16
hex,shell10,331,0,0.0,2,-0.6541619275241644,3.4851202323700625,1.4222355051564717,3.4851202323700723,1.422235505156472,-9.769962616701378e-15,-2.220446049250313e-16
hex,shell10,331,20,1.0992994198586254,2,-0.5238490304080464,2.9026324655879523,1.1919236417958736,2.9026324655879585,1.1919236417958738,-6.217248937900877e-15,-2.220446049250313e-16
hex,shell12,469,0,0.0,2,-0.6541619275241644,3.4851202323700625,1.4222355051564717,3.4851202323700723,1.422235505156472,-9.769962616701378e-15,-2.220446049250313e-16
hex,shell12,469,20,0.9235141930792203,2,-0.5237667917750142,2.9022189548696073,1.1917576225974704,2.902218954869611,1.191757622597471,-3.552713678800501e-15,-6.661338147750939e-16
hex,shell14,631,0,0.0,2,-0.6541619275241644,3.4851202323700625,1.4222355051564717,3.4851202323700723,1.422235505156472,-9.769962616701378e-15,-2.220446049250313e-16
hex,shell14,631,20,0.7961874286580329,2,-0.5237161734095764,2.901964424719001,1.19165543130755,2.9019644247190115,1.1916554313075511,-1.0658141036401503e-14,-1.1102230246251565e-15
hex,shell16,817,0,0.0,2,-0.6541619275241642,3.48512023237006,1.4222355051564715,3.4851202323700696,1.4222355051564717,-9.769962616701378e-15,-2.220446049250313e-16
hex,shell16,817,20,0.6997114285413196,2,-0.523682820869863,2.901796709373969,1.1915880949830977,2.901796709373972,1.1915880949830984,-3.1086244689504383e-15,-6.661338147750939e-16
hex,shell18,1027,0,0.0,2,-0.6541619275241644,3.4851202323700625,1.4222355051564717,3.4851202323700723,1.422235505156472,-9.769962616701378e-15,-2.220446049250313e-16
hex,shell18,1027,20,0.6240864794142965,2,-0.5236596891401826,2.9016803877159925,1.1915413926573735,2.9016803877160027,1.1915413926573752,-1.021405182655144e-14,-1.7763568394002505e-15
hex,shell20,1261,0,0.0,2,-0.6541619275241644,3.4851202323700625,1.4222355051564717,3.4851202323700723,1.422235505156472,-9.769962616701378e-15,-2.220446049250313e-16
hex,shell20,1261,20,0.5632127170361524,2,-0.5236429916597714,2.9015964205549105,1.1915076803620712,2.901596420554919,1.191507680362072,-8.43769498715119e-15,-8.881784197001252e-16
disk,R6,127,0,0.0,2,-0.6541619275241644,3.4851202323700625,1.4222355051564717,3.4851202323700723,1.422235505156472,-9.769962616701378e-15,-2.220446049250313e-16
disk,R6,127,20,1.7747130188322278,2,-0.5242988156688243,2.9048936438490336,1.1928314494847065,2.9048936438490425,1.1928314494847077,-8.881784197001252e-15,-1.1102230246251565e-15
disk,R8,241,0,0.0,2,-0.6541619275241644,3.4851202323700625,1.4222355051564717,3.4851202323700723,1.422235505156472,-9.769962616701378e-15,-2.220446049250313e-16
disk,R8,241,20,1.2883132528016616,2,-0.5244717992853524,2.90570457792779,1.1931534586957013,2.905704577927797,1.193153458695701,-6.661338147750939e-15,2.220446049250313e-16
disk,R10,367,0,0.0,2,-0.6541619275241644,3.4851202323700625,1.4222355051564717,3.4851202323700723,1.422235505156472,-9.769962616701378e-15,-2.220446049250313e-16
disk,R10,367,20,1.0439915019437611,2,-0.5245238579626583,2.9059789790596917,1.1932644559966856,2.905978979059702,1.1932644559966863,-1.021405182655144e-14,-6.661338147750939e-16
disk,R12,517,0,0.0,2,-0.6541619275241644,3.4851202323700625,1.4222355051564717,3.4851202323700723,1.422235505156472,-9.769962616701378e-15,-2.220446049250313e-16
disk,R12,517,20,0.8795989942670849,2,-0.5244663726685517,2.9057011636560106,1.1931536696394571,2.90570116365602,1.1931536696394582,-9.325873406851315e-15,-1.1102230246251565e-15
disk,R14,721,0,0.0,2,-0.6541619275241644,3.4851202323700625,1.4222355051564717,3.4851202323700723,1.422235505156472,-9.769962616701378e-15,-2.220446049250313e-16
disk,R14,721,20,0.7448389227238587,2,-0.5244189112672814,2.9054362109918688,1.1930454762060612,2.905436210991873,1.1930454762060625,-4.440892098500626e-15,-1.3322676295501878e-15
disk,R16,931,0,0.0,2,-0.6541619275241644,3.4851202323700625,1.4222355051564717,3.4851202323700723,1.422235505156472,-9.769962616701378e-15,-2.220446049250313e-16
disk,R16,931,20,0.6554735253444621,2,-0.5244601049713149,2.9056514016859096,1.193132444402141,2.905651401685917,1.1931324444021418,-7.549516567451064e-15,-8.881784197001252e-16
