phi,theta,label,R,U,grad_norm,eig_min,eig_max,stable
20,2.91127800838,A,9.1645,-0.23579953000512305,8.576387602304571e-16,6.0095508894589855,6.009550889458989,True
20,2.91127800838,B,9.1645,-0.23363764688641253,1.032641504993051e-15,6.285429352007904,6.285429352007911,True
20,2.92127800838,A,9.1645,-0.2334878354414644,4.412231308752319e-16,5.950883946390669,5.950883946390669,True
20,2.92127800838,B,9.1645,-0.2334878354412035,5.962283954981286e-16,6.2833247663564205,6.283324766356427,True
20,2.9312780083799996,A,9.1645,-0.23117657703717548,4.191879506066455e-16,5.892228603469965,5.892228603469967,True
20,2.9312780083799996,B,9.1645,-0.23333861516178014,7.771561172376096e-16,6.281182018322498,6.281182018322501,True
25,2.8372331222600002,A,9.117,-0.24392562352116703,6.574614847052362e-16,6.1945481952754875,6.194548195275489,True
25,2.8372331222600002,B,9.117,-0.24168265958071464,4.514501196650281e-16,6.486114944707305,6.48611494470731,True
25,2.84723312226,A,9.117,-0.2415736304340511,1.6228764607508355e-16,6.134891565217889,6.134891565217892,True
25,2.84723312226,B,9.117,-0.24157363043365376,3.890591175671957e-16,6.485393948282272,6.485393948282275,True
25,2.85723312226,A,9.117,-0.23922174906456703,8.112180048742382e-16,6.07523987266898,6.075239872668987,True
25,2.85723312226,B,9.117,-0.241465130474065,1.0454821624085051e-15,6.484631208727664,6.484631208727672,True
