theta,Ff,Fr,hard_f,hard_r,soft_vy_signed_f,soft_vy_signed_r,cubic_f,cubic_r,qfu,qfv,qru,qrv
0.0,3.485120232370067,1.422235505156472,16.820108412143327,26.412876826421353,0.08486990716934285,-0.9999999285485408,-19.97484344968158,-80.71117599426235,0.9104610855122774,0.20929234920965237,0.10030238395812265,0.7995056690696518
0.01,3.4851020912141037,1.4222283355379017,16.819947662195347,26.41267203840109,0.08486962277289457,-0.9999999285503427,-19.974712577143677,-80.71102917879145,0.9104607789595842,0.20929278682139926,0.100302358887608,0.7995057177025183
0.02,3.485047667522013,1.4222068266016787,16.81946542081439,26.41205768258638,0.08486876956866427,-0.9999999285557484,-19.97431995174329,-80.71058869528123,0.910459859311335,0.20929409963550208,0.1003022836780582,0.7995058635971639
0.03,3.484956960621723,1.4221709781062932,16.818661713385623,26.411033783714725,0.08486734751139922,-0.9999999285647574,-19.97366555380034,-80.70985442185017,0.9104583265969036,0.209296287588565,0.10030215833545561,0.7995061067417262
0.04,3.4848299693929663,1.4221207896493662,16.81753658221981,26.40960038301288,0.08486535652651132,-0.9999999285773691,-19.972749348899196,-80.70882615883035,0.9104561808654105,0.20929935057490717,0.10030198286976932,0.7995064471164374
0.05,3.484666692268585,1.4220562606678346,16.816090086544676,26.40775753819317,0.08486279650902978,-0.9999999285935821,-19.971571291106166,-80.70750362673735,0.9104534221855187,0.20930328844659524,0.1003017572949526,0.7995068846936301
0.06,3.484467127235095,1.4219773904382338,16.814322302502788,26.405505323448537,0.0848596673240504,-0.9999999286133954,-19.970131317808537,-80.7058864614335,0.9104500506455225,0.2093081010134355,0.10030148162893956,0.7995074194377426
0.07,3.4842312718338584,1.4218841780770368,16.81223332314508,26.40284382944585,0.0848559688066205,-0.9999999286368071,-19.968429357421865,-80.7039742278037,0.9104460663533275,0.20931378804298295,0.10030115589364139,0.7995080513053283
0.08,3.4839591231624736,1.4217766225410964,16.80982325842348,26.39977316331801,0.08485170076166405,-0.9999999286638155,-19.966465321081778,-80.70176640122133,0.9104414694364369,0.20932034926055051,0.10030078011494027,0.7995087802450662
0.09,3.483650677876371,1.4216547226281435,16.807092235182505,26.396293448654546,0.08484686296399511,-0.9999999286944183,-19.96423910996083,-80.69926238432856,0.9104362600419575,0.209327784349218,0.10030035432268405,0.7995096061977722
0.1,3.483305932190708,1.42151847697737,16.80404039714907,26.392404825490658,0.08484145515818982,-0.999999928728613,-19.961750607003484,-80.69646149566431,0.9104304383365769,0.20933609294984448,0.10029987855067886,0.7995105290964148
