label,W1,W2,W3,phi1,phi2,phi3,nmin,gap,Fplus,Fminus,Delta,rho
phi1_-10,7.9,0.1,0.1,121.9,1.2,85.4,2,0.05340092000286617,2.032425227966414,0.7592642594630872,1.273160968503327,0.4560539323001904
phi1_-5,7.9,0.1,0.1,126.9,1.2,85.4,2,0.18146576670830783,2.568420951863242,1.0002785325528927,1.5681424193103495,0.43941565440243535
phi1_-2,7.9,0.1,0.1,129.9,1.2,85.4,2,0.25772055407880307,2.876436088389042,1.1536538661001547,1.722782222288887,0.4274798433146253
phi1_+0,7.9,0.1,0.1,131.9,1.2,85.4,2,0.30818445070758366,3.0711353385392597,1.2586722984999548,1.812463040039305,0.41860128485493026
phi1_+2,7.9,0.1,0.1,133.9,1.2,85.4,2,0.3582784592492838,3.254647064684252,1.3654223989365197,1.8892246657477323,0.4089169395879899
phi1_+5,7.9,0.1,0.1,136.9,1.2,85.4,2,0.4325925663006275,3.5042437372530233,1.527923083856173,1.9763206533968503,0.39273750725164297
phi1_+10,7.9,0.1,0.1,141.9,1.2,85.4,2,0.553743292608102,3.835910210933661,1.8019716378974742,2.0339385730361865,0.3607628942167118
phi2_-10,7.9,0.1,0.1,131.9,-8.8,85.4,2,0.3081844507075838,3.021387453365457,1.2592607090370926,1.7621267443283644,0.4116495160254787
phi2_-5,7.9,0.1,0.1,131.9,-3.8,85.4,2,0.308184450707584,3.0499307355483913,1.2587730934732795,1.7911576420751119,0.41570683740446607
phi2_+5,7.9,0.1,0.1,131.9,6.2,85.4,2,0.3081844507075838,3.035048157974557,1.2589590183819332,1.776089139592624,0.4136204404529323
phi2_+10,7.9,0.1,0.1,131.9,11.2,85.4,2,0.3081844507075836,3.0103079882634334,1.2596312777663576,1.7506767104970757,0.4100003773882393
phi3_-10,7.9,0.1,0.1,131.9,1.2,75.4,2,0.3064377126866542,3.06260270446179,1.2517430230437692,1.8108596814180207,0.41972984915722367
phi3_-5,7.9,0.1,0.1,131.9,1.2,80.4,2,0.30732526290338374,3.066553896393802,1.2550491069491427,1.8115047894446594,0.41917427122375256
phi3_+5,7.9,0.1,0.1,131.9,1.2,90.4,2,0.3090087371612719,3.0762932676063617,1.262584775718397,1.8137084918879647,0.41801324530849726
phi3_+10,7.9,0.1,0.1,131.9,1.2,95.4,2,0.30979184894681844,3.0819696806080015,1.2667563113763114,1.81521336923169,0.41741267961640705
higherW_x0,7.9,0.0,0.0,131.9,1.2,85.4,2,0.3035985661505891,3.2553595660918515,1.3478103992352417,1.9075491668566098,0.4143990296306738
higherW_x0.5,7.9,0.05,0.05,131.9,1.2,85.4,2,0.30589150842908613,3.163648937641644,1.3032106158804584,1.8604383217611857,0.41649805628973424
higherW_x2,7.9,0.2,0.2,131.9,1.2,85.4,2,0.312770335264579,2.87274531922246,1.1698516550002158,1.7028936642222443,0.4212375547403368
higherW_x5,7.9,0.5,0.5,131.9,1.2,85.4,2,0.326527988935563,2.1854506353569048,0.9103180401015929,1.2751325952553119,0.4118953090273965
