start,name,F0,period,phase_index,phase_rad,u,vv,m,n,max_cycle_res,all_cycles_same,mean_res
ground,canonical,2.0,40.0,0,0.0,1.0000000000000113,-1.000000000000018,1,-1,3.6427857214120895e-13,True,1.5749522243085087e-14
ground,canonical,2.0,40.0,1,0.7853981633974483,0.9999999999999998,-1.0000000000000007,1,-1,9.226881813790013e-15,True,8.005932084973442e-16
ground,canonical,2.0,40.0,2,1.5707963267948966,0.9999999999999997,-1.0000000000000004,1,-1,1.42576153165296e-14,True,6.753223014464259e-16
ground,canonical,2.0,40.0,3,2.356194490192345,1.0000000000000002,-1.0000000000000004,1,-1,4.3440801059699496e-15,True,3.8459253727671276e-16
ground,canonical,2.0,40.0,4,3.141592653589793,1.0000000000000002,-1.0000000000000002,1,-1,1.3076146267408235e-14,True,2.2204460492503128e-16
ground,canonical,2.0,40.0,5,3.9269908169872414,0.9999999999999997,-0.9999999999999984,1,-1,2.595999626617811e-14,True,1.4174378709434725e-15
ground,canonical,2.0,40.0,6,4.71238898038469,1.0000000000000064,-0.9999999999999997,1,-1,1.4033693327387092e-13,True,6.612121481154575e-15
ground,canonical,2.0,40.0,7,5.497787143782138,1.000000000000178,-1.0000000000002915,1,-1,5.581372829996339e-12,True,2.545436102141287e-13
ground,w11mid,1.9625,40.0,0,0.0,0.9999999999999997,-0.9999999999999994,1,-1,2.9517529433625764e-14,True,4.839349969133126e-16
ground,w11mid,1.9625,40.0,1,0.7853981633974483,0.9999999999999998,-1.0000000000000004,1,-1,5.452540267207284e-15,True,5.874748045952207e-16
ground,w11mid,1.9625,40.0,2,1.5707963267948966,1.0000000000000007,-1.0000000000000004,1,-1,1.0720409186658229e-14,True,5.874748045952207e-16
ground,w11mid,1.9625,40.0,3,2.356194490192345,1.0000000000000009,-1.0000000000000004,1,-1,1.4319725261012754e-14,True,7.691850745534255e-16
ground,w11mid,1.9625,40.0,4,3.141592653589793,1.0000000000000007,-1.0000000000000004,1,-1,9.61481343191782e-15,True,5.874748045952207e-16
ground,w11mid,1.9625,40.0,5,3.9269908169872414,1.0000000000000007,-1.0000000000000004,1,-1,1.0720409186658229e-14,True,5.874748045952207e-16
ground,w11mid,1.9625,40.0,6,4.71238898038469,0.9999999999999968,-1.0000000000000007,1,-1,7.819966820591417e-14,True,3.599246473628376e-15
ground,w11mid,1.9625,40.0,7,5.497787143782138,0.9999999999999449,-0.9999999999998475,1,-1,2.7661573878572484e-12,True,1.3379859586871458e-13
ground,w12,2.5625,40.0,0,0.0,0.9999999999999989,-1.9999999999999978,1,-2,1.0929738287346173e-13,True,1.9229626863835637e-15
ground,w12,2.5625,40.0,1,0.7853981633974483,0.9999999999999993,-1.9999999999999987,1,-2,1.6346690970712504e-14,True,1.1537776118301384e-15
ground,w12,2.5625,40.0,2,1.5707963267948966,0.9999999999999994,-1.999999999999999,1,-2,3.769072271638358e-14,True,9.614813431917819e-16
ground,w12,2.5625,40.0,3,2.356194490192345,0.9999999999999988,-1.9999999999999976,1,-2,3.057510671349867e-14,True,2.1152589550219202e-15
ground,w12,2.5625,40.0,4,3.141592653589793,1.0000000000000002,-2.0000000000000004,1,-2,5.0193869307412495e-15,True,3.8459253727671276e-16
ground,w12,2.5625,40.0,5,3.9269908169872414,0.9999999999999986,-1.9999999999999971,1,-2,4.480503059273704e-14,True,2.499851492298633e-15
ground,w12,2.5625,40.0,6,4.71238898038469,0.999999999999997,-2.0,1,-2,1.349042646220695e-12,True,2.9976021664879227e-15
ground,w12,2.5625,40.0,7,5.497787143782138,0.999999999999995,-2.000000000000009,1,-2,1.710077472660339e-12,True,1.2174545926647189e-14
ground,w23,3.025,40.0,0,0.0,2.000000000000007,-3.000000000000014,2,-3,3.9812071340800024e-13,True,1.2306961192854808e-14
ground,w23,3.025,40.0,1,0.7853981633974483,2.0,-2.9999999999999996,2,-3,6.9226656709808295e-15,True,4.4408920985006257e-16
ground,w23,3.025,40.0,2,1.5707963267948966,1.9999999999999971,-2.9999999999999964,2,-3,6.384236118793432e-14,True,3.2709212810858e-15
ground,w23,3.025,40.0,3,2.356194490192345,1.9999999999999987,-2.999999999999998,2,-3,4.234245649866165e-14,True,1.9357399876532502e-15
ground,w23,3.025,40.0,4,3.141592653589793,2.0000000000000013,-3.0000000000000027,2,-3,2.845984775847674e-14,True,2.3075552236602768e-15
ground,w23,3.025,40.0,5,3.9269908169872414,1.9999999999999996,-2.999999999999999,2,-3,3.538251342945757e-14,True,7.691850745534255e-16
ground,w23,3.025,40.0,6,4.71238898038469,1.9999999999991291,-2.9999999999991855,2,-3,1.4669820918623393e-11,True,8.440736450073748e-13
ground,w23,3.025,40.0,7,5.497787143782138,1.9999999999998586,-3.0000000000000595,2,-3,5.451770147756193e-12,True,1.787850707908327e-13
ground,w34,3.4,40.0,0,0.0,3.000000000000031,-4.0000000000000435,3,-4,7.053076224428535e-13,True,3.882670717273554e-14
ground,w34,3.4,40.0,1,0.7853981633974483,3.0000000000000018,-4.000000000000001,3,-4,3.845925372767128e-14,True,1.538370149106851e-15
ground,w34,3.4,40.0,2,1.5707963267948966,2.999999999999994,-3.9999999999999964,3,-4,8.538993703568245e-14,True,5.4025784115714076e-15
ground,w34,3.4,40.0,3,2.356194490192345,2.999999999999994,-3.999999999999999,3,-4,1.0313201047732417e-13,True,5.824175385795272e-15
ground,w34,3.4,40.0,4,3.141592653589793,2.9999999999999982,-3.999999999999995,3,-4,1.0383998506471244e-13,True,4.2826412465193164e-15
ground,w34,3.4,40.0,5,3.9269908169872414,2.9999999999999964,-3.9999999999999916,3,-4,1.7498974533723487e-13,True,7.337557957613285e-15
ground,w34,3.4,40.0,6,4.71238898038469,3.000000000000736,-4.000000000001664,3,-4,3.407494698816303e-11,True,1.4438734839062458e-12
ground,w34,3.4,40.0,7,5.497787143782138,2.9999999999995404,-3.9999999999985163,3,-4,2.999954732906218e-11,True,1.3155516792292177e-12
ground,w27,3.675,70.0,0,0.0,2.000000000000547,-7.0000000000000755,2,-7,1.0619407981035555e-11,True,5.135491862464528e-13
ground,w27,3.675,70.0,1,0.7853981633974483,2.000000000000001,-7.0,2,-7,3.845925372767128e-14,True,8.881784197001252e-16
ground,w27,3.675,70.0,2,1.5707963267948966,1.9999999999999545,-7.000000000000003,2,-7,1.0926035049413177e-12,True,4.690820379948782e-14
ground,w27,3.675,70.0,3,2.356194490192345,1.999999999999718,-7.000000000000169,2,-7,9.455641927855293e-12,True,3.9444647597978573e-13
ground,w27,3.675,70.0,4,3.141592653589793,2.0,-7.000000000000002,2,-7,1.9780672612164173e-14,True,1.7763568394002503e-15
ground,w27,3.675,70.0,5,3.9269908169872414,2.000000000000014,-7.0,2,-7,3.699431047133909e-13,True,1.4210854715202004e-14
ground,w27,3.675,70.0,6,4.71238898038469,1.999999999999994,-6.999999999999941,2,-7,3.334107542050735e-11,True,5.586396911123393e-14
ground,w27,3.675,70.0,7,5.497787143782138,1.9999999999995963,-6.999999999999892,2,-7,1.3494233038168719e-11,True,3.618771224966292e-13
ground,near_low_transition,1.6,40.0,0,0.0,1.0000000000012466,-1.0000000000006442,1,-1,2.135623655807246e-11,True,1.0797530062114838e-12
ground,near_low_transition,1.6,40.0,1,0.7853981633974483,0.9999999999999994,-0.9999999999999991,1,-1,2.240258407175245e-14,True,7.771561172376095e-16
ground,near_low_transition,1.6,40.0,2,1.5707963267948966,1.0000000000000004,-1.0000000000000004,1,-1,2.5023156146241385e-15,True,4.4408920985006257e-16
ground,near_low_transition,1.6,40.0,3,2.356194490192345,0.9999999999999994,-0.9999999999999989,1,-1,1.5287654140625005e-14,True,9.614813431917819e-16
ground,near_low_transition,1.6,40.0,4,3.141592653589793,0.9999999999999998,-1.0000000000000004,1,-1,5.962218089060634e-15,True,5.874748045952207e-16
ground,near_low_transition,1.6,40.0,5,3.9269908169872414,1.0000000000000007,-1.0000000000000002,1,-1,1.6028790848631355e-14,True,5.874748045952207e-16
ground,near_low_transition,1.6,40.0,6,4.71238898038469,1.0000000000000016,-1.0000000000000022,1,-1,1.1962146910661003e-13,True,1.9735756178897087e-15
ground,near_low_transition,1.6,40.0,7,5.497787143782138,1.000000000000028,-1.000000000000002,1,-1,5.40319848612756e-13,True,2.7033873656594077e-14
ground,near_mid_transition,2.35,40.0,0,0.0,1.0000000000000004,-2.0000000000000027,1,-2,2.093859432379872e-13,True,2.4725840765205216e-15
ground,near_mid_transition,2.35,40.0,1,0.7853981633974483,0.9999999999999998,-1.9999999999999996,1,-2,1.6345182834260293e-14,True,3.8459253727671276e-16
ground,near_mid_transition,2.35,40.0,2,1.5707963267948966,0.9999999999999991,-1.9999999999999982,1,-2,3.057510671349867e-14,True,1.538370149106851e-15
ground,near_mid_transition,2.35,40.0,3,2.356194490192345,1.0000000000000002,-2.0000000000000004,1,-2,1.922962686383564e-14,True,3.8459253727671276e-16
ground,near_mid_transition,2.35,40.0,4,3.141592653589793,1.0000000000000013,-2.0000000000000027,1,-2,4.038221641405484e-14,True,2.3075552236602768e-15
ground,near_mid_transition,2.35,40.0,5,3.9269908169872414,0.9999999999999979,-1.9999999999999958,1,-2,8.037984029083297e-14,True,3.653629104128771e-15
ground,near_mid_transition,2.35,40.0,6,4.71238898038469,1.0000000000000013,-2.000000000000001,1,-2,1.7859385896992172e-13,True,1.1749496091904413e-15
ground,near_mid_transition,2.35,40.0,7,5.497787143782138,1.0000000000000038,-2.000000000000001,1,-2,1.80868654260036e-13,True,3.418333242764116e-15
meta,canonical,2.0,40.0,0,0.0,1.0000000000000113,-1.0000000000000182,1,-1,3.319601746778272e-13,True,1.5923865021469473e-14
meta,canonical,2.0,40.0,1,0.7853981633974483,0.9999999999999998,-1.0000000000000009,1,-1,9.226881813790013e-15,True,1.0175362097255202e-15
meta,canonical,2.0,40.0,2,1.5707963267948966,0.9999999999999997,-1.0000000000000004,1,-1,1.42576153165296e-14,True,6.753223014464259e-16
meta,canonical,2.0,40.0,3,2.356194490192345,1.0000000000000004,-1.0000000000000004,1,-1,4.3440801059699496e-15,True,4.4408920985006257e-16
meta,canonical,2.0,40.0,4,3.141592653589793,1.0000000000000002,-1.0000000000000007,1,-1,1.3076146267408235e-14,True,5.874748045952207e-16
meta,canonical,2.0,40.0,5,3.9269908169872414,0.9999999999999997,-0.9999999999999984,1,-1,2.595999626617811e-14,True,1.4174378709434725e-15
meta,canonical,2.0,40.0,6,4.71238898038469,1.0000000000000067,-1.0000000000000002,1,-1,1.2798093207624277e-13,True,6.553137838315995e-15
meta,canonical,2.0,40.0,7,5.497787143782138,1.0000000000001776,-1.0000000000002915,1,-1,5.080251248141346e-12,True,2.544876262230468e-13
meta,w11mid,1.9625,40.0,0,0.0,0.9999999999999998,-0.9999999999999994,1,-1,2.9517529433625764e-14,True,4.839349969133126e-16
meta,w11mid,1.9625,40.0,1,0.7853981633974483,0.9999999999999998,-1.0000000000000004,1,-1,5.452540267207284e-15,True,5.874748045952207e-16
meta,w11mid,1.9625,40.0,2,1.5707963267948966,1.0000000000000007,-1.0000000000000004,1,-1,1.0839325212915905e-14,True,5.874748045952207e-16
meta,w11mid,1.9625,40.0,3,2.356194490192345,1.0000000000000009,-1.0000000000000004,1,-1,1.4319725261012754e-14,True,7.691850745534255e-16
meta,w11mid,1.9625,40.0,4,3.141592653589793,1.0000000000000007,-1.0000000000000007,1,-1,9.61481343191782e-15,True,6.661338147750939e-16
meta,w11mid,1.9625,40.0,5,3.9269908169872414,1.0000000000000007,-1.0000000000000004,1,-1,1.0839325212915905e-14,True,5.874748045952207e-16
meta,w11mid,1.9625,40.0,6,4.71238898038469,0.9999999999999967,-1.0000000000000009,1,-1,7.816821638498013e-14,True,3.85232991570949e-15
meta,w11mid,1.9625,40.0,7,5.497787143782138,0.9999999999999447,-0.9999999999998475,1,-1,2.6847002939419887e-12,True,1.33763584480942e-13
meta,w12,2.5625,40.0,0,0.0,1.0000000000000016,-2.0000000000000036,1,-2,5.4623424119865907e-14,True,3.0847422370805075e-15
meta,w12,2.5625,40.0,1,0.7853981633974483,0.9999999999999997,-1.9999999999999993,1,-2,1.6345559881418608e-14,True,5.768888059150692e-16
meta,w12,2.5625,40.0,2,1.5707963267948966,0.9999999999999994,-1.999999999999999,1,-2,3.769023216999838e-14,True,9.614813431917819e-16
meta,w12,2.5625,40.0,3,2.356194490192345,0.9999999999999988,-1.9999999999999976,1,-2,3.057530828125001e-14,True,2.1152589550219202e-15
meta,w12,2.5625,40.0,4,3.141592653589793,1.0000000000000002,-2.0000000000000004,1,-2,9.230220894641107e-15,True,3.8459253727671276e-16
meta,w12,2.5625,40.0,5,3.9269908169872414,0.9999999999999986,-1.9999999999999971,1,-2,4.48051681435049e-14,True,2.499851492298633e-15
meta,w12,2.5625,40.0,6,4.71238898038469,0.9999999999999885,-1.9999999999999971,1,-2,2.4015209583726157e-13,True,1.0407711710465475e-14
meta,w12,2.5625,40.0,7,5.497787143782138,0.9999999999999994,-2.000000000000003,1,-2,1.4233111136115634e-13,True,3.420135685938544e-15
meta,w23,3.025,40.0,0,0.0,2.0000000000000133,-3.000000000000027,2,-3,4.549730257815739e-13,True,2.3461195549629623e-14
meta,w23,3.025,40.0,1,0.7853981633974483,2.0,-3.0,2,-3,7.310631048597895e-15,True,0.0
meta,w23,3.025,40.0,2,1.5707963267948966,1.9999999999999971,-2.9999999999999964,2,-3,6.384236118793432e-14,True,3.2709212810858e-15
meta,w23,3.025,40.0,3,2.356194490192345,1.9999999999999987,-2.999999999999998,2,-3,4.2305179100438403e-14,True,1.9357399876532502e-15
