family,shape,N,Theta,theta_deg,Fp,Fm,Fp_norm,Fm_norm,rho
hex,shell6,127,0,0.0,3.4851202323700723,1.4222355051564721,1.0,1.0,0.4203658421252656
hex,shell6,127,10,0.8873565094161139,3.341283358702544,1.3654174534936905,0.9587282893911205,0.9600501805384681,0.4197984924150888
hex,shell6,127,15,1.3310347641241707,3.159671094814811,1.2936786295416736,0.9066175294233858,0.9096092910430787,0.419008741906695
hex,shell6,127,20,1.7747130188322278,2.9048936438490425,1.1928314494847077,0.8335131789337311,0.8387017798107032,0.4178079679258004
hex,shell8,217,0,0.0,3.4851202323700723,1.4222355051564721,1.0,1.0,0.4203658421252656
hex,shell8,217,10,0.6788442333021307,3.34089996118696,1.3652655973257533,0.958618279552142,0.9599434076675992,0.4197970384377139
hex,shell8,217,15,1.018266349953196,3.1588027958859866,1.293333102386338,0.9063683848111684,0.9093663445309976,0.41900555960646985
hex,shell8,217,20,1.3576884666042615,2.903371287073261,1.1922202653884943,0.8330763627913089,0.8382720450065885,0.4178031426635397
hex,shell10,331,0,0.0,3.4851202323700723,1.4222355051564721,1.0,1.0,0.4203658421252656
hex,shell10,331,10,0.5496497099293127,3.340713850563111,1.365191882131661,0.9585648780590973,0.9598915771558275,0.41979633266053434
hex,shell10,331,15,0.8244745648939691,3.1583813250501467,1.293165381406602,0.9062474504365304,0.9092484168185141,0.4190040151523382
hex,shell10,331,20,1.0992994198586254,2.9026324655879585,1.1919236417958738,0.8328643696788647,0.8380634834909007,0.41780080158313465
hex,shell12,469,0,0.0,3.4851202323700723,1.4222355051564721,1.0,1.0,0.4203658421252656
hex,shell12,469,10,0.46175709653961017,3.3406096743287987,1.3651506195996241,0.9585349863401991,0.9598625647089526,0.4197959376039613
hex,shell12,469,15,0.6926356448094152,3.1581454114339707,1.293071500690852,0.9061797587643796,0.9091824075567501,0.419003150725542
hex,shell12,469,20,0.9235141930792203,2.902218954869611,1.191757622597471,0.8327457193337469,0.8379467523322418,0.41779949149840806
hex,shell14,631,0,0.0,3.4851202323700723,1.4222355051564721,1.0,1.0,0.4203658421252656
hex,shell14,631,10,0.39809371432901647,3.340545545958131,1.365125219336357,0.9585165857208826,0.9598447053156418,0.41979569441852976
hex,shell14,631,15,0.5971405714935247,3.158000191042972,1.2930137106470858,0.9061380900754059,0.9091417743117237,0.4190026186365645
hex,shell14,631,20,0.7961874286580329,2.9019644247190115,1.1916554313075511,0.8326726859421768,0.8378748997525884,0.4177986851645666
hex,shell16,817,0,0.0,3.4851202323700696,1.4222355051564717,1.0,1.0,0.42036584212526557
hex,shell16,817,10,0.3498557142706598,3.3405032886193693,1.3651084818338377,0.9585044606474443,0.9598329368690954,0.41979553417244136
hex,shell16,817,15,0.5247835714059896,3.157904499150219,1.2929756302163895,0.906110632803814,0.909114999258958,0.4190022680299013
hex,shell16,817,20,0.6997114285413196,2.9017967093739716,1.1915880949830984,0.832624562682761,0.8378275543416434,0.4177981538824538
hex,shell18,1027,0,0.0,3.4851202323700723,1.4222355051564721,1.0,1.0,0.4203658421252656
hex,shell18,1027,10,0.31204323970714826,3.3404739795330114,1.3650968729322879,0.9584960508697591,0.9598247744364264,0.4197954230283882
hex,shell18,1027,15,0.4680648595607224,3.1578381290725352,1.2929492183009907,0.9060915889622071,0.9090964285543852,0.4190020248601728
hex,shell18,1027,20,0.6240864794142965,2.9016803877160027,1.1915413926573752,0.832591186027089,0.8377947170755548,0.4177977854165114
hex,shell20,1261,0,0.0,3.4851202323700723,1.4222355051564721,1.0,1.0,0.4203658421252656
hex,shell20,1261,10,0.2816063585180762,3.3404528222511365,1.3650884928369795,0.9584899801231379,0.9598188822369433,0.41979534279727526
hex,shell20,1261,15,0.4224095377771143,3.1577902188888536,1.2929301524578276,0.9060778418945344,0.9090830230086131,0.41900184932686846
hex,shell20,1261,20,0.5632127170361524,2.901596420554919,1.1915076803620719,0.8325670929813732,0.8377710133393022,0.4177975194448953
disk,R6,127,0,0.0,3.4851202323700723,1.4222355051564721,1.0,1.0,0.4203658421252656
disk,R6,127,10,0.8873565094161139,3.341283358702544,1.3654174534936905,0.9587282893911205,0.9600501805384681,0.4197984924150888
disk,R6,127,15,1.3310347641241707,3.159671094814811,1.2936786295416736,0.9066175294233858,0.9096092910430787,0.419008741906695
disk,R6,127,20,1.7747130188322278,2.9048936438490425,1.1928314494847077,0.8335131789337311,0.8387017798107032,0.4178079679258004
disk,R8,241,0,0.0,3.4851202323700723,1.4222355051564721,1.0,1.0,0.4203658421252656
disk,R8,241,10,0.6441566264008308,3.3414967121246297,1.365502020526182,0.9587895077732309,0.9601096411778524,0.4197992826918904
disk,R8,241,15,0.9662349396012463,3.16014520488667,1.293867070210993,0.9067535677922934,0.9097417871512381,0.4190105503547934
disk,R8,241,20,1.2883132528016616,2.905704577927797,1.1931534586957013,0.8337458636116433,0.8389281904226069,0.41781176706545264
disk,R10,367,0,0.0,3.4851202323700723,1.4222355051564721,1.0,1.0,0.4203658421252656
disk,R10,367,10,0.5219957509718806,3.3415676534908254,1.3655301140515013,0.9588098632736055,0.9601293942533573,0.4197995531482352
disk,R10,367,15,0.7829936264578209,3.1603043092984437,1.2939304672489806,0.906799220280921,0.9097863627772563,0.4190111064365877
disk,R10,367,20,1.0439915019437611,2.905978979059702,1.1932644559966863,0.8338245986662782,0.8390062346709627,0.41781234761908104
disk,R12,517,0,0.0,3.4851202323700723,1.4222355051564721,1.0,1.0,0.4203658421252656
disk,R12,517,10,0.43979949713354244,3.3414977302385234,1.3655024211931226,0.9587897999048722,0.9601099228941639,0.4197992873325906
disk,R12,517,15,0.6596992457003137,3.1601460949736975,1.2938676053112157,0.9067538231886552,0.9097421633900684,0.41901049598098455
disk,R12,517,20,0.8795989942670849,2.90570116365602,1.1931536696394582,0.8337448839404844,0.8389283387410508,0.4178112091468421
disk,R14,721,0,0.0,3.4851202323700723,1.4222355051564721,1.0,1.0,0.4203658421252656
disk,R14,721,10,0.3724194613619293,3.3414310682789634,1.3654760001340174,0.958770672312389,0.9600913457604828,0.41979903988441714
disk,R14,721,15,0.558629192042894,3.159994529393549,1.2938070172779308,0.9067103338482472,0.9096995628270356,0.41901002830049794
disk,R14,721,20,0.7448389227238587,2.905436210991873,1.1930454762060623,0.8336688599738833,0.8388522659436809,0.4178110006285143
disk,R16,931,0,0.0,3.4851202323700723,1.4222355051564721,1.0,1.0,0.4203658421252656
disk,R16,931,10,0.32773676267223106,3.34148615858191,1.3654978276517522,0.958786479601456,0.9601066930905527,0.41979924654710027
disk,R16,931,15,0.49160514400834665,3.1601186326016677,1.2938564950099496,0.9067459432963707,0.90973435153245,0.419010453386271
disk,R16,931,20,0.6554735253444621,2.905651401685917,1.1931324444021418,0.8337306055320551,0.8389134148854449,0.41781148301299886
