T,n,burn,measure,mean_u,mean_v,norm,norm_vs_det,angle_deg,se_u,se_v,u_ci_lo,u_ci_hi,v_ci_lo,v_ci_hi,hotelling_T2,crit95,zero_excluded_hotelling,bootstrap_zero_d2,bootstrap_q95,zero_excluded_bootstrap,P_v_negative_cycle,P_target_cycle
0.02,500,60,100,1.2033807831088494,-2.407683055051828,2.691665470064839,1.9032949065685236,-63.44372098456766,0.0039891353650622725,0.003072123151943591,1.1956337293476713,1.211060277621581,-2.4137421760094626,-2.4014668170853715,615547.3845880297,6.039755055454466,True,597155.7636121236,5.911967127086007,True,0.9979,0.0393
0.04,500,60,100,1.0704971481969936,-2.146490693413711,2.3986217795245603,1.6960817258035603,-63.49366449400397,0.004763836928540145,0.004374666269556003,1.0611258877743477,1.0798383831403342,-2.155062220783616,-2.137913498880174,242446.31720477465,6.039755055454466,True,240840.2750755986,5.989623699674325,True,0.97466,0.0686
0.06,500,60,100,0.9149182487865198,-1.8446100180100984,2.059043836470173,1.4559638595284239,-63.61879592137572,0.005528998187173985,0.005220301426453784,0.9043524472349826,0.9254625791420104,-1.8546545615747148,-1.8346611194993834,125118.83420357175,6.039755055454466,True,127873.40978550601,5.986075099216465,True,0.92814,0.08176
0.1,500,60,100,0.6638743540095207,-1.34634883411147,1.5011276897802108,1.061457568870483,-63.7524447110927,0.006515540889859242,0.006420601467462056,0.6515517215725666,0.6767441711161776,-1.3588957236064065,-1.3339365578446296,44140.05992172622,6.039755055454466,True,44692.80030429252,6.034495701960447,True,0.8178,0.07342
0.16,500,60,100,0.4361573167170353,-0.8847547681250031,0.9864198926652545,0.6975041952009078,-63.75809810347898,0.007915929518018536,0.007815597565917518,0.4209880673020602,0.45164038561393505,-0.900316049297998,-0.869643817728197,12910.621061496731,6.039755055454466,True,12699.14835955763,6.054523641809411,True,0.68818,0.05332
0.24,500,60,100,0.26188810190972067,-0.5369489716737931,0.5974107264716797,0.42243317584170637,-63.9999491393337,0.009236666535418424,0.009647038529454604,0.24353587488160597,0.2800752199645107,-0.5558415560711553,-0.5179042480209463,3098.8891836691564,6.039755055454466,True,3055.2475183880706,6.069029559937257,True,0.59732,0.03712
0.32,500,60,100,0.16469335618298148,-0.3467424042761797,0.383867420464462,0.27143525608700875,-64.59353383288796,0.011155892558191332,0.01099410476773674,0.14309349477691388,0.1867890152408504,-0.36854558007896876,-0.32512112567096846,996.4747030116156,6.039755055454466,True,998.988430245945,6.011623405901391,True,0.55344,0.0255
0.5,500,60,100,0.0695838603712107,-0.15007219812368638,0.1654194011409639,0.11696918028659328,-65.12429622850915,0.014212584079609517,0.014156195320403365,0.04130522025707001,0.09776912226381812,-0.17795322961298835,-0.12226056918884019,112.45070051679211,6.039755055454466,True,113.0455222109093,5.9799398081747235,True,0.51992,0.0156
0.55,500,60,100,0.05481781914743403,-0.11859716496603052,0.13065328481925223,0.09238582367999065,-65.19274060018923,0.015021286245467572,0.015479257296088353,0.026215494219925486,0.08501680976827213,-0.14907421466594767,-0.08905238717713526,58.743567051065945,6.039755055454466,True,60.3188118050396,5.999911932018965,True,0.51336,0.01382
0.6,500,60,100,0.043273052107125995,-0.10393003135574314,0.11257889880555678,0.07960530276392332,-67.39475849077942,0.015848346267742806,0.01588923144580955,0.012595046041894107,0.07482458757405978,-0.13501454781378808,-0.07248926939358566,43.17904346746376,6.039755055454466,True,43.69615166386303,5.991393123492731,True,0.51278,0.01324
0.65,500,60,100,0.02760210061142536,-0.0751782127309871,0.08008520230097942,0.05662878961971904,-69.83900741104503,0.016542798144794566,0.01608806249808395,-0.005427416163056982,0.05924880170368018,-0.10653907095802667,-0.04367195473849808,22.455420304022507,6.039755055454466,True,22.265247143652612,6.053143328349287,True,0.50904,0.01136
0.7,500,60,100,0.022898486111329986,-0.06579703218664855,0.06966771211085977,0.049262511663341106,-70.81123430801127,0.017486948491841948,0.017147713159116496,-0.012088260505244088,0.05726579261811304,-0.09956319784102846,-0.03190756064427161,15.19485185163001,6.039755055454466,True,15.19551363032795,6.053117683890131,True,0.5078,0.01142
