F0,period,u_per_cycle,v_per_cycle,m,n,lock_residual,dy_per_cycle,locked
1.0,20.0,-1.4832104037985006e-17,2.962063617176766e-17,0.0,0.0,2.5652232652205572e-17,2.5652223401007034e-17,True
1.25,20.0,-1.850525779354435e-17,3.700701628222536e-17,0.0,0.0,3.2049016266430915e-17,3.2049016218671514e-17,True
1.5,20.0,-3.2118495994888686e-17,6.409875621278547e-17,0.0,0.0,5.551119426117661e-17,5.551115123125783e-17,True
1.75,20.0,-3.040354111417368e-17,6.089381840214619e-17,0.0,0.0,5.273561150196449e-17,5.2735593669694933e-17,True
2.0,20.0,-4.0623357452724466e-17,8.33283830766211e-17,0.0,0.0,7.217200222535609e-17,7.216449660063518e-17,True
2.25,20.0,-5.901142629807862e-17,8.33283830766211e-17,0.0,0.0,7.422022044856503e-17,7.216449660063518e-17,True
2.5,20.0,0.9999999999995332,-0.9999999999996866,1.0,-1.0,4.121401338604379e-13,-0.8660254037841671,True
2.75,20.0,1.000000000000039,-0.9999999999999959,1.0,-1.0,4.128731202828658e-14,-0.866025403784435,True
3.0,20.0,1.0000000000001181,-1.0000000000002394,1.0,-1.0,2.0730120466990424e-13,-0.866025403784646,True
3.25,20.0,1.0000000000000457,-1.0000000000000029,1.0,-1.0,4.4368379339034443e-14,-0.866025403784441,True
3.5,20.0,1.0000000000000013,-3.0000000000000027,1.0,-3.0,2.3075552236602768e-15,-2.5980762113533182,True
3.75,20.0,1.0000000000001392,-3.0000000000000226,1.0,-3.0,1.2939295704704283e-13,-2.5980762113533356,True
4.0,20.0,2.9999999999994214,-4.999999999999708,3.0,-5.0,5.011323896555508e-13,-4.33012701892194,True
1.0,30.0,1.8752108520934742e-17,-3.750778781513775e-17,0.0,0.0,3.248269713673192e-17,-3.2482697087665715e-17,True
1.25,30.0,2.388962527229124e-17,-4.782368139313291e-17,0.0,0.0,4.141652894701571e-17,-4.141652298894627e-17,True
1.5,30.0,5.337693617398783e-17,-1.0255800994045675e-16,0.0,0.0,8.884261571760383e-17,-8.881784197001253e-17,True
1.75,30.0,1.7888763130567395e-16,-1.3781232585748876e-16,0.0,0.0,1.6229633777455842e-16,-1.1934897514720432e-16,True
2.0,30.0,0.9999999999999999,-1.0000000000000004,1.0,-1.0,5.087681048627601e-16,-0.866025403784439,True
2.25,30.0,1.0000000000000002,-1.000000000000001,1.0,-1.0,1.0175362097255202e-15,-0.8660254037844396,True
2.5,30.0,1.0000000000000064,-1.000000000000001,1.0,-1.0,5.962218089060634e-15,-0.8660254037844396,True
2.75,30.0,0.9999999999999989,-2.0,1.0,-2.0,1.1102230246251565e-15,-1.7320508075688772,True
3.0,30.0,1.0000000000000007,-2.0000000000000013,1.0,-2.0,1.1537776118301384e-15,-1.7320508075688785,True
3.25,30.0,1.0,-2.0,1.0,-2.0,0.0,-1.7320508075688772,True
3.5,30.0,3.000000000000032,-3.0000000000000644,3.0,-3.0,5.576635996375892e-14,-2.5980762113533715,True
3.75,30.0,3.9999999999987548,-3.999999999997486,4.0,-4.0,2.1772101592275938e-12,-3.464101615135577,True
4.0,30.0,1.000000000000251,-3.000000000000115,1.0,-3.0,2.1754524833169273e-13,-2.5980762113534155,True
1.0,40.0,-1.4016990660172898e-17,2.8130840861353306e-17,0.0,0.0,2.4362070952974412e-17,2.4362022815749283e-17,True
1.25,40.0,-1.7718110858340325e-17,3.55047016834882e-17,0.0,0.0,3.074799267597124e-17,3.074797361168891e-17,True
1.5,40.0,-5.899619318450564e-17,7.371356964470328e-17,0.0,0.0,6.756790040359109e-17,6.38378239159465e-17,True
1.75,40.0,0.9999999999999998,-1.0,1.0,-1.0,2.220446049250313e-16,-0.8660254037844386,True
2.0,40.0,1.0000000000000056,-1.0000000000000089,1.0,-1.0,7.771561172376096e-15,-0.8660254037844464,True
2.25,40.0,1.0000000000005689,-1.0000000000002698,1.0,-1.0,4.928809578501355e-13,-0.8660254037846722,True
2.5,40.0,1.0000000000000002,-2.0000000000000004,1.0,-2.0,3.8459253727671276e-16,-1.7320508075688774,True
2.75,40.0,0.9999999999999957,-1.999999999999999,1.0,-2.0,3.895285159505065e-15,-1.7320508075688763,True
3.0,40.0,2.0000000000000018,-3.0000000000000036,2.0,-3.0,3.076740298213702e-15,-2.5980762113533187,True
3.25,40.0,2.00000000000005,-3.0000000000001,2.0,-3.0,8.653360577015237e-14,-2.598076211353402,True
3.5,40.0,4.000000000000013,-3.999999999999999,4.0,-4.0,1.37882369488729e-14,-3.4641016151377535,True
3.75,40.0,4.999999999999181,-4.000000000000205,5.0,-4.0,9.384591700405396e-13,-3.464101615137932,True
4.0,40.0,6.0000000000020055,-4.999999999997995,6.0,-5.0,3.4728706400024066e-12,-4.330127018920457,True
1.0,50.0,-1.4315548755992487e-17,2.8569015952651645e-17,0.0,0.0,2.4741513048056508e-17,2.474149357611921e-17,True
