T,n,mean_u,mean_v,T2,crit95,zero_excluded,P_neg_y,P_target
0.02,500,1.20338078311,-2.40768305505,615547.38,6.0397551,True,0.9979,0.0393
0.04,500,1.0704971482,-2.14649069341,242446.32,6.0397551,True,0.97466,0.0686
0.06,500,0.914918248787,-1.84461001801,125118.83,6.0397551,True,0.92814,0.08176
0.10,500,0.66387435401,-1.34634883411,44140.06,6.0397551,True,0.8178,0.07342
0.16,500,0.436157316717,-0.884754768125,12910.621,6.0397551,True,0.68818,0.05332
0.24,500,0.26188810191,-0.536948971674,3098.8892,6.0397551,True,0.59732,0.03712
0.32,500,0.164693356183,-0.346742404276,996.4747,6.0397551,True,0.55344,0.0255
0.50,1000,0.0800059383,-0.155086268697,229.94638,6.0155069,True,0.51933,0.01556
0.55,1000,0.0617538110642,-0.123655768837,128.14792,6.0155069,True,0.5148,0.01403
0.60,1000,0.0511166151587,-0.107197398953,87.927019,6.0155069,True,0.51181,0.01293
0.65,1000,0.0422264225041,-0.0868979381596,54.156809,6.0155069,True,0.50969,0.01168
0.70,1000,0.036997653872,-0.076447530209,38.054778,6.0155069,True,0.50802,0.01116
