theta_deg,n_stationary,n_stable_minima,DeltaU_enum,nearest_dense_theta,DeltaU_dense,DeltaF_plus_dense,DeltaF_minus_dense
0.0,6,2,0.3665603972859556,0.0,0.3665603972859556,3.289447223964176,0.8543384274029325
0.5,6,2,0.3596781563836632,0.5,0.3596781563836629,3.2414505187590983,0.8291147477934138
1.0,6,2,0.3396421192319091,1.0,0.339642119231909,3.0976329096581536,0.7567015457672073
1.5,6,2,0.3081844507075841,1.5,0.30818445070758366,2.8600766951198318,0.6469750262686484
2.0,6,2,0.26788731756247114,2.0,0.2678873175624711,2.536331553401962,0.5157425279152058
2.5,6,2,0.22181349891444546,2.5,0.2218134989144457,2.1423720091685547,0.38163220195020264
2.75,6,2,0.19760512811206268,2.75,0.1976051281120626,1.9265382451261424,0.3187744091221252
2.9,6,2,0.18292853106622486,2.8999999999999835,0.18292853106622664,1.7932695846783198,0.28323745383813803
2.94,6,2,0.1790088261908061,2.939999999999979,0.1790088261908083,1.7575032496409542,0.2740277357371872
2.96,6,2,0.1770490062017086,2.9600000000000066,0.17704900620170794,1.739666836478182,0.26943580513923304
2.97,6,2,0.17606918405536892,2.97000000000001,0.17606918405536792,1.7308262514385824,0.2671149956436588
2.973,6,2,0.17577525369312014,2.973000000000011,0.17577525369311908,1.728236227443892,0.2663930247436682
2.974,6,2,0.1756772787866275,2.9740000000000113,0.17567727878662628,1.7273032682001668,0.26617510685339163
2.98,6,2,0.17508945067765053,2.9800000000000133,0.1750894506776491,1.7215565080915909,0.2649856759745588
2.99,6,2,0.1741098286389863,2.9900000000000166,0.17410982863898455,1.712127555533955,0.2629321083886307
3.0,6,2,0.17313034044371028,3.00000000000002,0.1731303404437084,1.7027472609889105,0.2608645551166525
