theta_deg,dU_abs,dFp_abs,dFm_abs,groundFp_abs,groundFm_abs
0.0,0.0,1.3322676295501878e-15,4.440892098500626e-16,3.1086244689504383e-15,4.440892098500626e-16
0.25,3.3306690738754696e-16,9.325873406851315e-15,9.992007221626409e-16,1.021405182655144e-14,8.881784197001252e-16
0.5,2.7755575615628914e-16,1.0658141036401503e-14,5.551115123125783e-16,1.1102230246251565e-14,1.1102230246251565e-15
0.75,2.220446049250313e-16,3.1086244689504383e-15,8.215650382226158e-15,3.1086244689504383e-15,2.220446049250313e-16
1.0,1.1102230246251565e-16,3.9968028886505635e-15,4.773959005888173e-15,5.773159728050814e-15,4.440892098500626e-16
1.25,1.1102230246251565e-16,8.881784197001252e-15,1.6653345369377348e-15,9.325873406851315e-15,8.881784197001252e-16
1.5,4.440892098500626e-16,8.881784197001252e-16,1.1102230246251565e-16,1.3322676295501878e-15,1.3322676295501878e-15
1.75,2.7755575615628914e-16,3.552713678800501e-15,1.6764367671839864e-14,4.440892098500626e-15,4.440892098500626e-16
2.0,1.1102230246251565e-16,3.1086244689504383e-15,4.773959005888173e-15,3.552713678800501e-15,6.661338147750939e-16
2.25,8.326672684688674e-17,4.39648317751562e-14,1.3322676295501878e-15,4.39648317751562e-14,8.881784197001252e-16
2.5,1.942890293094024e-16,5.329070518200751e-15,1.9984014443252818e-15,5.773159728050814e-15,2.220446049250313e-16
2.75,1.1102230246251565e-16,2.886579864025407e-15,9.2148511043888e-15,3.1086244689504383e-15,4.440892098500626e-16
3.0,1.887379141862766e-15,4.1744385725905886e-14,8.026912468039882e-14,4.39648317751562e-14,8.43769498715119e-15
