theta_deg,direction,side,force_mag,n_stationary,n_stable_minima,min_soft_eig_stable
0.0,+y,below,3.4850202323700645,4,1,0.018075141470432488
0.0,+y,above,3.485220232370065,2,0,
0.0,-y,below,1.4221355051564715,4,1,0.12737290855355507
0.0,-y,above,1.4223355051564714,2,0,
1.5,+y,below,3.07103533853926,4,1,0.01578636309669175
1.5,+y,above,3.0712353385392603,2,0,
1.5,-y,below,1.2585722984999546,4,1,0.12351521643351125
1.5,-y,above,1.2587722984999545,2,0,
3.0,+y,below,1.8832145057626906,4,1,0.0035394645464439808
3.0,+y,above,1.8834145057626905,2,0,
3.0,-y,below,0.7823122481159915,4,1,0.10239858456013423
3.0,-y,above,0.7825122481159915,2,0,
