T,mean_u,u_ci_lo,u_ci_hi,mean_v,v_ci_lo,v_ci_hi,source
0.02,1.2033807831088494,1.195633729347671,1.211060277621581,-2.407683055051828,-2.4137421760094626,-2.4014668170853715,N500_stationary
0.04,1.0704971481969936,1.0611258877743477,1.0798383831403342,-2.146490693413711,-2.155062220783616,-2.137913498880174,N500_stationary
0.06,0.9149182487865198,0.9043524472349826,0.9254625791420104,-1.8446100180100984,-1.8546545615747148,-1.8346611194993836,N500_stationary
0.1,0.6638743540095207,0.6515517215725666,0.6767441711161776,-1.34634883411147,-1.3588957236064063,-1.3339365578446296,N500_stationary
0.16,0.4361573167170353,0.4209880673020602,0.451640385613935,-0.8847547681250031,-0.900316049297998,-0.869643817728197,N500_stationary
0.24,0.2618881019097206,0.2435358748816059,0.2800752199645107,-0.5369489716737931,-0.5558415560711553,-0.5179042480209463,N500_stationary
0.32,0.1646933561829814,0.1430934947769138,0.1867890152408504,-0.3467424042761797,-0.3685455800789687,-0.3251211256709684,N500_stationary
0.5,0.0800059382999507,0.0601169396677308,0.1000765279632878,-0.155086268696666,-0.1753146270329024,-0.135031427369552,N1000_pooled_two_seed
0.55,0.0617538110641952,0.0405432786741663,0.082763233607124,-0.1236557688368761,-0.1450227261124894,-0.1027037864331383,N1000_pooled_two_seed
0.6,0.0511166151587208,0.0289825976474329,0.073704774367469,-0.1071973989533641,-0.1297872487094249,-0.0848788162304342,N1000_pooled_two_seed
0.65,0.0422264225041292,0.0189215618887757,0.0655339847619759,-0.0868979381595784,-0.1097722691901381,-0.06367240380437,N1000_pooled_two_seed
0.7,0.0369976538720492,0.0126497852007917,0.061316091337157,-0.0764475302089921,-0.1008811009342779,-0.0519549338703813,N1000_pooled_two_seed
