label,u,v,m,n,all_same
nominal,0.9999999999999987,-0.999999999999998,1.0,-1.0,1.0
lhs_00,1.0000000000000002,-1.0000000000000002,1.0,-1.0,1.0
lhs_01,1.0,-1.0000000000000004,1.0,-1.0,1.0
lhs_02,0.9999999999999988,-0.9999999999999981,1.0,-1.0,1.0
lhs_03,1.0000000000000002,-1.0,1.0,-1.0,1.0
lhs_04,1.0000000000000016,-1.0000000000000033,1.0,-1.0,1.0
lhs_05,0.9999999999999999,-1.0000000000000004,1.0,-1.0,1.0
lhs_06,0.9999999999999999,-0.9999999999999996,1.0,-1.0,1.0
lhs_07,1.0000000000000004,-1.000000000000001,1.0,-1.0,1.0
lhs_08,1.0000000000000016,-1.0000000000000027,1.0,-1.0,1.0
lhs_09,1.0000000000000007,-1.0,1.0,-1.0,1.0
lhs_10,1.0000000000000007,-1.0000000000000009,1.0,-1.0,1.0
lhs_11,1.0,-1.0000000000000002,1.0,-1.0,1.0
lhs_12,0.9999999999999992,-0.9999999999999996,1.0,-1.0,1.0
lhs_13,1.0000000000000007,-1.0000000000000009,1.0,-1.0,1.0
lhs_14,1.0,-1.0,1.0,-1.0,1.0
lhs_15,1.0000000000000009,-1.0000000000000009,1.0,-1.0,1.0
