parameter,metric,derivative,half_interval,max_linear_contribution
W1,Fplus,0.02395307622093057,0.05,0.0011976538110465285
W1,Fminus,0.011266932800571006,0.05,0.0005633466400285503
W1,Delta,0.012686143420359564,0.05,0.0006343071710179782
W1,rho,-0.00047508044620836465,0.05,2.3754022310418232e-05
W2,Fplus,-1.1157853181000643,0.05,0.055789265905003216
W2,Fminus,-0.5205443314301395,0.05,0.026027216571506973
W2,Delta,-0.5952409866699249,0.05,0.029762049333496243
W2,rho,0.020716965576441093,0.05,0.0010358482788220547
W3,Fplus,-0.7787722580844925,0.05,0.03893861290422462
W3,Fminus,-0.3694610218465355,0.05,0.018473051092326775
W3,Delta,-0.40931123623795695,0.05,0.020465561811897848
W3,rho,0.01646583195015927,0.05,0.0008232915975079635
phi1,Fplus,0.09473828972883513,0.05,0.004736914486441757
phi1,Fminus,0.052976031896172504,0.05,0.002648801594808625
phi1,Delta,0.04176225783266263,0.05,0.0020881128916331315
phi1,rho,-0.0046355693393074215,0.05,0.00023177846696537108
phi2,Fplus,-0.010299471817165617,0.05,0.0005149735908582809
phi2,Fminus,1.861385723556097e-05,0.05,9.306928617780486e-07
phi2,Delta,-0.010318085674401178,0.05,0.0005159042837200589
phi2,rho,-0.0013890906331498476,0.05,6.945453165749238e-05
phi3,Fplus,0.0009758062632503339,0.05,4.8790313162516696e-05
phi3,Fminus,0.0007545358687743864,0.05,3.772679343871932e-05
phi3,Delta,0.00022127039447594754,0.05,1.1063519723797377e-05
phi3,rho,-0.00011618369245514071,0.05,5.809184622757035e-06
