label,W1,W2,W3,phi1,phi2,phi3,ground_x,ground_y,Fplus,Fminus,Delta,rho
nominal,7.9,0.1,0.1,131.9,1.2,85.4,1.5,0.8660254037844386,3.0711353385392495,1.2586722984999528,1.8124630400392967,0.4186012848549296
W1_-1half,7.8500000000000005,0.1,0.1,131.9,1.2,85.4,1.5,0.8660254037844386,3.0699297472396343,1.2581053925613888,1.8118243546782455,0.41862514886178637
W1_+1half,7.95,0.1,0.1,131.9,1.2,85.4,1.5,0.8660254037844386,3.0723250548617274,1.2592320858414459,1.8130929690202815,0.41857764081716553
W2_-1half,7.9,0.05,0.1,131.9,1.2,85.4,1.5,0.8660254037844386,3.1267734063448236,1.2847536958922567,1.8420197104525668,0.41754695545641796
W2_+1half,7.9,0.15000000000000002,0.1,131.9,1.2,85.4,1.5,0.8660254037844386,3.015194874534817,1.2326992627492428,1.7824956117855744,0.41961865201406207
W3_-1half,7.9,0.1,0.05,131.9,1.2,85.4,1.5,0.8660254037844386,3.1096468182886965,1.277146651304509,1.8325001669841874,0.4177311240399284
W3_+1half,7.9,0.1,0.15000000000000002,131.9,1.2,85.4,1.5,0.8660254037844386,3.0317695924802472,1.2402005491198556,1.7915690433603917,0.41937770723494433
phi1_-1half,7.9,0.1,0.1,131.85,1.2,85.4,1.5,0.8660254037844386,3.0663949249384976,1.2560240377226062,1.8103708872158915,0.41883281163965047
phi1_+1half,7.9,0.1,0.1,131.95000000000002,1.2,85.4,1.5,0.8660254037844386,3.075868753911381,1.2613216409122234,1.8145471129991577,0.41836925470571973
phi2_-1half,7.9,0.1,0.1,131.9,1.15,85.4,1.5,0.8660254037844386,3.0716540001055357,1.2586713871939605,1.8129826129115751,0.41867122000321516
phi2_+1half,7.9,0.1,0.1,131.9,1.25,85.4,1.5,0.8660254037844386,3.070624052923819,1.258673248579684,1.811950804344135,0.4185323109399002
phi3_-1half,7.9,0.1,0.1,131.9,1.2,85.35000000000001,1.5,0.8660254037844386,3.071086577068108,1.2586345861808321,1.812451990887276,0.4186070932861751
phi3_+1half,7.9,0.1,0.1,131.9,1.2,85.45,1.5,0.8660254037844386,3.071184157694433,1.2587100397677096,1.8124741179267236,0.4185954749169296
lhs_00,7.91511747049153,0.05996050007788174,0.09391686646526552,131.91820709687383,1.2011850497209744,85.36275844344793,1.5,0.8660254037844386,3.1221505492223875,1.2828558027629722,1.8392947464594154,0.4175464459047682
lhs_01,7.8655437136072335,0.14915719214652673,0.05866528074664777,131.88823680946317,1.1647895387822864,85.38159358899539,1.5,0.8660254037844386,3.0477921053739627,1.247350796453833,1.8004413089201297,0.4191807700167445
lhs_02,7.907620949567815,0.11009314349347771,0.07719647778945624,131.9088026306659,1.1890237092872087,85.41779463128395,1.5,0.8660254037844386,3.0788550133844357,1.2624067594125576,1.816448253971878,0.41841481786563045
lhs_03,7.94292728242959,0.07038881360942913,0.1310048568296554,131.860732786379,1.1839800029374148,85.38099058006955,1.5,0.8660254037844386,3.0777142410745193,1.2610274160327624,1.816686825041757,0.4187128362588372
lhs_04,7.88679985682749,0.10033498757429922,0.05183805618458848,131.94755517732455,1.2355799624440045,85.43151924569294,1.5,0.8660254037844386,3.1117239549287468,1.278708699447552,1.8330152554811947,0.4175021916471217
lhs_05,7.926791312432779,0.12609403805658903,0.13938108102623586,131.91875399886626,1.1759714712982425,85.39809004763947,1.5,0.8660254037844386,3.013394468706998,1.2319362907028968,1.7814581780041012,0.41962765187505097
lhs_06,7.923665422314701,0.05321905439192694,0.09230002822216024,131.93735927564964,1.1690951452359584,85.37041983614978,1.5,0.8660254037844386,3.1329551114384278,1.2880472208066809,1.8449078906317469,0.4173053420885329
lhs_07,7.852852711729038,0.12383751103328913,0.10057262112755702,131.92792334945707,1.2489349373706415,85.44824615846598,1.5,0.8660254037844386,3.0449223736814335,1.246975650637044,1.7979467230443895,0.4189164590717158
lhs_08,7.870363778989441,0.08118918311954215,0.07035282250355632,131.85307892787793,1.214316153144404,85.35962658940541,1.5,0.8660254037844386,3.109570841163565,1.2766627623925302,1.832908078771035,0.41787744211457933
lhs_09,7.893307333707147,0.1338929442353911,0.14874506845663063,131.94328222919845,1.1999974605172068,85.43933538832503,1.5,0.8660254037844386,2.9979116428206405,1.2252737429363871,1.7726378998842534,0.4197395420676043
lhs_10,7.949299922202017,0.09076830511402169,0.11758818701547197,131.86534184775013,1.2413087825067504,85.40004880595922,1.5,0.8660254037844386,3.065279717429597,1.2557134708884559,1.809566246541141,0.4187847949942071
lhs_11,7.8968681957350615,0.06387190500036774,0.06323761946185395,131.8870727682793,1.2187692978190774,85.35461898085656,1.5,0.8660254037844386,3.1374387371628267,1.2903548771937678,1.8470838599690589,0.4171567197667274
lhs_12,7.877586292143219,0.0990960126298685,0.11174596956568908,131.87001396834623,1.2306983236421567,85.38802772341138,1.5,0.8660254037844386,3.0592342966308497,1.2529416552791388,1.8062926413517109,0.4188819430133993
lhs_13,7.932058101286744,0.14193109007533064,0.13212384717012035,131.87982656456686,1.1581341781129892,85.41145615501277,1.5,0.8660254037844386,2.9978970646274785,1.2244382514364933,1.7734588131909852,0.4200184685578667
lhs_14,7.8567254627196865,0.11423202539848337,0.1199329842302353,131.90035224057874,1.2082330692432823,85.42491785286819,1.5,0.8660254037844386,3.038234217582522,1.2433716842383793,1.7948625333441426,0.419203115490105
lhs_15,7.90162137277639,0.08372395829711432,0.08410551823932051,131.89766288695404,1.1557799248066007,85.42769862673038,1.5,0.8660254037844386,3.101652582118686,1.2729305189755038,1.8287220631431824,0.41803344933275455
