F0,tau,reference_pair,n_gamma,n_match_reference,fraction_match_reference,n_unique_pairs,all_cycle_locked,unique_pairs
1.4,30.0,"(0,0)",6,6,1.0,1,True,"(0,0)"
2.0,30.0,"(1,-1)",6,3,0.5,3,True,"(0,0);(1,-1);(1,-2)"
2.6,30.0,"(1,-1)",6,4,0.6666666666666666,3,True,"(1,-1);(1,-2);(1,-3)"
3.0,30.0,"(1,-2)",6,1,0.16666666666666666,4,True,"(1,-1);(1,-2);(2,-3);(5,-7)"
1.4,40.0,"(0,0)",6,5,0.8333333333333334,2,True,"(0,0);(1,-1)"
2.0,40.0,"(1,-1)",6,3,0.5,4,True,"(0,0);(1,-1);(1,-3);(2,-2)"
2.6,40.0,"(1,-2)",6,2,0.3333333333333333,4,True,"(1,-1);(1,-2);(1,-6);(2,-3)"
3.0,40.0,"(2,-3)",6,1,0.16666666666666666,5,True,"(1,-1);(1,-2);(1,-9);(2,-3);(2,-4)"
1.4,60.0,"(1,-1)",6,3,0.5,2,True,"(0,0);(1,-1)"
2.0,60.0,"(2,-2)",6,1,0.16666666666666666,4,True,"(1,-1);(1,-3);(2,-2);(3,-5)"
2.6,60.0,"(2,-3)",6,2,0.3333333333333333,5,True,"(1,-1);(1,-2);(2,-12);(2,-3);(4,-6)"
3.0,60.0,"(3,-5)",6,1,0.16666666666666666,5,True,"(2,-16);(2,-2);(2,-3);(3,-5);(5,-7)"
