gamma,F0,tau,u,v,m,n,max_cycle_res,all_same,integer_pair
2.0,1.4,30.0,8.641826879627449e-17,-1.5063207710004586e-16,0.0,0.0,6.106226635438361e-16,1.0,"(0,0)"
3.0,1.4,30.0,8.481579989095485e-17,-1.4742713928940658e-16,0.0,0.0,4.47545209131181e-16,1.0,"(0,0)"
4.0,1.4,30.0,7.050863183406402e-17,-1.4101726366812804e-16,0.0,0.0,3.3306690738754696e-16,1.0,"(0,0)"
5.0,1.4,30.0,5.4483942780867656e-17,-1.0896788556173531e-16,0.0,0.0,5.551115123125783e-16,1.0,"(0,0)"
6.0,1.4,30.0,5.4483942780867656e-17,-1.0896788556173531e-16,0.0,0.0,2.220446049250313e-16,1.0,"(0,0)"
8.0,1.4,30.0,5.4483942780867656e-17,-1.0896788556173531e-16,0.0,0.0,3.3306690738754696e-16,1.0,"(0,0)"
2.0,2.0,30.0,0.9999999999999597,-2.000000000000022,1.0,-2.0,2.3057333274750245e-11,1.0,"(1,-2)"
3.0,2.0,30.0,0.9999999999999998,-1.0000000000000002,1.0,-1.0,3.75883872905684e-14,1.0,"(1,-1)"
4.0,2.0,30.0,0.9999999999999998,-1.0000000000000004,1.0,-1.0,1.5923865021469473e-14,1.0,"(1,-1)"
5.0,2.0,30.0,0.999999999999998,-0.9999999999999994,1.0,-1.0,2.902749808189363e-13,1.0,"(1,-1)"
6.0,2.0,30.0,2.56386764482659e-16,-2.0191108207027417e-16,0.0,0.0,1.0329400704738531e-15,1.0,"(0,0)"
8.0,2.0,30.0,-1.8003525711376305e-16,-1.5063207710004583e-16,0.0,0.0,5.5628294935613794e-15,1.0,"(0,0)"
2.0,2.6,30.0,1.000000000000005,-3.0000000000000115,1.0,-3.0,5.328645581899733e-12,1.0,"(1,-3)"
3.0,2.6,30.0,0.9999999999999438,-1.9999999999998874,1.0,-2.0,8.137990111827014e-12,1.0,"(1,-2)"
4.0,2.6,30.0,1.0,-1.0000000000000007,1.0,-1.0,2.290044249711866e-12,1.0,"(1,-1)"
5.0,2.6,30.0,0.99999999999997,-0.9999999999999396,1.0,-1.0,1.4343379117721095e-11,1.0,"(1,-1)"
6.0,2.6,30.0,1.0,-1.0000000000000007,1.0,-1.0,5.824175385795272e-15,1.0,"(1,-1)"
8.0,2.6,30.0,0.9999999999999971,-0.9999999999999993,1.0,-1.0,1.0274764705597846e-13,1.0,"(1,-1)"
2.0,3.0,30.0,4.99999999999168,-6.999999999996905,5.0,-7.0,6.457906965091266e-10,1.0,"(5,-7)"
3.0,3.0,30.0,1.9999999999999762,-2.999999999999997,2.0,-3.0,6.698012220457055e-13,1.0,"(2,-3)"
4.0,3.0,30.0,1.0000000000000007,-2.0000000000000013,1.0,-2.0,9.00277927046618e-14,1.0,"(1,-2)"
5.0,3.0,30.0,0.9999999999999739,-1.000000000000014,1.0,-1.0,6.345903021818282e-13,1.0,"(1,-1)"
6.0,3.0,30.0,1.0000000000000002,-1.0000000000000007,1.0,-1.0,2.1810161068829136e-14,1.0,"(1,-1)"
8.0,3.0,30.0,0.9999999999999997,-1.0000000000000004,1.0,-1.0,4.6151104473205536e-15,1.0,"(1,-1)"
2.0,1.4,40.0,0.9999999999998952,-0.9999999999999577,1.0,-1.0,6.176363229747934e-12,1.0,"(1,-1)"
3.0,1.4,40.0,-9.798070740646966e-17,2.4037033579794556e-16,0.0,0.0,4.583285185259637e-15,1.0,"(0,0)"
4.0,1.4,40.0,-1.201851678989728e-16,2.403703357979456e-16,0.0,0.0,4.163336342344337e-15,1.0,"(0,0)"
5.0,1.4,40.0,-1.073654166564157e-16,2.1473083331283137e-16,0.0,0.0,3.774758283725532e-15,1.0,"(0,0)"
6.0,1.4,40.0,-1.0255800994045671e-16,2.0511601988091343e-16,0.0,0.0,3.774758283725532e-15,1.0,"(0,0)"
8.0,1.4,40.0,-7.691850745534256e-17,1.5383701491068512e-16,0.0,0.0,2.886579864025407e-15,1.0,"(0,0)"
2.0,2.0,40.0,1.0000000000003344,-3.000000000000077,1.0,-3.0,1.977680375638504e-11,1.0,"(1,-3)"
3.0,2.0,40.0,2.0000000000000044,-2.0000000000000004,2.0,-2.0,1.3531828897820918e-13,1.0,"(2,-2)"
4.0,2.0,40.0,0.9999999999999997,-1.0,1.0,-1.0,3.9152157814045136e-13,1.0,"(1,-1)"
5.0,2.0,40.0,0.9999999999999994,-0.9999999999999997,1.0,-1.0,1.173007238693974e-14,1.0,"(1,-1)"
6.0,2.0,40.0,0.9999999999999997,-1.0000000000000002,1.0,-1.0,9.61481343191782e-15,1.0,"(1,-1)"
8.0,2.0,40.0,8.862349247060881e-16,-8.493085198194056e-17,0.0,0.0,1.1776939308008414e-13,1.0,"(0,0)"
2.0,2.6,40.0,1.000000000000003,-6.000000000000035,1.0,-6.0,7.558463894965244e-12,1.0,"(1,-6)"
3.0,2.6,40.0,1.9999999999999516,-2.9999999999999494,2.0,-3.0,1.4839646622370686e-12,1.0,"(2,-3)"
4.0,2.6,40.0,0.9999999999999993,-2.0000000000000004,1.0,-2.0,3.0249451999165166e-14,1.0,"(1,-2)"
5.0,2.6,40.0,0.9999999999999565,-2.000000000000047,1.0,-2.0,2.5376585253711002e-12,1.0,"(1,-2)"
6.0,2.6,40.0,1.0000000000000016,-0.9999999999999997,1.0,-1.0,4.995164705206486e-14,1.0,"(1,-1)"
8.0,2.6,40.0,0.9999999999999984,-0.9999999999999971,1.0,-1.0,5.4419844024654856e-14,1.0,"(1,-1)"
2.0,3.0,40.0,0.9999999999655884,-8.999999999947166,1.0,-9.0,1.1630998021729114e-09,1.0,"(1,-9)"
3.0,3.0,40.0,1.9999999999999374,-3.9999999999999765,2.0,-4.0,9.258807139150632e-13,1.0,"(2,-4)"
4.0,3.0,40.0,2.0,-3.0000000000000004,2.0,-3.0,8.545342699040571e-14,1.0,"(2,-3)"
5.0,3.0,40.0,1.0000000000000004,-2.000000000000001,1.0,-2.0,1.927572271950125e-14,1.0,"(1,-2)"
6.0,3.0,40.0,1.000000000000016,-1.9999999999999756,1.0,-2.0,4.598783389804489e-13,1.0,"(1,-2)"
8.0,3.0,40.0,0.9999999999999998,-1.0000000000000004,1.0,-1.0,3.0747165156306074e-14,1.0,"(1,-1)"
2.0,1.4,60.0,1.0000000000000004,-1.0000000000000002,1.0,-1.0,1.173007238693974e-14,1.0,"(1,-1)"
3.0,1.4,60.0,0.9999999999999998,-1.0000000000000004,1.0,-1.0,1.173007238693974e-14,1.0,"(1,-1)"
4.0,1.4,60.0,0.9999999999995757,-0.9999999999997857,1.0,-1.0,1.0793523378968922e-10,1.0,"(1,-1)"
5.0,1.4,60.0,1.0713531247444392e-16,-1.698617039638815e-16,0.0,0.0,3.580361673049448e-15,1.0,"(0,0)"
6.0,1.4,60.0,8.64182687962745e-17,-1.5063207710004583e-16,0.0,0.0,5.551115123125783e-16,1.0,"(0,0)"
8.0,1.4,60.0,7.531603855002293e-17,-1.5063207710004586e-16,0.0,0.0,6.106226635438361e-16,1.0,"(0,0)"
2.0,2.0,60.0,3.0000000000004663,-5.000000000000893,3.0,-5.0,5.315777132234806e-11,1.0,"(3,-5)"
