T,N,reps,reject_fraction,mean_ci_width_u,mean_ci_width_v,median_relative_mean_error,p90_relative_mean_error,mean_estimate_u,mean_estimate_v
0.5,50,500,0.864,0.17734013097168042,0.1783852936252527,0.280724571391332,0.5847003810182049,0.0789430478049584,-0.15432058168013174
0.5,100,500,0.988,0.12496307803853185,0.12649575127051757,0.20869608597062525,0.39583138883587715,0.07985317968874397,-0.15436668003141793
0.5,200,500,1.0,0.08861664781990915,0.0895660261956084,0.1333929073479463,0.24748390125104006,0.08008883207536426,-0.15345717527740374
0.5,300,500,1.0,0.0724860079147383,0.0731132810007633,0.09744076312134625,0.19063562050337796,0.0788029611690622,-0.15423138726313612
0.5,500,500,1.0,0.05613504035191001,0.056687015733866794,0.06482920521630925,0.12649962397711803,0.08010549388128814,-0.15411694504716256
0.5,750,500,1.0,0.04587795926123204,0.046269878408062855,0.03495661212388733,0.07117926485081374,0.08018601118331666,-0.15483992447360345
0.5,1000,1,1.0,0.039739921682496085,0.04010104213540094,0.0,0.0,0.08000593829995077,-0.15508626869666603
0.55,50,500,0.598,0.18985878609764212,0.189079033123817,0.38008765740956196,0.7421831287408007,0.06236883854256201,-0.12477550465755946
0.55,100,500,0.91,0.13471079353388085,0.13577327069051623,0.2575659217478653,0.5051681488184899,0.062440993121398024,-0.12453085527162225
0.55,200,500,0.998,0.09536362010291112,0.09583409181451273,0.17075556868173886,0.3221082605771384,0.06264520937840892,-0.12336494191153474
0.55,300,500,1.0,0.07779011262660383,0.0781536006902378,0.1385779225829863,0.25716369010930423,0.062046569122965876,-0.12403177431673176
0.55,500,500,1.0,0.0602029652753981,0.06052413339716122,0.08882521269318354,0.1832786167432155,0.062168433260356905,-0.12412028780671673
0.55,750,500,1.0,0.049244031884371126,0.04948759519059938,0.052304570522677264,0.09770634147107879,0.061771995724138704,-0.12354049209738346
0.55,1000,1,1.0,0.04264046340639865,0.042820096676794824,0.0,0.0,0.061753811064195266,-0.12365576883687611
0.6,50,500,0.416,0.19981832016806356,0.1988362947419148,0.4675548658210846,0.9156069572879385,0.04806198370562736,-0.10610314731729903
0.6,100,500,0.754,0.14125153782452038,0.14176285746651063,0.31766850888119946,0.620488509553986,0.05202477065322516,-0.10826981619720188
0.6,200,500,0.99,0.09988393514245121,0.10020060263828676,0.2123688698139693,0.42138794708318994,0.04915250521345717,-0.10706887185225746
0.6,300,500,1.0,0.0816861423253047,0.0818692095728297,0.17845662182200628,0.318759182268638,0.0520263276922375,-0.10662409942770901
0.6,500,500,1.0,0.06356197836181945,0.06351090750191696,0.1117391793960851,0.21237287845876754,0.051049786955196255,-0.10710703092493525
0.6,750,500,1.0,0.0518251114668381,0.05185265994953283,0.06215398917961923,0.11755010866146338,0.051323672393495424,-0.10747678922771951
0.6,1000,1,1.0,0.04489154337908043,0.04488116534139638,0.0,0.0,0.051116615158720846,-0.10719739895336416
0.65,50,500,0.27,0.20981807626942503,0.20699849454103605,0.6732818652426079,1.1707493344926136,0.04384988476860183,-0.08453355074031897
0.65,100,500,0.506,0.14779369403851836,0.14641752849665107,0.41070010413012614,0.8189570805709354,0.039206065664201685,-0.08509138682938845
0.65,200,500,0.878,0.10482305133096989,0.10363222188340464,0.27586887567477963,0.5411132580746162,0.04273309147727623,-0.08851380402674855
0.65,300,500,0.976,0.08536133287485305,0.08463501038808757,0.20370894972388912,0.41072153062942407,0.04390709215048076,-0.0874915425239386
0.65,500,500,1.0,0.06598484567820873,0.06546298564345551,0.1349591731327313,0.28236242553907903,0.041967200315600736,-0.08625226475277088
0.65,750,500,1.0,0.05399086488383003,0.053433713550369404,0.07671215224467953,0.14563421387578893,0.04205959603289002,-0.0864687884923683
0.65,1000,1,1.0,0.046765813918033264,0.046309184287285914,0.0,0.0,0.042226422504129266,-0.08689793815957843
0.7,50,500,0.206,0.21654406999798573,0.2162134130914171,0.6948838670944265,1.39608260856935,0.031952983671640976,-0.0752406829379052
0.7,100,500,0.352,0.1533539824263318,0.1534655085145691,0.4809842375815694,0.9189428102305573,0.03628210317798842,-0.07556172890108007
0.7,200,500,0.688,0.10899610901151216,0.10851016034997808,0.31823679089671875,0.6198156336162371,0.03630360223247225,-0.07474898178243544
0.7,300,500,0.886,0.08900685249972849,0.08863770611531531,0.26509665155151907,0.5209759976882218,0.03699177742263907,-0.0764760301216092
0.7,500,500,1.0,0.06877118864399814,0.06863249539142874,0.16594247114634458,0.3261940783959142,0.036047641222874634,-0.07556999003307228
0.7,750,500,1.0,0.056297896286443404,0.05603235823304087,0.08731866899085645,0.1733354016742922,0.036640530344953244,-0.07639904672542543
0.7,1000,1,1.0,0.04875541272080752,0.04858043639636973,0.0,0.0,0.036997653872049265,-0.0764475302089921
