N,Theta,theta,F,nstat,nmin,min_eigs,min_Us
37,24.0,3.945575695328575,0.18,6,2,11.512;2.08311,-0.476102;-0.272775
37,24.0,3.945575695328575,0.2,6,2,11.4278;1.26595,-0.476402;-0.279621
37,24.0,3.945575695328575,0.21,6,2,11.3857;0.505664,-0.476564;-0.283157
37,24.0,3.945575695328575,0.211,6,2,11.3815;0.350692,-0.47658;-0.283519
37,24.0,3.945575695328575,0.212,4,1,11.3773,-0.476597
37,24.0,3.945575695328575,0.22,4,1,11.3437,-0.476733
37,24.0,3.945575695328575,2.64,4,1,0.216614,-0.725745
37,24.0,3.945575695328575,2.66,4,1,0.0754651,-0.729622
37,24.0,3.945575695328575,2.68,2,0,,
91,30.0,3.144854510165755,0.16,6,2,9.44291;2.07324,-0.386752;-0.228546
91,30.0,3.144854510165755,0.18,6,2,9.36281;1.42016,-0.387079;-0.235369
91,30.0,3.144854510165755,0.19,6,2,9.32279;0.938312,-0.387257;-0.238881
91,30.0,3.144854510165755,0.197,6,2,9.29477;0.303935,-0.387386;-0.241404
91,30.0,3.144854510165755,0.198,4,1,9.29077,-0.387405
91,30.0,3.144854510165755,0.2,4,1,9.28277,-0.387443
91,30.0,3.144854510165755,0.22,4,1,9.20276,-0.387845
91,30.0,3.144854510165755,2.18,4,1,0.187945,-0.596578
91,30.0,3.144854510165755,2.2,4,1,0.0534424,-0.600567
91,30.0,3.144854510165755,2.22,2,0,,
