direction,q,Nmin,n,alpha,R2,stderr,alpha_minus_half
plus,0.95,37,10,0.5036312219708554,0.9999930167929953,0.00047054008516134995,0.003631221970855414
plus,0.95,61,9,0.5026718768152078,0.999997563595792,0.0002965587672813578,0.002671876815207752
plus,0.95,91,8,0.5021103172574788,0.999999012068902,0.00020374504832936237,0.0021103172574787887
plus,0.95,127,7,0.5017432300519781,0.9999995669542803,0.00014766021225469018,0.001743230051978073
plus,0.95,169,6,0.5014851327954534,0.9999998047855096,0.00011078580931478689,0.00148513279545337
plus,0.95,217,5,0.5012940368396969,0.9999999137636567,8.499181353036306e-05,0.001294036839696866
plus,0.9,37,10,0.503626441855883,0.9999930344771444,0.0004699394492895676,0.0036264418558830114
plus,0.9,61,9,0.5026683131747924,0.9999975699324938,0.00029617076436052404,0.002668313174792436
plus,0.9,91,8,0.5021074856332918,0.9999990146710245,0.00020347540049677268,0.0021074856332917724
plus,0.9,127,7,0.5017408831866274,0.9999995681030986,0.00014746352992539192,0.001740883186627351
plus,0.9,169,6,0.5014831292541028,0.9999998053057567,0.00011063764655945266,0.0014831292541027663
plus,0.9,217,5,0.5012922886624136,0.9999999139941959,8.487783544850478e-05,0.0012922886624135987
plus,0.85,37,10,0.5036033690287655,0.9999931223181027,0.00046694547308964496,0.0036033690287654574
plus,0.85,61,9,0.5026513451588761,0.9999976006244355,0.00029428455257371055,0.002651345158876106
plus,0.85,91,8,0.50209409001182,0.9999990271222144,0.00020218030110422412,0.002094090011820038
plus,0.85,127,7,0.501729821337043,0.9999995735620931,0.00014652539705382986,0.0017298213370430249
plus,0.85,169,6,0.5014737073842748,0.9999998077669469,0.00010993405448580714,0.0014737073842747694
plus,0.85,217,5,0.5012840805300737,0.9999999150815224,8.43382147278729e-05,0.0012840805300736724
plus,0.8,37,10,0.5035654105411335,0.999993266261934,0.00046199839767342113,0.0035654105411334625
plus,0.8,61,9,0.5026234828432338,0.9999976507488617,0.0002911782880435047,0.002623482843233771
plus,0.8,91,8,0.5020721139324644,0.9999990474225052,0.00020005105247053017,0.0020721139324644255
plus,0.8,127,7,0.5017116834371074,0.9999995824536124,0.00014498453115262537,0.0017116834371073697
plus,0.8,169,6,0.5014582636788624,0.9999998117731437,0.00010877914281762785,0.0014582636788623704
plus,0.8,217,5,0.5012706293658121,0.9999999168506377,8.345283812703609e-05,0.001270629365812126
minus,0.95,37,10,0.5036450298181976,0.9999929630444283,0.00047236041078797656,0.003645029818197587
minus,0.95,61,9,0.5026819610837575,0.9999975450427395,0.0002976917380130285,0.0026819610837575114
minus,0.95,91,8,0.5021182515879116,0.9999990045879733,0.00020451823716486546,0.002118251587911568
minus,0.95,127,7,0.501749769408936,0.9999995636860765,0.00014821829403157565,0.0017497694089360083
minus,0.95,169,6,0.501490695810054,0.999999803315427,0.00011120340249465695,0.0014906958100540102
minus,0.95,217,5,0.5012988791479149,0.9999999131152243,8.531157645072762e-05,0.001298879147914933
minus,0.9,37,10,0.5036533006788927,0.9999929295323041,0.00047349162036120217,0.0036533006788926903
minus,0.9,61,9,0.5026879013039786,0.9999975337964317,0.00029837635837182797,0.002687901303978557
minus,0.9,91,8,0.5021228867633747,0.9999990001188918,0.000204978726380164,0.0021228867633746873
minus,0.9,127,7,0.5017535713632478,0.9999995617505248,0.0001485478148569242,0.00175357136324783
minus,0.9,169,6,0.5014939202137543,0.9999998024497045,0.00011144858562434541,0.001493920213754274
minus,0.9,217,5,0.5013016799194828,0.9999999127348697,8.549858405661202e-05,0.0013016799194828232
minus,0.85,37,10,0.5036419909104083,0.9999929716611979,0.0004720682685211343,0.003641990910408288
minus,0.85,61,9,0.502679475553805,0.9999975488656941,0.00029745838777740904,0.0026794755538049886
minus,0.85,91,8,0.5021161931835749,0.999999006303214,0.00020434111588852602,0.0021161931835749215
minus,0.85,127,7,0.5017480241345439,0.9999995644801422,0.00014808284316869414,0.0017480241345438907
minus,0.85,169,6,0.5014891846575044,0.9999998036856613,0.00011109835509879495,0.001489184657504361
minus,0.85,217,5,0.5012975480086259,0.9999999132825251,8.522917476560763e-05,0.001297548008625915
minus,0.8,37,10,0.503614203495831,0.999993077103375,0.0004684879266163553,0.00361420349583097
minus,0.8,61,9,0.5026589781409293,0.9999975859003795,0.0002951906124737363,0.0026589781409293023
minus,0.8,91,8,0.5020999871377454,0.9999990213669324,0.00020277982350141297,0.002099987137745396
minus,0.8,127,7,0.5017346300270489,0.999999571094699,0.00014695009638496047,0.001734630027048878
minus,0.8,169,6,0.501477770069933,0.9999998066708027,0.00011024793311371419,0.0014777700699329932
minus,0.8,217,5,0.5012876001456293,0.999999914602236,8.457647935633987e-05,0.0012876001456293418
