N,shell,direction,q,theta_q_deg,Theta_q,target_F,hard,res,bracket_Theta_lo,bracket_Theta_hi
37,3,plus,0.95,1.8227464567931733,11.087333849615357,3.3108642207515686,15.34989915417636,1.0323300577481862e-14,11.0,12.0
37,3,plus,0.9,2.57140214992069,15.641228647865857,3.136608209133065,14.009485519062284,1.7359832955612955e-15,15.0,16.0
37,3,plus,0.85,3.1457166774582888,19.13464753657749,2.9623521975145612,12.777262016424189,9.618265540151173e-16,19.0,20.0
37,3,plus,0.8,3.632474382000998,22.095479063103852,2.788096185896058,11.636823575634601,1.6762468091871468e-15,22.0,23.0
37,3,minus,0.95,1.8525664673183755,11.268721892291156,1.3511237298986485,24.46099124592674,1.2435376580571337e-14,11.0,12.0
37,3,minus,0.9,2.6133855922708413,15.896603957886294,1.2800119546408248,22.647764911392034,4.458484184624735e-15,15.0,16.0
37,3,minus,0.85,3.1963817382325743,19.442831069850595,1.2089001793830012,20.949191726412344,6.7184150782080876e-15,19.0,20.0
37,3,minus,0.8,3.6896090243074657,22.443015524507626,1.1377884041251778,19.34703562224963,1.4878505051750847e-14,22.0,23.0
61,4,plus,0.95,1.4133560812494093,11.038663875518898,3.3108642207515686,15.350452667992418,4.390691480579558e-15,11.0,12.0
61,4,plus,0.9,1.993874309896078,15.572656182664447,3.136608209133065,14.011361055992644,9.311985203560566e-15,15.0,16.0
61,4,plus,0.85,2.439268072987984,19.05129267650385,2.9623521975145612,12.780873382438966,6.040841672926257e-15,19.0,20.0
61,4,plus,0.8,2.816842444759081,22.00024279125972,2.788096185896058,11.64236143065856,3.711672787665141e-16,22.0,23.0
61,4,minus,0.95,1.4364540958950895,11.21906513691941,1.3511237298986485,24.46160367605852,1.4243494717964152e-14,11.0,12.0
61,4,minus,0.9,2.0263612840193237,15.826387561781715,1.2800119546408248,22.649831330194736,1.2456549972271653e-15,15.0,16.0
61,4,minus,0.85,2.4784366555075983,19.35720908543339,1.2089001793830012,20.953150537574707,1.0772274735209868e-15,19.0,20.0
61,4,minus,0.8,2.860975068959901,22.344929605121084,1.1377884041251778,19.353069485482877,2.1224910473433623e-15,22.0,23.0
91,5,plus,0.95,1.1546091860053258,11.014269648465902,3.3108642207515686,15.350727399362096,1.3204122842344781e-14,11.0,12.0
91,5,plus,0.9,1.6288551199479284,15.5382875234703,3.136608209133065,14.012290273174303,1.5608671241448122e-15,15.0,16.0
91,5,plus,0.85,1.9927385340961452,19.009514058484516,2.9623521975145612,12.782659673176497,1.1910500680859858e-14,19.0,20.0
91,5,plus,0.8,2.3012478458685623,21.952505323503228,2.788096185896058,11.64509647748498,7.178644606117777e-15,21.0,22.0
91,5,minus,0.95,1.1734686984310174,11.194177930690673,1.3511237298986485,24.461907565425,9.027278261870927e-15,11.0,12.0
91,5,minus,0.9,1.6553675582936662,15.79120006610179,1.2800119546408248,22.65085454177933,1.4980382994377214e-14,15.0,16.0
91,5,minus,0.85,2.0246892270367183,19.314304243568998,1.2089001793830012,20.95510702242115,1.5115581131359024e-15,19.0,20.0
91,5,minus,0.8,2.337232809737953,22.29578000046907,1.1377884041251778,19.356046130317715,1.361022833489957e-15,22.0,23.0
127,6,plus,0.95,0.9761198761413867,11.00031234101928,3.3108642207515686,15.350883772156713,2.599185110032508e-15,11.0,12.0
127,6,plus,0.9,1.3770551627680185,15.518623553842295,3.136608209133065,14.012818675231655,1.0182506111519547e-15,15.0,16.0
127,6,plus,0.85,1.6847004729714758,18.985610125067087,2.9623521975145612,12.783674599713988,1.293294567536536e-14,18.0,19.0
127,6,plus,0.8,1.9455460756483636,21.925190777363486,2.788096185896058,11.646649260653252,1.86400000458933e-16,21.0,22.0
127,6,minus,0.95,0.9920591686636627,11.17993904520342,1.3511237298986485,24.462080509467683,1.1117222781687496e-14,11.0,12.0
127,6,minus,0.9,1.3994560845328359,15.771069121402927,1.2800119546408248,22.651436223942053,1.0171608307253019e-14,15.0,16.0
127,6,minus,0.85,1.7116893147579613,19.289758925465748,1.2089001793830012,20.956218159480045,3.564051052096904e-15,19.0,20.0
127,6,minus,0.8,1.9759355052474639,22.267662256150484,1.1377884041251778,19.35773508676712,2.2620658850345646e-14,22.0,23.0
169,7,plus,0.95,0.8455063435320052,10.991582465916068,3.3108642207515686,15.350981275326648,5.307732277121348e-15,10.0,11.0
169,7,plus,0.9,1.1927941865732143,15.506324425451787,3.136608209133065,14.013147969867038,3.704130458898841e-15,15.0,16.0
169,7,plus,0.85,1.4592814535781453,18.97065889651589,2.9623521975145612,12.784306781029521,3.3133000526099783e-15,18.0,19.0
169,7,plus,0.8,1.6852389107052332,21.908105839168034,2.788096185896058,11.647616027239401,7.859063557881691e-15,21.0,22.0
169,7,minus,0.95,0.8593102484623484,11.17103323001053,1.3511237298986485,24.462188336127305,1.9069057888920496e-14,11.0,12.0
169,7,minus,0.9,1.2121906520502228,15.758478476652897,1.2800119546408248,22.65179865985441,7.991872256808706e-15,15.0,16.0
169,7,minus,0.85,1.4826467406739285,19.27440762876107,1.2089001793830012,20.956910089596867,2.013094210919604e-15,19.0,20.0
169,7,minus,0.8,1.711544360580957,22.250076687552443,1.1377884041251778,19.358786273115374,5.609280738428216e-15,22.0,23.0
217,8,plus,0.95,0.7457619652005408,10.985759745986195,3.3108642207515686,15.351046178664415,3.3766500630693005e-15,10.0,11.0
217,8,plus,0.9,1.0520810131952822,15.49812109440188,3.136608209133065,14.013367089708396,9.387540260976559e-15,15.0,16.0
217,8,plus,0.85,1.2871352749105862,18.960686587105847,2.9623521975145612,12.784727316912285,6.418026501434853e-15,18.0,19.0
217,8,plus,0.8,1.4864455422282925,21.896710162767572,2.788096185896058,11.648258949169868,2.705556345267898e-15,21.0,22.0
217,8,minus,0.95,0.7579359157875563,11.165093236495455,1.3511237298986485,24.46226010742402,1.8089781496567694e-15,11.0,12.0
217,8,minus,0.9,1.0691851625408928,15.750080947730972,1.2800119546408248,22.652039806117447,1.2339500204550141e-14,15.0,16.0
217,8,minus,0.85,1.3077369998851969,19.26416894673932,1.2089001793830012,20.957370295077972,1.5189264911013008e-15,19.0,20.0
217,8,minus,0.8,1.5096374188916009,22.238347839359374,1.1377884041251778,19.359485182374776,4.175425999104011e-15,22.0,23.0
271,9,plus,0.95,0.6670897047290653,10.981682507527871,3.3108642207515686,15.351091563808694,2.1590467857010737e-15,10.0,11.0
271,9,plus,0.9,0.9410948754359074,15.492376899589612,3.136608209133065,14.013520278132495,5.945102814472774e-15,15.0,16.0
271,9,plus,0.85,1.1513555029035205,18.9537036721572,2.9623521975145612,12.785021254747504,3.868467575078005e-15,18.0,19.0
271,9,plus,0.8,1.3296456833221106,21.888730463437124,2.788096185896058,11.648708238656859,5.276114939602164e-15,21.0,22.0
271,9,minus,0.95,0.6779784523371902,11.160933915980648,1.3511237298986485,24.462310293288965,1.504128817146783e-14,11.0,12.0
271,9,minus,0.9,0.9563920930792618,15.74420088400577,1.2800119546408248,22.652208380811263,2.8848677725507023e-15,15.0,16.0
271,9,minus,0.85,1.1697794264679113,19.2569997321815,1.2089001793830012,20.957691924273753,6.935254695668974e-15,19.0,20.0
271,9,minus,0.8,1.3503845438693236,22.230135195788503,1.1377884041251778,19.359973524291917,7.05851069597209e-15,22.0,23.0
331,10,plus,0.95,0.6034448368669904,10.978716552849558,3.3108642207515686,15.351124546711722,6.268034297490735e-15,10.0,11.0
331,10,plus,0.9,0.8513083724551768,15.488198339350687,3.136608209133065,14.013631586666067,5.924535924025539e-15,15.0,16.0
331,10,plus,0.85,1.041510568455716,18.948623998903933,2.9623521975145612,12.785234801472143,3.801577512251911e-15,18.0,19.0
331,10,plus,0.8,1.2027943727272803,21.882925634254676,2.788096185896058,11.649034603866843,2.5821016253587637e-15,21.0,22.0
331,10,minus,0.95,0.6132941044109972,11.157908270157542,1.3511237298986485,24.46234676407861,5.616644844428401e-15,11.0,12.0
331,10,minus,0.9,0.8651444411361416,15.739923545987187,1.2800119546408248,22.652330862699934,9.201313206257012e-16,15.0,16.0
331,10,minus,0.85,1.0581737849352468,19.251784651561675,1.2089001793830012,20.95792557022568,1.9581614107615587e-14,19.0,20.0
331,10,minus,0.8,1.2215503699319141,22.224161095054715,1.1377884041251778,19.360328219715697,5.6477735347933035e-15,22.0,23.0
397,11,plus,0.95,0.5508943270616857,10.976491705309707,3.3108642207515686,15.35114927033878,3.874859786229963e-15,10.0,11.0
397,11,plus,0.9,0.7771730784459933,15.485063886303639,3.136608209133065,14.013715012073186,1.3249666531501562e-15,15.0,16.0
397,11,plus,0.85,0.9508129384211944,18.944813586204827,2.9623521975145612,12.785394836459714,2.770820519977094e-15,18.0,19.0
397,11,plus,0.8,1.098054013920094,21.87857123173161,2.788096185896058,11.64927916189431,4.2118092066378435e-15,21.0,22.0
397,11,minus,0.95,0.5598854548308472,11.155638656969147,1.3511237298986485,24.462374101658693,3.9745792133889997e-16,11.0,12.0
397,11,minus,0.9,0.7898030872770447,15.736715029475606,1.2800119546408248,22.652422658921537,8.095869864469522e-14,15.0,16.0
397,11,minus,0.85,0.9660230408085907,19.2478727292943,1.2089001793830012,20.958100657588417,1.027394167844035e-14,19.0,20.0
397,11,minus,0.8,1.1151737630924674,22.219679817455887,1.1377884041251778,19.360593985935733,2.6133848835887604e-14,22.0,23.0
469,12,plus,0.95,0.5067682576397242,10.974780061582724,3.3108642207515686,15.35116828059894,1.1324972920483602e-14,10.0,11.0
469,12,plus,0.9,0.7149224645608345,15.482652457719347,3.136608209133065,14.013779152782599,5.570996901992669e-15,15.0,16.0
469,12,plus,0.85,0.8746548488753506,18.94188211572665,2.9623521975145612,12.785517867346556,5.312146554488221e-15,18.0,19.0
469,12,plus,0.8,1.0101038643982894,21.875221235752925,2.788096185896058,11.649467157571088,2.845485638896129e-15,21.0,22.0
