Theta,hex_Fp_norm_maxrel,hex_Fp_norm_mean,hex_Fm_norm_maxrel,hex_Fm_norm_mean,hex_rho_maxrel,hex_rho_mean,disk_Fp_norm_maxrel,disk_Fp_norm_mean,disk_Fm_norm_maxrel,disk_Fm_norm_mean,disk_rho_maxrel,disk_rho_mean,family_Fp_norm_reldiff,family_Fm_norm_reldiff,family_rho_reldiff
0.0,0.0,1.0,0.0,1.0,6.60271906853887e-16,0.4203658421252656,0.0,1.0,0.0,1.0,1.3205438137077739e-16,0.4203658421252657,0.0,0.0,1.3205438137077739e-16
1.0,1.6872472310128123e-06,0.9995884131979077,1.6340158393498785e-06,0.9996014014950645,5.2128101756296665e-08,0.42036049335971104,5.065179714949929e-07,0.9995906060612961,4.905443320795023e-07,0.9996035252094312,1.5642590249553838e-08,0.420360521847833,2.1937663136898683e-06,2.1245612136208423e-06,6.777069306595969e-08
2.0,6.762105982632392e-06,0.9983532521718619,6.548780398214332e-06,0.9984052523094393,2.0891471995878187e-07,0.4203444014777712,2.0293324333791713e-06,0.9983620291508072,1.965417282260679e-06,0.99841375294583,6.259400530868799e-08,0.42034451560495095,8.791456256798882e-06,8.514214414459166e-06,2.7150874226228954e-07
3.0,1.5263721110362828e-05,0.9962933329000545,1.4782296098981809e-05,0.996410505096207,4.7151078635411505e-07,0.4203174308254889,4.578082654945404e-06,0.9963131012473597,4.434205814163598e-06,0.9964296527054889,1.4091598299714585e-07,0.4203176882391714,1.9841894603141757e-05,1.9216587123447757e-05,6.124268556519933e-07
4.0,2.7256650556753295e-05,0.9934067411874147,2.6397407533280165e-05,0.9936154596356339,8.416491134144993e-07,0.4202793589763506,8.168366949250977e-06,0.9934419329260709,7.912450778265599e-06,0.9936495507110141,2.506825897284563e-07,0.4202798180609337,3.54253068729101e-05,3.431012978875891e-05,1.0923319769715644e-06
5.0,4.2829855044686726e-05,0.9896909204361728,4.1481072282851855e-05,0.9900178301987723,1.321370906313062e-06,0.4202298821928494,1.2821067654047896e-05,0.9897459983552394,1.242101002616294e-05,0.9900711948841864,3.919432416505409e-07,0.42023060217893415,5.5651636212127556e-05,5.390275183563579e-05,1.713314819485767e-06
6.0,6.209531338294238e-05,0.9851427925471243,6.014335981043635e-05,0.9856148385171116,1.912652273880684e-06,0.42016862300401264,1.8561457256953256e-05,0.9852222524582821,1.798520497691849e-05,0.9856918445748478,5.646835368474602e-07,0.42016966390337673,8.065826777488537e-05,7.812996997087961e-05,2.477337209639682e-06
7.0,8.518629240810262e-05,0.9797589099879024,8.251619742381076e-05,0.980403331039464,2.6169401224026273e-06,0.4200951398271029,2.5418136238708326e-05,0.9798672784168767,2.463378824916194e-05,0.9805083838301868,7.687965555569758e-07,0.4200965621597195,0.0001106072400767082,0.0001071526252480534,3.3857392809043002e-06
8.0,0.00011225530831014024,0.9735356365252756,0.00010875188693858787,0.9743799188096387,3.434609761942997e-06,0.4200089385370174,3.342186688518761e-05,0.9736774631868684,3.239777976471472e-05,0.9745174566663423,1.0040810845907098e-06,0.4200108028287202,0.00014568204416121535,0.00014115423978727608,4.4386953033437005e-06
9.0,0.000143471822715217,0.9664693536005222,0.00013902141947008456,0.9675411379725034,4.364359163194731e-06,0.4199094858602618,4.2604380195461425e-05,0.9666491982102379,4.1309228199257796e-05,0.9677156225003819,1.2702866441956119e-06,0.4199118519044913,0.00018608413090974004,0.00018033809729695662,5.6346529650147485e-06
