direction,q,form,Theta_inf,c,R2,rmse
minus,0.8,1/sqrtN,22.116503843314664,1.8567024604382265,0.970182493269695,0.011792880228896428
minus,0.8,1/N,22.196417128916288,9.09870343035933,0.999960428351327,0.00042961189461392373
minus,0.85,1/sqrtN,19.15780638691232,1.6207911280133729,0.9701840984963294,0.010294199389000707
minus,0.85,1/N,19.22756599875095,7.942622145018104,0.9999604938003482,0.0003747151311498739
minus,0.9,1/sqrtN,15.662849983650528,1.3292558619991488,0.9701929327205526,0.008441269839740662
minus,0.9,1/N,15.720062020884843,6.51393668244362,0.99996083575162,0.00030598001222070505
minus,0.95,1/sqrtN,11.103396841117124,0.9401494993083521,0.9702083926014886,0.005968703455470122
minus,0.95,1/N,11.143861784802485,4.607109515402061,0.9999614275682502,0.00021476897471377774
plus,0.8,1/sqrtN,21.778365261777623,1.8033712319875062,0.9702297386709373,0.011444789215989841
plus,0.8,1/N,21.855984892154257,8.837148453136992,0.9999622285026293,0.00040766044659674457
plus,0.85,1/sqrtN,18.85711489865867,1.5782560393417797,0.9702177877015706,0.010018205818929852
plus,0.85,1/N,18.925044868666326,7.734051338121552,0.9999617801704652,0.0003588854447636368
plus,0.9,1/sqrtN,15.412919479174382,1.2983284448085584,0.9702137812957154,0.008241896721544486
plus,0.9,1/N,15.468800934356915,6.362312943595448,0.9999616306270868,0.00029580930551566394
plus,0.95,1/sqrtN,10.92528527329918,0.9215283225915673,0.9702177382748054,0.005849537761627926
plus,0.95,1/N,10.964948919861364,4.515837333862628,0.9999617820939899,0.00020954444632961258
