N,shell,Theta,theta_deg,n_stationary,n_minima,ground_U,gap_U,sign,F_branch,F_dense,abs_diff,branch_res,hard_dense
37,3,24.0,3.945575695328575,6,2,-0.4748074936607623,0.2576918331364182,1,0.2119332883294478,2.6638740877700777,2.4519407994406297,5.1431074919593507e-14,
37,3,24.0,3.945575695328575,6,2,-0.4748074936607623,0.2576918331364182,-1,1.0971023378048046,1.097102337804836,3.1308289294429414e-14,4.682440748668079e-12,
37,3,30.0,4.931969619160719,6,2,-0.3880914342635771,0.2078208231643679,1,2.218654279671736,2.218654279671745,9.325873406851315e-15,1.0281078504848837e-13,
37,3,30.0,4.931969619160719,6,2,-0.3880914342635771,0.2078208231643679,-1,0.9186525663357547,0.9186525663357555,8.881784197001252e-16,3.519256682340941e-13,
61,4,24.0,3.0728851183895034,6,2,-0.4734953544353522,0.25695339602253753,1,2.6569121051943094,2.656912105194314,4.440892098500626e-15,2.196706125649063e-13,
61,4,24.0,3.0728851183895034,6,2,-0.4734953544353522,0.25695339602253753,-1,1.09427865626701,1.0942786562670106,6.661338147750939e-16,4.0244395093779836e-13,
61,4,30.0,3.8411063979868794,6,2,-0.3863747436942216,0.20690070381405098,1,2.2088692876363276,2.2088692876363365,8.881784197001252e-15,6.206868485461488e-14,
61,4,30.0,3.8411063979868794,6,2,-0.3863747436942216,0.20690070381405098,-1,0.9146039266565762,0.9146039266565769,6.661338147750939e-16,1.5802891443254838e-13,
91,5,24.0,2.515883608132604,6,2,-0.4728323315703397,0.25658033306937555,1,2.653393116766181,2.653393116766186,4.884981308350689e-15,2.1465318783835845e-14,
91,5,24.0,2.515883608132604,6,2,-0.4728323315703397,0.25658033306937555,-1,1.0928513061837277,1.0928513061837288,1.1102230246251565e-15,2.944095310546317e-13,
91,5,30.0,3.144854510165755,6,2,-0.3855083032376876,0.20643618308026657,1,0.19783133428349,2.203932330145474,2.006100995861984,1.0419855802764008e-13,
91,5,30.0,3.144854510165755,6,2,-0.3855083032376876,0.20643618308026657,-1,0.912561397952666,0.912561397952666,0.0,4.917004739372979e-13,
