phi_deg,edge_weight,switch_deg,n_stable_minima,U0,U1,U2,min_eig
20,0.5,3.1700953181060294,2,-0.2345854738529024,-0.2345854738529015,,5.977276129582774
20,0.75,3.0265912639421915,2,-0.23401546722598646,-0.23401546722596428,,5.9635718159883435
20,1.0,2.921278008381212,2,-0.2334878354411854,-0.2334878354411841,,5.950883946383552
20,1.25,2.841009422896284,2,-0.23301069877236708,-0.23301069877236433,,5.939487671474401
20,1.5,2.777913879130666,2,-0.2325844075053814,-0.2325844075053813,,5.929398482823939
25,0.5,3.083165346175891,2,-0.2428346652335366,-0.2428346652335354,,6.165447243136344
25,0.75,2.947202095744257,2,-0.2421609484863079,-0.2421609484863065,,6.1491274145535195
25,1.0,2.847233122261797,2,-0.2415736304336343,-0.2415736304336286,,6.134891565207173
25,1.25,2.7709090323048926,2,-0.24105951716625174,-0.24105951716624824,,6.12248369929654
25,1.5,2.7108289738593734,2,-0.2406088868088824,-0.2406088868088776,,6.1116785242329446
