phi_deg,edge_weight,switch_deg,family,U,grad_resid,eig_min
20,0.5,3.1700953181060294,A,-0.23458547385290143,6.563613456146259e-16,5.977276129582779
20,0.5,3.1700953181060294,B,-0.23458547385290238,1.783491891391274e-15,6.281066853232416
20,0.75,3.0265912639421915,A,-0.23401546722596422,6.738654140087815e-16,5.963571815988347
20,0.75,3.0265912639421915,B,-0.2340154672259863,1.5353849357083275e-15,6.279645449835336
20,1.0,2.9212780083812118,A,-0.23348783544118418,1.0173713210991743e-15,5.950883946383558
20,1.0,2.9212780083812118,B,-0.2334878354411854,1.246729617469382e-15,6.283324766356165
20,1.25,2.841009422896284,A,-0.23301069877236433,3.6266223956168946e-16,5.939487671474404
20,1.25,2.841009422896284,B,-0.23301069877236696,9.184181314173602e-16,6.288866620835245
20,1.5,2.777913879130666,A,-0.23258440750538129,8.952084996072937e-16,5.92939848282395
20,1.5,2.777913879130666,B,-0.23258440750538145,1.839654821520898e-15,6.294896812328435
25,0.5,3.083165346175891,A,-0.24283466523353675,6.714326711185874e-16,6.1654472431363505
25,0.5,3.083165346175891,B,-0.2428346652335354,9.336765375570386e-16,6.485952876740335
25,0.75,2.947202095744257,A,-0.24216094848630648,7.872244371622207e-16,6.149127414553525
25,0.75,2.947202095744257,B,-0.2421609484863078,6.040047390077348e-16,6.483053170404728
25,1.0,2.847233122261797,A,-0.2415736304336286,3.7055562328759873e-16,6.134891565207174
25,1.0,2.847233122261797,B,-0.24157363043363422,9.0536996875306e-16,6.4853939482821366
25,1.25,2.7709090323048926,A,-0.24105951716624816,5.625862285482305e-16,6.122483699296545
25,1.25,2.7709090323048926,B,-0.24105951716625176,5.003444430558635e-16,6.489716742915626
25,1.5,2.7108289738593734,A,-0.24060888680887765,3.83877147706069e-16,6.111678524232947
25,1.5,2.7108289738593734,B,-0.24060888680888226,4.2714131233732484e-16,6.49464905366976
