phi_deg,theta_deg,offset,min_rank,n_minima,U,eig_min,grad_resid,dist_to_A,dist_to_B
20,2.9192780083812058,-0.002,0,2,-0.23395014191275193,5.962616468749422,3.395444257510238e-16,1.1473051558993136e-16,0.5773502691896257
20,2.9192780083812058,-0.002,1,2,-0.2335177501690051,6.283748739832422,5.329653809635121e-16,0.5773502691896257,1.4686870114880517e-16
20,2.9212780083812055,0.0,0,2,-0.23348783544118568,6.283324766356165,3.7897480098743647e-16,0.5773502691896258,2.419674984566563e-16
20,2.9212780083812055,0.0,1,2,-0.23348783544118556,5.950883946383586,2.270450857960245e-16,1.0722989875235445e-16,0.5773502691896257
20,2.9232780083812053,0.002,0,2,-0.23345794436052383,6.282899266378294,5.950728935968147e-16,0.5773502691896258,2.0014830212433605e-16
20,2.9232780083812053,0.002,1,2,-0.23302554641630438,5.939151888039478,2.766054524161103e-17,0.0,0.5773502691896256
25,2.845233122261774,-0.002,0,2,-0.2420440226738319,6.146822560728194,2.659747480234885e-16,0.0,0.5773502691896256
25,2.845233122261774,-0.002,1,2,-0.24159539354769025,6.485541486355211,1.3951885623693297e-15,0.577350269189626,2.5438405243138006e-16
25,2.8472331222617737,0.0,0,2,-0.24157363043363447,6.485393948282132,2.6173098553384854e-16,0.5773502691896258,1.4686870114880517e-16
25,2.8472331222617737,0.0,1,2,-0.24157363043363408,6.1348915652073055,3.9934567430655627e-16,1.4575807736855815e-16,0.5773502691896256
25,2.8492331222617735,0.002,0,2,-0.24155188848764012,6.485244740477244,5.907333616984285e-16,0.5773502691896258,9.614813431917819e-17
25,2.8492331222617735,0.002,1,2,-0.24110324266243804,6.122960767203171,6.447129612864634e-18,0.0,0.5773502691896257
