i,b_u,b_v,u_star,v_star,pred_u,pred_v,center_shift_error,Amin,max_cos_coeff_error,max_sin_coeff_error
0,0.20713285967686879,0.8651352086552253,0.9595338058581518,0.8015314588548028,0.45953380698979784,0.3015314580114413,0.4999999990124962,0.04253608528083288,0.652339323889913,0.13746945865945798
1,0.060803091438047296,0.8763962106132185,0.6058635752276418,0.29027045605436635,0.6058635752286193,0.29027045605344814,9.49272776476142e-13,0.042536085280832935,4.2216230511371577e-13,2.0032725478458246e-12
2,0.42440228284060855,0.9345944891261331,0.7422643846505814,0.732072177225531,0.24226438382605808,0.23207217754053355,0.49999999943023704,0.04253608528083302,0.6523393235372267,0.13746945862085172
3,0.9326822354689094,0.45604988457670803,0.7339844316516116,0.7106167820092755,0.7339844311977572,0.7106167820899586,4.1937476080230174e-10,0.04253608528083294,1.9600737699576598e-10,9.30121826780983e-10
4,0.12305879752492377,0.12323664321306815,0.5436078694236894,0.0434300228762325,0.5436078691417429,0.043430023453598504,5.000590013244566e-10,0.04253608528083297,2.4934876385884763e-10,1.183244932589922e-09
5,0.950703837992605,0.8642589615211924,0.7159628278716736,0.8024077055793274,0.7159628286740616,0.3024077051454742,0.49999999996734074,0.04253608528083276,0.6523393232420254,0.13746945782021808
6,0.5795777103249847,0.7446666521535976,0.5870889564073037,0.9220000141031724,0.0870889563416819,0.422000014513069,0.4999999997622408,0.04253608528083276,0.6523393235782089,0.1374694570655704
7,0.1010693172731778,0.7656920762025182,0.5655973493584581,0.4009745902222857,0.5655973493934888,0.4009745904641484,2.611462252706119e-10,0.0425360852808329,1.1958295464964408e-10,5.67461452827267e-10
8,0.7364045622679708,0.11642343988853554,0.9302621044020267,0.05024322659949387,0.9302621043986958,0.05024322677813112,1.7699530651907248e-10,0.042536085280832886,7.714856531393366e-11,3.6609637543705276e-10
9,0.018026019191239695,0.343419412969872,0.6486406474754269,0.8232472536967946,0.6486406474754269,0.8232472536967946,0.0,0.04253608528083291,1.1102230246251565e-16,2.3592239273284576e-16
10,0.6020100460850877,0.8406399561945148,0.5646566209546322,0.3260267107526615,0.06465662058157895,0.3260267104721518,0.49999999948669194,0.042536085280832935,0.6523393236834417,0.13746945769561603
11,0.9454073429784358,0.7593124133321699,0.7212593233753026,0.907354253632364,0.7212593236882309,0.4073542533344967,0.4999999998585968,0.042536085280832754,0.6523393233946813,0.13746945754153117
12,0.8515433345216636,0.04583150880752629,0.8151233325815428,0.12083515796225272,0.815123332145003,0.12083515785914037,4.961973436392958e-10,0.042536085280832955,2.330611259537818e-10,1.1059544530178655e-09
13,0.5668480287582243,0.26012648270926364,0.5998186378967966,0.406540184438674,0.09981863790844236,0.906540183957403,0.49999999975354154,0.042536085280833004,0.6523393234062151,0.13746945791739568
14,0.45819920876725306,0.1737625629445394,0.7084674579999282,0.4929041038121811,0.20846745789941357,0.9929041037221272,0.8660254036194015,0.042536085280832914,0.6523393233622938,0.13746945713707934
15,0.36987645547495573,0.017315607829256896,0.7967902102360346,0.14935105869895657,0.2967902111917109,0.14935105883740976,0.49999999897509706,0.04253608528083289,0.6523393238139163,0.13746945917337858
16,0.1663676952804447,0.8119946330324742,0.5002989720387656,0.8546720320404685,0.5002989713862219,0.3546720336341924,0.4999999987325479,0.04253608528083294,0.652339324089472,0.13746945885992679
17,0.6169723116583382,0.8832058388582416,0.5496943546356539,0.2834608276785361,0.04969435500832842,0.2834608278084251,0.49999999956238095,0.042536085280832935,0.6523393235621338,0.1374694579610325
18,0.5185894014107442,0.5845306123587436,0.6480772653830701,0.0821360536227036,0.14807726525592246,0.582136054307923,0.49999999959381647,0.04253608528083292,0.6523393236971134,0.13746945719166054
19,0.7152103190267014,0.0745237172961456,0.9514563476532188,0.09214294935784773,0.9514563476399652,0.09214294937052106,1.2973214635225503e-11,0.04253608528083289,5.723810314606226e-12,2.7161606297454455e-11
