i,shift_u,shift_v,Amin,center_transport_err,cos_err,sin_err
0,0.6823518632481435,0.053821018802222675,0.04253608528083295,8.473016763604726e-10,4.223614236131823e-10,2.004248808584741e-09
1,0.22035987277261138,0.1843718106986697,0.0425360852808329,8.535545483593376e-10,4.128258845881305e-10,1.9589990324364592e-09
2,0.17590590108503035,0.8120945066557737,0.042536085280833004,1.2746978046249882e-09,6.248275230547051e-10,2.965019160749982e-09
3,0.9233449980270564,0.27657439779710624,0.042536085280832976,1.6382774421728467e-09,7.124613121689549e-10,3.3808711524807578e-09
4,0.8197545615930021,0.8898926931111859,0.042536085280832914,5.267915035025774e-10,2.531742038236473e-10,1.201397384353875e-09
5,0.5129704552295319,0.24496460106879647,0.042536085280832886,2.2834294666344659e-10,1.028020446547373e-10,4.878304427080593e-10
6,0.8242415960974113,0.21376296337509548,0.042536085280832844,1.2603781492110663e-09,5.764566601840215e-10,2.735482715343629e-09
7,0.7414670522347097,0.6299402045896808,0.04253608528083292,1.482127914763024e-09,7.114449029899106e-10,3.3760478718170006e-09
8,0.927407258525167,0.23190818860641882,0.042536085280832914,1.8833991155046486e-09,9.161336134155817e-10,4.347365106793788e-09
9,0.7991251286200829,0.5181650368527142,0.042536085280832976,1.1469869434173964e-09,5.567996064215208e-10,2.6422036364381896e-09
10,0.23155562481706748,0.16590399324074456,0.04253608528083297,5.116197333810384e-10,2.427356093903654e-10,1.1518632020424135e-09
11,0.49778896849779386,0.5827246406153199,0.042536085280833,4.111751830783916e-10,2.0154855562282137e-10,9.564165431852345e-10
12,0.18433798742847973,0.014894916760232246,0.042536085280832935,1.044837558893773e-11,5.147104964464688e-12,2.442511470857056e-11
13,0.47113322889046083,0.7282433281832617,0.042536085280832955,3.168584295106261e-10,1.578198127738517e-10,7.489086017997693e-10
14,0.9186004917735433,0.625534005735464,0.04253608528083275,2.558583272332314e-10,1.1584405656961394e-10,5.497193256154276e-10
15,0.9171225725476023,0.8646902510937748,0.042536085280832796,4.5229449715836797e-10,2.0671642175784655e-10,9.809400375315747e-10
16,0.21814287324998793,0.8661274307382429,0.04253608528083288,6.430380688993579e-10,3.2006347572277605e-10,1.5188100360719048e-09
17,0.7307519363712538,0.2778652902989278,0.042536085280832824,4.0354952005268194e-11,2.0106083464810354e-11,9.541001322332932e-11
18,0.7970435531834645,0.8652217128437365,0.0425360852808328,8.515424416307453e-10,4.1864989253070917e-10,1.986636549711207e-09
19,0.29943789563745726,0.527042084030297,0.042536085280833,1.3046978522390735e-09,6.466165380913935e-10,3.0684154245230744e-09
