gauge,u,v,n_stable_minima,U0,gap12,degenerate_pair
0,0.0,0.0,1,-0.5596581941027723,,False
1,0.0,0.125,1,-0.45314465224635164,,False
2,0.0,0.25,2,-0.3042369691971618,1.6653345369377348e-16,True
3,0.0,0.375,1,-0.4531010723508789,,False
4,0.0,0.5,1,-0.5596581941027723,,False
5,0.125,0.0,1,-0.4531010723508789,,False
6,0.125,0.125,2,-0.3949868422079047,1.6653345369377348e-16,True
7,0.125,0.25,2,-0.39498684220790453,1.1102230246251565e-16,True
8,0.125,0.375,1,-0.45314465224635175,,False
9,0.125,0.5,1,-0.4531010723508789,,False
10,0.25,0.0,2,-0.30423696919716187,1.6653345369377348e-16,True
11,0.25,0.125,2,-0.3949868422079046,1.6653345369377348e-16,True
12,0.25,0.25,2,-0.304236969197162,1.6653345369377348e-16,True
13,0.25,0.375,1,-0.23154575518452122,,False
14,0.25,0.5,2,-0.30423696919716176,0.0,True
15,0.375,0.0,1,-0.45314465224635175,,False
16,0.375,0.125,1,-0.4531010723508788,,False
17,0.375,0.25,1,-0.2315457551845212,,False
18,0.375,0.375,1,-0.23154575518452133,,False
19,0.375,0.5,1,-0.4531446522463517,,False
20,0.5,0.0,1,-0.5596581941027724,,False
21,0.5,0.125,1,-0.4531446522463517,,False
22,0.5,0.25,2,-0.30423696919716176,5.551115123125783e-17,True
23,0.5,0.375,1,-0.4531010723508789,,False
24,0.5,0.5,1,-0.5596581941027724,,False
25,0.6666666667,0.1666666667,2,-0.40556596874898027,5.551115123125783e-17,True
