label,eta,nmin,ground_U,tracked_ground_dist,energy_gap
published_origin,1.0,2,-0.5596581941027724,0.0,0.3081844507075838
published_origin,0.9,2,-0.5596581941027723,0.0,0.36244484878229033
published_origin,0.8,2,-0.5596581941027723,0.0,0.41670524685699717
published_origin,0.7,2,-0.5596581941027724,0.0,0.4709656449317039
published_origin,0.6,2,-0.5596581941027723,0.0,0.5252260430064101
published_origin,0.5,1,-0.5596581941027724,0.0,
published_origin,0.4,1,-0.5596581941027724,0.0,
published_origin,0.3,1,-0.5596581941027723,0.0,
published_origin,0.2,1,-0.5596581941027723,0.0,
published_origin,0.1,1,-0.5596581941027723,0.0,
published_origin,0.05,1,-0.5596581941027723,0.0,
published_origin,0.025,1,-0.5596581941027723,0.0,
Amin_center,1.0,2,-0.5596581941027723,1.7279579063916836e-14,0.30818445070758366
Amin_center,0.9,2,-0.5442489715673928,3.510833468576701e-16,0.27736600563682495
Amin_center,0.8,2,-0.5288397490320138,1.5423711185402538e-15,0.24654756056606708
Amin_center,0.7,2,-0.5134305264966347,1.5463617361248926e-15,0.21572911549530877
Amin_center,0.6,2,-0.4980213039612553,7.021666937153403e-16,0.18491067042455023
Amin_center,0.5,2,-0.48261208142587625,2.482534153247273e-16,0.1540922253537918
Amin_center,0.4,2,-0.4672028588904969,0.0,0.12327378028303343
Amin_center,0.3,2,-0.4517936363551179,1.1102230246251565e-16,0.09245533521227495
Amin_center,0.2,2,-0.4363844138197385,1.1102230246251565e-16,0.06163689014151669
Amin_center,0.1,2,-0.4209751912843593,1.5700924586837752e-16,0.030818445070758316
Amin_center,0.05,2,-0.41327058001666966,2.220446049250313e-16,0.015409222535379019
Amin_center,0.025,2,-0.409418274382825,1.5700924586837752e-16,0.0077046112676893985
min_slope_tested,1.0,2,-0.5596581941027722,0.0,0.3081844507075836
min_slope_tested,0.9,2,-0.5431866135503434,2.482534153247273e-16,0.2835560803040649
min_slope_tested,0.8,2,-0.5267154316836209,2.482534153247273e-16,0.25649578365735987
min_slope_tested,0.7,2,-0.5102447453796377,1.1102230246251565e-16,0.22723271987616606
min_slope_tested,0.6,2,-0.4937746855030794,0.0,0.1962248365604582
min_slope_tested,0.5,2,-0.47730543314320184,2.482534153247273e-16,0.1641114791547501
min_slope_tested,0.4,2,-0.4608372460639322,1.1102230246251565e-16,0.1314863561579332
min_slope_tested,0.3,2,-0.44437050365887787,0.0,0.0986776911270903
min_slope_tested,0.2,2,-0.42790578729555784,2.482534153247273e-16,0.06580467062035955
min_slope_tested,0.1,2,-0.41144403283470177,1.1102230246251565e-16,0.032906852675743725
min_slope_tested,0.05,2,-0.4032147263102244,2.482534153247273e-16,0.016453929556991598
min_slope_tested,0.025,2,-0.39910058369366924,2.220446049250313e-16,0.008227025957264156
max_slope_tested,1.0,2,-0.5596581941027722,2.220446049250313e-16,0.3081844507075837
max_slope_tested,0.9,2,-0.5431866135503429,1.1102230246251565e-16,0.2835560803040645
max_slope_tested,0.8,2,-0.5267154316836209,2.482534153247273e-16,0.2564957836573598
max_slope_tested,0.7,2,-0.5102447453796378,1.1102230246251565e-16,0.227232719876166
max_slope_tested,0.6,2,-0.49377468550307924,2.8435583831733384e-15,0.19622483656045803
max_slope_tested,0.5,2,-0.47730543314320206,1.1102230246251565e-16,0.16411147915475016
max_slope_tested,0.4,2,-0.4608372460639322,0.0,0.1314863561579332
max_slope_tested,0.3,2,-0.44437050365887787,5.551115123125783e-16,0.09867769112709024
max_slope_tested,0.2,2,-0.42790578729555817,1.4895204919483639e-15,0.06580467062035977
max_slope_tested,0.1,2,-0.41144403283470193,3.33066907387547e-16,0.03290685267574389
max_slope_tested,0.05,2,-0.40321472631022437,2.482534153247273e-16,0.016453929556991542
max_slope_tested,0.025,2,-0.39910058369366913,3.2878350919498195e-15,0.008227025957263934
near_zero_slope_tested,1.0,2,-0.5596581941027724,4.440892098500626e-16,0.30818445070758366
near_zero_slope_tested,0.9,2,-0.5419629567675425,1.1102230246251565e-16,0.31365313502736125
near_zero_slope_tested,0.8,1,-0.5256478420139602,6.109253766072344e-15,
near_zero_slope_tested,0.7,1,-0.5107043004321364,3.3839044131518772e-15,
near_zero_slope_tested,0.6,1,-0.4971498894141718,1.1102230246251565e-16,
near_zero_slope_tested,0.5,1,-0.4850405922781951,3.14018491736755e-16,
near_zero_slope_tested,0.4,1,-0.47448852458923374,1.1102230246251565e-16,
near_zero_slope_tested,0.3,1,-0.46568541205303315,0.0,
near_zero_slope_tested,0.2,1,-0.45892566152919084,1.635611367296876e-14,
near_zero_slope_tested,0.1,1,-0.4546008563020531,0.0,
near_zero_slope_tested,0.05,1,-0.45347910955844645,2.482534153247273e-16,
near_zero_slope_tested,0.025,1,-0.453195781624694,9.14705197099063e-15,
