i,u,v,chi1,err
0,0.20713285967686879,0.8651352086552253,0.5835412113561179,-2.220446049250313e-16
1,0.754417787328826,0.7830328279286505,0.5835412113561181,0.0
2,0.9863481043207587,0.5770218786867023,0.5835412113561174,-7.771561172376096e-16
3,0.060803091438047296,0.8763962106132185,0.583541211356118,-1.1102230246251565e-16
4,0.4057891441014596,0.3958344741398534,0.5835412113561184,2.220446049250313e-16
5,0.11194143115135469,0.8020295866880959,0.5835412113561184,2.220446049250313e-16
6,0.42440228284060855,0.9345944891261331,0.5835412113561188,6.661338147750939e-16
7,0.03527572970880111,0.4379642177433064,0.583541211356118,-1.1102230246251565e-16
8,0.6698774527070009,0.551388875212941,0.5835412113561177,-4.440892098500626e-16
9,0.9326822354689094,0.45604988457670803,0.5835412113561184,2.220446049250313e-16
10,0.7624904837281498,0.2543539441116657,0.5835412113561183,1.1102230246251565e-16
11,0.359782232187302,0.8708704156119784,0.5835412113561178,-3.3306690738754696e-16
12,0.12305879752492377,0.12323664321306815,0.5835412113561181,0.0
13,0.22723430211634987,0.8718845016118857,0.5835412113561183,1.1102230246251565e-16
14,0.3337998385568184,0.6950654912088337,0.5835412113561185,3.3306690738754696e-16
15,0.950703837992605,0.8642589615211924,0.5835412113561173,-8.881784197001252e-16
16,0.647686294316835,0.6296794709725724,0.5835412113561178,-3.3306690738754696e-16
17,0.18951044655675398,0.5264954905347741,0.583541211356118,-1.1102230246251565e-16
18,0.5795777103249847,0.7446666521535976,0.5835412113561175,-6.661338147750939e-16
19,0.7997238047443939,0.6294978784423486,0.5835412113561184,2.220446049250313e-16
20,0.3890856392012647,0.8789309398447395,0.5835412113561181,0.0
21,0.1010693172731778,0.7656920762025182,0.5835412113561179,-2.220446049250313e-16
22,0.7703953159372929,0.3430451396555886,0.5835412113561177,-4.440892098500626e-16
23,0.7026544231331535,0.28171645663521927,0.5835412113561179,-2.220446049250313e-16
24,0.7364045622679708,0.11642343988853554,0.583541211356118,-1.1102230246251565e-16
25,0.22394100062643274,0.9340432205046342,0.583541211356118,-1.1102230246251565e-16
26,0.6243868634954556,0.7437994232437348,0.5835412113561174,-7.771561172376096e-16
27,0.018026019191239695,0.343419412969872,0.5835412113561183,1.1102230246251565e-16
28,0.25933895137725504,0.6749713203298238,0.583541211356118,-1.1102230246251565e-16
29,0.523117017247221,0.9166003024833332,0.5835412113561178,-3.3306690738754696e-16
30,0.6020100460850877,0.8406399561945148,0.583541211356118,-1.1102230246251565e-16
31,0.7899473118833495,0.5279204500625556,0.5835412113561177,-4.440892098500626e-16
32,0.14004277529510356,0.9883017398300156,0.5835412113561178,-3.3306690738754696e-16
33,0.9454073429784358,0.7593124133321699,0.5835412113561174,-7.771561172376096e-16
34,0.7651830209132353,0.26702453585767016,0.5835412113561184,2.220446049250313e-16
35,0.7475322606835467,0.7254290759564267,0.5835412113561183,1.1102230246251565e-16
36,0.8515433345216636,0.04583150880752629,0.5835412113561184,2.220446049250313e-16
37,0.8086736780725842,0.3027318354926112,0.583541211356118,-1.1102230246251565e-16
