F0,m_inc,n_inc,m_dec,n_dec,match
1.0,0,0,0,0,True
1.05,0,0,0,0,True
1.1,0,0,0,0,True
1.15,0,0,0,0,True
1.2,0,0,0,0,True
1.25,0,0,0,0,True
1.3,0,0,0,0,True
1.35,0,0,0,0,True
1.4,0,0,0,0,True
1.45,0,0,0,0,True
1.5,0,0,0,0,True
1.55,0,0,0,0,True
1.6,1,-1,1,-1,True
1.65,1,-1,1,-1,True
1.7,1,-1,1,-1,True
1.75,1,-1,1,-1,True
1.8,1,-1,1,-1,True
1.85,1,-1,1,-1,True
1.9,1,-1,1,-1,True
1.95,1,-1,1,-1,True
2.0,1,-1,1,-1,True
2.05,1,-1,1,-1,True
2.1,1,-1,1,-1,True
2.15,1,-1,1,-1,True
2.2,1,-1,1,-1,True
2.25,1,-1,1,-1,True
2.3,1,-1,1,-1,True
2.35,1,-2,1,-2,True
2.4,1,-2,1,-2,True
2.45,1,-2,1,-2,True
2.5,1,-2,1,-2,True
2.55,1,-2,1,-2,True
2.6,1,-2,1,-2,True
2.65,1,-2,1,-2,True
2.7,1,-2,1,-2,True
2.75,1,-2,1,-2,True
2.8,2,-3,2,-3,True
2.85,2,-3,2,-3,True
2.9,2,-3,2,-3,True
2.95,2,-3,2,-3,True
3.0,2,-3,2,-3,True
3.05,2,-3,2,-3,True
3.1,2,-3,2,-3,True
3.15,2,-3,2,-3,True
3.2,2,-3,2,-3,True
3.25,2,-3,2,-3,True
3.3,2,-4,2,-4,True
3.35,3,-4,3,-4,True
3.4,3,-4,3,-4,True
3.45,3,-4,3,-4,True
3.5,4,-4,4,-4,True
3.55,4,-5,4,-5,True
3.6,4,-5,4,-5,True
3.65,4,-5,4,-5,True
3.7,5,-5,5,-5,True
3.75,5,-4,5,-4,True
3.8,5,-5,5,-5,True
3.85,5,-5,5,-5,True
3.9,6,-4,6,-4,True
3.95,6,-4,6,-4,True
4.0,6,-5,6,-5,True
