F0,period,u_mean,v_mean,m_mean,n_mean,mean_lock_residual,max_cycle_lock_residual,std_u_cycle,std_v_cycle,all_cycles_same_winding,cycle_m,cycle_n,max_onecycle_relative_state_residual
1.0,20.0,-1.483210403798501e-17,2.9620636171767663e-17,0.0,0.0,2.5652232652205578e-17,8.066466748502171e-16,8.197922105410095e-17,1.6388009701212046e-16,1.0,0.0,0.0,8.17374839750322e-16
1.25,20.0,-1.8505257793544358e-17,3.700701628222537e-17,0.0,0.0,3.204901626643092e-17,1.0286910270574137e-15,1.0483928207143277e-16,2.0966341268759735e-16,1.0,0.0,0.0,1.038481288862408e-15
1.5,20.0,-3.211849599488868e-17,6.409875621278546e-17,0.0,0.0,5.551119426117661e-17,1.7763676839117736e-15,1.9217472075668804e-16,3.824499437962165e-16,1.0,0.0,0.0,1.8899516265613924e-15
1.75,20.0,-3.040354111417367e-17,6.089381840214619e-17,0.0,0.0,5.273561150196449e-17,1.7766872044687564e-15,1.8747820231887344e-16,3.781147543338374e-16,1.0,0.0,0.0,2.0551709125124676e-15
2.0,20.0,-4.062335745272446e-17,8.33283830766211e-17,0.0,0.0,7.217200222535609e-17,2.4519443433014146e-15,3.618840876381394e-16,5.420420654242131e-16,1.0,0.0,0.0,2.6200299124073665e-15
2.25,20.0,-5.901142629807858e-17,8.332838307662112e-17,0.0,0.0,7.422022044856503e-17,4.343015945555672e-15,2.1394760583185865e-15,1.22646567507527e-15,1.0,0.0,0.0,6.0231745124706914e-15
2.5,20.0,0.9999999999995332,-0.9999999999996863,1.0,-1.0,4.1220490773524495e-13,7.353380709610893e-12,0.0,1.4901161193847656e-08,1.0,1.0,-1.0,4.319280879014741e-11
2.75,20.0,1.000000000000039,-0.9999999999999958,1.0,-1.0,4.1351001389000475e-14,1.8041340078704717e-12,0.0,2.5809568279517847e-08,1.0,1.0,-1.0,3.087251643259305e-12
3.0,20.0,1.0000000000001181,-1.0000000000002396,1.0,-1.0,2.0749435689502508e-13,9.147424874198852e-12,2.1073424255447017e-08,0.0,1.0,1.0,-1.0,9.364482405769034e-12
3.25,20.0,1.0000000000000457,-1.0000000000000027,1.0,-1.0,4.4468832615246057e-14,1.9345357865833756e-12,0.0,2.1073424255447017e-08,1.0,1.0,-1.0,2.8805871728961198e-12
3.5,20.0,1.0000000000000013,-3.0000000000000027,1.0,-3.0,2.3075552236602768e-15,9.117033587240696e-14,0.0,4.2146848510894035e-08,1.0,1.0,-3.0,4.870838619119125e-13
3.75,20.0,1.0000000000001392,-3.000000000000022,1.0,-3.0,1.2955479755288007e-13,5.241444971867524e-12,0.0,5.960464477539063e-08,1.0,1.0,-3.0,3.25588958637913e-11
4.0,20.0,2.9999999999994205,-4.999999999999707,3.0,-5.0,5.019043125341296e-13,2.8096593213520596e-11,5.960464477539063e-08,0.0,1.0,3.0,-5.0,3.913559632444733e-11
1.0,30.0,1.875210852093474e-17,-3.7507787815137744e-17,0.0,0.0,3.2482697136731915e-17,8.638922922557462e-16,9.292285312510677e-17,1.8596701566896986e-16,1.0,0.0,0.0,8.811380624396085e-16
1.25,30.0,2.388962527229124e-17,-4.782368139313291e-17,0.0,0.0,4.141652894701571e-17,1.0911410665034583e-15,1.172850070541463e-16,2.34638130276619e-16,1.0,0.0,0.0,1.1012939260392206e-15
1.5,30.0,5.337693617398784e-17,-1.0255800994045678e-16,0.0,0.0,8.884261571760385e-17,2.331625904601293e-15,2.647514329094867e-16,5.129502715620608e-16,1.0,0.0,0.0,2.376511104838609e-15
1.75,30.0,1.7888763130567397e-16,-1.3781232585748879e-16,0.0,0.0,1.6229633777455842e-16,3.612732295661811e-15,1.6513881098963213e-15,7.84201850547534e-16,1.0,0.0,0.0,3.6817551352349995e-15
2.0,30.0,1.0,-1.0000000000000002,1.0,-1.0,2.2204460492503128e-16,3.552089123451764e-14,0.0,2.9802322387695312e-08,1.0,1.0,-1.0,3.3397571990233475e-13
2.25,30.0,0.9999999999999998,-1.0000000000000009,1.0,-1.0,1.0175362097255202e-15,4.3455242512788633e-13,2.5809568279517847e-08,2.5809568279517847e-08,1.0,1.0,-1.0,4.594956792626817e-13
2.5,30.0,1.0000000000000067,-1.0000000000000009,1.0,-1.0,6.264649234773272e-15,3.2757961446123017e-13,0.0,2.9802322387695312e-08,1.0,1.0,-1.0,4.014951692092254e-13
2.75,30.0,0.9999999999999991,-1.9999999999999993,1.0,-2.0,8.005932084973442e-16,6.012941662659137e-14,0.0,5.960464477539063e-08,1.0,1.0,-2.0,1.5920065593373452e-13
3.0,30.0,1.0000000000000004,-2.000000000000001,1.0,-2.0,7.691850745534255e-16,4.772254638400031e-14,2.1073424255447017e-08,2.9802322387695312e-08,1.0,1.0,-2.0,2.753515076457583e-13
3.25,30.0,1.0,-2.0,1.0,-2.0,0.0,5.288998084439324e-14,1.4901161193847656e-08,2.9802322387695312e-08,1.0,1.0,-2.0,1.3270480076012198e-13
3.5,30.0,3.000000000000032,-3.0000000000000635,3.0,-3.0,5.499718107179371e-14,2.50138986244774e-12,0.0,5.960464477539063e-08,1.0,3.0,-3.0,9.031458116011081e-12
3.75,30.0,3.999999999998755,-3.9999999999974847,4.0,-4.0,2.1783702007560114e-12,6.050095403345452e-11,0.0,1.0323827311807139e-07,1.0,4.0,-4.0,1.2712271389636024e-10
4.0,30.0,1.000000000000251,-3.0000000000001155,1.0,-3.0,2.1752439672663804e-13,5.071645825437038e-12,2.1073424255447017e-08,0.0,1.0,1.0,-3.0,7.523497705690547e-12
1.0,40.0,-1.40169906601729e-17,2.813084086135331e-17,0.0,0.0,2.436207095297442e-17,8.487134868149495e-16,9.638768003414393e-17,1.926998818652092e-16,1.0,0.0,0.0,1.1056363821523096e-15
1.25,40.0,-1.771811085834032e-17,3.550470168348819e-17,0.0,0.0,3.0747992675971225e-17,1.0737945209230742e-15,1.2138414121619978e-16,2.4255606746855843e-16,1.0,0.0,0.0,1.37250385495863e-15
1.5,40.0,-5.899619318450567e-17,7.371356964470329e-17,0.0,0.0,6.756790040359109e-17,1.828736117026326e-15,3.2437457802836606e-16,4.2603979812386444e-16,1.0,0.0,0.0,2.116719686338292e-15
1.75,40.0,1.0,-0.9999999999999997,1.0,-1.0,3.3306690738754696e-16,1.173007238693974e-14,0.0,1.8250120749944284e-08,1.0,1.0,-1.0,3.890760237985285e-14
2.0,40.0,1.0000000000000053,-1.0000000000000087,1.0,-1.0,7.565825760292109e-15,3.319601746778272e-13,2.1073424255447017e-08,2.9802322387695312e-08,1.0,1.0,-1.0,3.352188573555062e-13
2.25,40.0,1.0000000000005689,-1.0000000000002696,1.0,-1.0,4.928876099249622e-13,1.1037878867614559e-11,0.0,2.1073424255447017e-08,1.0,1.0,-1.0,1.475469196993655e-11
2.5,40.0,0.9999999999999998,-1.9999999999999996,1.0,-2.0,3.8459253727671276e-16,2.346040747222922e-14,3.332000937312528e-08,5.960464477539063e-08,1.0,1.0,-2.0,6.513750985959813e-14
2.75,40.0,0.9999999999999958,-1.999999999999999,1.0,-2.0,3.787797211270312e-15,2.547684149687009e-13,1.4901161193847656e-08,4.712160915387242e-08,1.0,1.0,-2.0,3.104350328185708e-13
3.0,40.0,2.0000000000000018,-3.000000000000004,2.0,-3.0,3.4684476073050936e-15,1.7168054636962412e-13,4.2146848510894035e-08,0.0,1.0,2.0,-3.0,3.4901018450265955e-13
3.25,40.0,2.0000000000000497,-3.0000000000000986,2.0,-3.0,8.53806982001633e-14,3.453657430533599e-12,2.9802322387695312e-08,5.960464477539063e-08,1.0,2.0,-3.0,6.6739489136470936e-12
3.5,40.0,4.000000000000013,-3.9999999999999987,4.0,-4.0,1.4036310451074658e-14,1.2669786550030813e-12,0.0,4.2146848510894035e-08,1.0,4.0,-4.0,1.6224162396598864e-12
3.75,40.0,4.99999999999918,-4.000000000000204,5.0,-4.0,9.387499696828711e-13,3.8112267609361056e-11,5.960464477539063e-08,8.429369702178807e-08,1.0,5.0,-4.0,4.0572564263837886e-11
4.0,40.0,6.0000000000020055,-4.999999999997997,6.0,-5.0,3.471332497116062e-12,1.77190243026539e-10,1.1920928955078125e-07,0.0,1.0,6.0,-5.0,2.2164646728455922e-10
1.0,50.0,-1.4315548755992487e-17,2.8569015952651645e-17,0.0,0.0,2.4741513048056508e-17,8.322339960522342e-16,1.111597409175209e-16,2.2273138862475893e-16,1.0,0.0,0.0,8.817943290092886e-16
1.25,50.0,-1.7939859684644144e-17,3.596791535143216e-17,0.0,0.0,3.11491596303762e-17,1.0551456813028566e-15,1.4067562615036706e-16,2.813422958457924e-16,1.0,0.0,0.0,1.1075276258153928e-15
1.5,50.0,0.9999999999999988,-1.0000000000000007,1.0,-1.0,1.6579165288486218e-15,6.306184055860446e-14,2.1073424255447017e-08,0.0,1.0,1.0,-1.0,2.0006293759930468e-13
1.75,50.0,0.9999999999999998,-0.9999999999999997,1.0,-1.0,2.9373740229761033e-16,5.962218089060634e-15,1.4901161193847656e-08,3.332000937312528e-08,1.0,1.0,-1.0,2.0194508880140448e-14
2.0,50.0,2.0000000000000533,-1.9999999999999631,2.0,-2.0,7.850336685017305e-14,3.1443879975187087e-12,0.0,0.0,1.0,2.0,-2.0,2.0182329427040847e-11
2.25,50.0,1.0,-2.0,1.0,-2.0,0.0,1.922962686383564e-14,2.5809568279517847e-08,5.1619136559035694e-08,1.0,1.0,-2.0,5.1781359632164885e-14
2.5,50.0,1.9999999999995381,-2.999999999999976,2.0,-3.0,4.503414940490879e-13,2.1599808438249453e-11,0.0,0.0,1.0,2.0,-3.0,3.1779417095894393e-10
2.75,50.0,1.999999999999972,-2.999999999999998,2.0,-3.0,2.6936124769109337e-14,1.1104468896302696e-12,0.0,0.0,1.0,2.0,-3.0,1.4594470687069593e-12
3.0,50.0,2.0,-3.999999999999999,2.0,-4.0,8.881784197001251e-16,3.845925372767128e-14,5.960464477539063e-08,1.1920928955078125e-07,1.0,2.0,-4.0,1.0810234383663782e-13
