period,m,n,Fmin_grid,Fmax_grid,n_grid,Fmid,max_res
40.0,0,0,1.0,1.575,24,1.2875,2.5489930185532856e-16
40.0,1,-1,1.6,2.325,30,1.9625000000000001,1.7498499492480082e-12
40.0,1,-2,2.35,2.775,18,2.5625,6.9226656709808295e-15
40.0,2,-3,2.8,3.25,19,3.025,7.211110415798389e-13
40.0,1,-3,3.275,3.275,1,3.275,1.6610361272442235e-14
40.0,2,-4,3.3,3.325,2,3.3125,1.4687597222840067e-12
40.0,3,-4,3.35,3.45,5,3.4000000000000004,4.632163396936792e-13
40.0,4,-4,3.475,3.525,3,3.5,4.023389421048717e-13
40.0,4,-5,3.55,3.65,5,3.5999999999999996,1.371731977457418e-12
40.0,5,-5,3.675,3.7,2,3.6875,1.1821784889303072e-13
40.0,5,-4,3.725,3.75,2,3.7375,2.2560737158046015e-13
40.0,5,-5,3.775,3.85,4,3.8125,2.766071664546624e-12
40.0,6,-5,3.875,3.875,1,3.875,2.0219453414565725e-12
40.0,6,-4,3.9,3.975,4,3.9375,1.538703426538013e-13
40.0,6,-5,4.0,4.0,1,4.0,2.7552210802078345e-12
70.0,0,0,1.0,1.35,15,1.175,7.79762574222273e-17
70.0,1,-1,1.375,1.7,14,1.5375,9.678699938266253e-16
70.0,1,-2,1.725,1.75,2,1.7375,3.402687952464488e-13
70.0,1,-1,1.775,1.775,1,1.775,5.3682009934231526e-14
70.0,2,-2,1.8,2.125,14,1.9625,3.4734930874858874e-13
70.0,1,-2,2.15,2.15,1,2.15,6.498400062375203e-14
70.0,1,-3,2.175,2.25,4,2.2125,4.4408920985006257e-16
70.0,2,-3,2.275,2.35,4,2.3125,2.9978488725635215e-14
70.0,3,-4,2.375,2.45,4,2.4125,8.881784197001252e-16
70.0,2,-4,2.475,2.6,6,2.5375,8.981148454337477e-15
70.0,2,-5,2.625,2.675,3,2.65,5.3469889991912755e-14
70.0,3,-5,2.7,2.875,8,2.7875,3.845925372767128e-14
70.0,4,-6,2.9,2.925,2,2.9124999999999996,1.958127110911234e-12
70.0,3,-5,2.95,2.95,1,2.95,1.0571741151532505e-12
70.0,3,-6,2.975,3.175,9,3.075,7.70465983141898e-15
70.0,4,-6,3.2,3.25,3,3.225,6.603055522374874e-14
70.0,5,-7,3.275,3.325,3,3.3,4.219671736124791e-12
70.0,2,-7,3.35,3.375,2,3.3625,1.5610920129757377e-13
70.0,2,-8,3.4,3.45,3,3.425,1.0151300411721681e-13
70.0,2,-7,3.475,3.5,2,3.4875,1.3527820406312074e-13
70.0,2,-8,3.525,3.55,2,3.5374999999999996,1.04350891601925e-11
70.0,2,-7,3.575,3.775,9,3.675,2.6395080182039684e-13
70.0,2,-6,3.8,3.8,1,3.8,7.337557957613285e-15
70.0,2,-7,3.825,3.825,1,3.825,1.3873790429220374e-14
70.0,3,-7,3.85,3.85,1,3.85,1.2389929782034514e-13
70.0,9,-7,3.875,3.875,1,3.875,4.897464451230231e-13
70.0,10,-6,3.9,3.9,1,3.9,1.4026201791555339e-12
70.0,10,-7,3.925,3.975,3,3.95,6.829739769985269e-14
70.0,10,-6,4.0,4.0,1,4.0,3.3801228176646125e-13
