F0,period,u,v,m,n,res,dy
1.0,40.0,-2.358604258826598e-17,4.7122601247055566e-17,0.0,0.0,4.080937727265109e-17,4.0809369772354384e-17
1.025,40.0,-2.4251949112238783e-17,4.8387049367659344e-17,0.0,0.0,4.1904454695116384e-17,4.1904413966564746e-17
1.05,40.0,-2.4842540307536292e-17,4.963897819994031e-17,0.0,0.0,4.298862231926934e-17,4.298861613905025e-17
1.075,40.0,-2.5369230762829882e-17,5.076571414899318e-17,0.0,0.0,4.3964400205954523e-17,4.3964398094287205e-17
1.1,40.0,-2.603963027620577e-17,5.2055200846242577e-17,0.0,0.0,4.5081127937024323e-17,4.5081126331947276e-17
1.125,40.0,-2.6656277352460186e-17,5.336972612013759e-17,0.0,0.0,4.621954745285323e-17,4.6219538613057055e-17
1.15,40.0,-2.7257457632711472e-17,5.4571577799127314e-17,0.0,0.0,4.7260381190541984e-17,4.7260372698643136e-17
1.175,40.0,-2.7856706589134834e-17,5.571083303650299e-17,0.0,0.0,4.8246996692852467e-17,4.824699667560495e-17
1.2,40.0,-2.844346104253329e-17,5.692520400381554e-17,0.0,0.0,4.9298676498800023e-17,4.9298672782915885e-17
1.225,40.0,-2.910027537770927e-17,5.813957497112807e-17,0.0,0.0,5.035035812066418e-17,5.0350348890226823e-17
1.25,40.0,-2.9825731949882e-17,5.956677383992837e-17,0.0,0.0,5.1586356746473574e-17,5.15863393668603e-17
1.275,40.0,-3.0376517665050654e-17,6.074358694227248e-17,0.0,0.0,5.26054896211229e-17,5.2605489408996674e-17
1.3,40.0,-3.0947469231432975e-17,6.187032289132535e-17,0.0,0.0,5.358127277780207e-17,5.358127136423363e-17
1.325,40.0,-3.1643575299862964e-17,6.324744460683441e-17,0.0,0.0,5.4773897351862844e-17,5.477389375396768e-17
1.35,40.0,-5.29187433252272e-17,1.0576294775109602e-16,0.0,0.0,9.159340711406404e-17,9.159339953157541e-17
1.375,40.0,-5.0771580259119104e-17,9.935307212981748e-17,0.0,0.0,8.604925233848234e-17,8.604228440844963e-17
1.4,40.0,-5.456469774833175e-17,1.0576294775109602e-16,0.0,0.0,9.160886463850923e-17,9.159339953157541e-17
1.425,40.0,-5.895627674237035e-17,1.0896788556173529e-16,0.0,0.0,9.447487408782183e-17,9.43689570931383e-17
1.45,40.0,-5.970979725224778e-17,1.0896788556173529e-16,0.0,0.0,9.451354198104429e-17,9.43689570931383e-17
1.475,40.0,-6.964763055402203e-17,1.1537776118301385e-16,0.0,0.0,1.0063315821521943e-16,9.992007221626409e-17
1.5,40.0,-8.10859634737441e-17,1.1537776118301385e-16,0.0,0.0,1.0262282552678867e-16,9.992007221626409e-17
1.525,40.0,-7.97653871332707e-17,1.1217282337237457e-16,0.0,0.0,9.99887523960622e-17,9.71445146547012e-17
1.55,40.0,-1.2524345812105008e-16,1.3460738804684948e-16,0.0,0.0,1.3017825452541916e-16,1.1657341758564144e-16
1.575,40.0,-2.8739709692570337e-16,1.9870614425963497e-16,0.0,0.0,2.5489930185532856e-16,1.7208456881689927e-16
1.6,40.0,1.0000000000020202,-1.0000000000010445,1.0,-1.0,1.7498499492480082e-12,-0.8660254037853431
1.625,40.0,0.9999999999999569,-0.9999999999999388,1.0,-1.0,5.443003545208959e-14,-0.8660254037843856
1.65,40.0,1.0000000000000009,-1.0000000000000007,1.0,-1.0,8.005932084973442e-16,-0.8660254037844393
1.675,40.0,1.0000000000000024,-0.9999999999999991,1.0,-1.0,2.9873046363423827e-15,-0.8660254037844378
1.7,40.0,0.9999999999999997,-1.0,1.0,-1.0,3.3306690738754696e-16,-0.8660254037844386
1.725,40.0,1.0,-1.0000000000000004,1.0,-1.0,4.4408920985006257e-16,-0.8660254037844389
1.75,40.0,1.0000000000000002,-1.0000000000000002,1.0,-1.0,2.2204460492503128e-16,-0.8660254037844387
1.775,40.0,1.0000000000000002,-1.0000000000000004,1.0,-1.0,3.8459253727671276e-16,-0.8660254037844389
1.8,40.0,1.0000000000000002,-1.0000000000000004,1.0,-1.0,3.8459253727671276e-16,-0.8660254037844389
1.825,40.0,1.0000000000000002,-1.0,1.0,-1.0,2.220446049250313e-16,-0.8660254037844386
1.85,40.0,0.9999999999999998,-0.9999999999999994,1.0,-1.0,4.839349969133126e-16,-0.8660254037844382
1.875,40.0,0.9999999999999998,-0.9999999999999994,1.0,-1.0,4.839349969133126e-16,-0.8660254037844382
1.9,40.0,0.9999999999999998,-0.9999999999999994,1.0,-1.0,4.839349969133126e-16,-0.8660254037844382
1.925,40.0,1.0,-1.0,1.0,-1.0,0.0,-0.8660254037844386
1.95,40.0,1.0000000000000002,-1.0000000000000002,1.0,-1.0,2.2204460492503128e-16,-0.8660254037844387
1.975,40.0,0.9999999999999709,-0.9999999999999413,1.0,-1.0,5.086312035965415e-14,-0.8660254037843877
2.0,40.0,0.999999999999996,-0.9999999999999933,1.0,-1.0,5.807219962959751e-15,-0.8660254037844328
2.025,40.0,0.9999999999999973,-0.999999999999999,1.0,-1.0,2.3314683517128287e-15,-0.8660254037844377
2.05,40.0,1.0,-1.0,1.0,-1.0,0.0,-0.8660254037844386
2.075,40.0,0.9999999999999989,-0.9999999999999994,1.0,-1.0,9.61481343191782e-16,-0.8660254037844382
2.1,40.0,0.999999999999995,-1.0,1.0,-1.0,4.9960036108132044e-15,-0.8660254037844386
2.125,40.0,1.0000000000000053,-1.0000000000000007,1.0,-1.0,5.0292000132872715e-15,-0.8660254037844393
2.15,40.0,0.999999999999984,-0.999999999999996,1.0,-1.0,1.4410677752952196e-14,-0.8660254037844352
2.175,40.0,0.9999999999998805,-0.9999999999999597,1.0,-1.0,1.0526395637684204e-13,-0.8660254037844037
2.2,40.0,0.9999999999996689,-0.9999999999998617,1.0,-1.0,2.880010971646524e-13,-0.8660254037843188
2.225,40.0,1.0000000000004352,-1.0000000000002003,1.0,-1.0,3.7729841222417567e-13,-0.8660254037846121
2.25,40.0,0.9999999999999503,-0.9999999999999765,1.0,-1.0,4.309496242157042e-14,-0.8660254037844182
2.275,40.0,1.0000000000000526,-1.000000000000024,1.0,-1.0,4.563381288434862e-14,-0.8660254037844594
2.3,40.0,0.9999999999999836,-0.9999999999999952,1.0,-1.0,1.4640217660228886e-14,-0.8660254037844345
2.325,40.0,1.0000000000006248,-0.9999999999994925,1.0,-1.0,9.823686773604086e-13,-0.8660254037839991
