name,F0,period,method,rtol,atol,max_step,solver_steps,mu1_abs,mu2_abs,mu3_abs,mu4_abs,closure
pinned,1.2875,40.0,DOP853,1e-09,1e-11,0.05,803,1.389087556038732e-31,1.80485138779769e-35,1.80485138779769e-35,2.345056304569303e-39,6.059199533974825e-12
pinned,1.2875,40.0,DOP853,1e-11,1e-13,0.025,1603,1.38908755606109e-31,1.8048513878449917e-35,1.8048513878449917e-35,2.3450563010552728e-39,6.059849605515346e-12
pinned,1.2875,40.0,Radau,1e-09,1e-11,0.05,1644,1.3907831969755405e-31,1.8074113129144727e-35,1.8074113129144727e-35,2.3565980405708897e-39,6.0828309764483294e-12
w11,1.9625,40.0,DOP853,1e-09,1e-11,0.05,803,4.619756875961527e-24,8.52948376744527e-32,1.3504388400209095e-38,1.0800537604095216e-38,2.2085012839298249e-10
w11,1.9625,40.0,DOP853,1e-11,1e-13,0.025,1603,4.6197568949277515e-24,8.52948376744527e-32,1.2546042473048344e-38,1.2546042473048344e-38,2.2311140384282966e-10
w11,1.9625,40.0,Radau,1e-09,1e-11,0.05,2734,4.619771403629045e-24,8.529492804058092e-32,1.4746940730307856e-38,1.4746940730307856e-38,2.2143178325291363e-10
w12,2.5625,40.0,DOP853,1e-09,1e-11,0.05,803,5.687076411244856e-20,1.346334267465711e-28,5.155699271161466e-35,1.6404459676323145e-35,7.828514473681872e-09
w12,2.5625,40.0,DOP853,1e-11,1e-13,0.025,1603,5.687076400995348e-20,1.346334809133508e-28,3.667376914133877e-35,5.486185282915565e-36,7.80811328152373e-09
w12,2.5625,40.0,Radau,1e-09,1e-11,0.05,3533,5.687098044701409e-20,1.3463330637594958e-28,3.917416753038044e-35,3.917416753038044e-35,7.814801608508278e-09
w23,3.025,40.0,DOP853,1e-09,1e-11,0.05,803,9.46650289931307e-17,1.1365475926929413e-30,1.1365475926929413e-30,8.472657585800894e-35,2.102211727721854e-09
w23,3.025,40.0,DOP853,1e-11,1e-13,0.025,1603,9.466502916576436e-17,1.5284025494781365e-30,1.5284025494781365e-30,8.21348166487474e-34,2.096609586704806e-09
w23,3.025,40.0,Radau,1e-09,1e-11,0.05,3507,9.466507000109037e-17,1.2017810844099004e-30,1.2017810844099004e-30,1.5531493298640102e-32,2.0996347313145665e-09
w34,3.4,40.0,DOP853,1e-09,1e-11,0.05,804,5.214536368570328e-13,6.344561424354203e-28,1.0097419586828951e-28,3.0116865204702802e-30,2.3599586632034234e-08
w34,3.4,40.0,DOP853,1e-11,1e-13,0.025,1604,5.2145363702476e-13,6.42375822318108e-28,1.0097419586828951e-28,9.525558559151989e-30,2.3599122232667074e-08
w34,3.4,40.0,Radau,1e-09,1e-11,0.05,3636,5.214538052383574e-13,6.173310022326947e-28,1.0097419586828951e-28,3.794704807120071e-30,2.360880163908469e-08
w27_high,3.675,70.0,DOP853,1e-09,1e-11,0.05,1403,1.6180605776131191e-15,9.654299026171862e-31,2.01757398255445e-31,1.0258873664425273e-32,8.123337177049214e-07
w27_high,3.675,70.0,DOP853,1e-11,1e-13,0.025,2803,1.618060577246216e-15,1.4791141972893971e-30,9.271408191479043e-32,3.37076939655367e-33,8.123616398699502e-07
w27_high,3.675,70.0,Radau,1e-09,1e-11,0.05,7586,1.6180617910984361e-15,1.9721522630525295e-31,4.1996409116506924e-32,4.1996409116506924e-32,8.125310938285221e-07
