name,F0,period,method,rtol,steps,mu1_abs,mu2_abs,mu3_abs,mu4_abs,closure
pinned,1.2875,40.0,DOP853,1e-09,803,1.3890875560387523e-31,1.8048513877966138e-35,1.8048513877966138e-35,2.345056319677644e-39,6.059311475948131e-12
pinned,1.2875,40.0,DOP853,1e-11,1603,1.3890875560610895e-31,1.8048513878456497e-35,1.8048513878456497e-35,2.3450562990074877e-39,6.059850553793918e-12
pinned,1.2875,40.0,Radau,1e-09,1644,1.3907859920149278e-31,1.8074016290171845e-35,1.8074016290171845e-35,2.3566016260632334e-39,6.082867400037072e-12
w11,1.9625,40.0,DOP853,1e-09,803,4.619756877432109e-24,8.52948376744527e-32,1.647147362249601e-38,1.1359393776051749e-38,1.5458579693442092e-12
w11,1.9625,40.0,DOP853,1e-11,1603,4.619756875480932e-24,8.52948376744527e-32,1.245675733104025e-38,1.245675733104025e-38,1.6768855152969046e-12
w11,1.9625,40.0,Radau,1e-09,2727,4.619771420810599e-24,8.5294926203871e-32,8.009773480538943e-39,8.009773480538943e-39,5.360916499095816e-12
w12,2.5625,40.0,DOP853,1e-09,803,5.687076469831609e-20,1.346334267465711e-28,8.459951717216629e-35,5.563778015665742e-36,6.28649253334372e-11
w12,2.5625,40.0,DOP853,1e-11,1603,5.687076483340592e-20,1.3463349896894402e-28,1.6092755269425673e-34,1.3730658647066134e-35,2.8458046155397492e-11
w12,2.5625,40.0,Radau,1e-09,3553,5.687098080923161e-20,1.3463320406092129e-28,3.339701975761158e-35,8.679864642199253e-36,3.798877018428522e-12
w23,3.025,40.0,DOP853,1e-09,803,9.46650298976687e-17,1.591547449288942e-30,3.3551881865031686e-31,1.3787815115080944e-32,3.811448523975001e-12
w23,3.025,40.0,DOP853,1e-11,1604,9.466502984245693e-17,1.7345720388319666e-30,1.0006597525144478e-31,3.8191483909119063e-32,2.0496887097455564e-12
w23,3.025,40.0,Radau,1e-09,3467,9.466507079962095e-17,1.483919531678208e-30,7.160646930491398e-31,1.4871940041754072e-33,1.8860419528754093e-12
w34,3.4,40.0,DOP853,1e-09,803,5.214535847234697e-13,6.3206906448555215e-28,2.0194839173657902e-28,6.55893970180416e-30,1.721311644378144e-11
w34,3.4,40.0,DOP853,1e-11,1604,5.214535872150277e-13,6.3599787900802815e-28,1.0097419586828951e-28,1.4185283668718995e-30,5.044229920870883e-12
w34,3.4,40.0,Radau,1e-09,3634,5.214537587919038e-13,6.139475720920235e-28,3.8855002043352015e-30,0.0,1.678586567150189e-11
w27_high,3.675,70.0,DOP853,1e-09,1403,1.6180460061385096e-15,9.860761315262648e-31,3.169726927185911e-32,3.169726927185911e-32,5.106926024369138e-10
w27_high,3.675,70.0,DOP853,1e-11,2803,1.6180459989672338e-15,4.930380657631324e-31,1.1252080691324277e-31,1.0983210644545975e-32,9.244480991007684e-11
w27_high,3.675,70.0,Radau,1e-09,7579,1.6180472113112742e-15,3.944304526105059e-31,4.2154707194401614e-32,4.075461290093585e-33,3.7141398727120644e-10
