name,F0,period,steps_per_cycle,u,v,m,n,lock_residual,expected_winding
pinned,1.2875,40.0,1000,9.983468609995518e-18,-1.9880629856621744e-17,0,0,1.7217184580013157e-17,1
pinned,1.2875,40.0,2000,-2.69382180213976e-17,5.390805551801841e-17,0,0,4.668574822414351e-17,1
pinned,1.2875,40.0,4000,-1.711793432422503e-17,3.415261854462476e-17,0,0,2.9577064555765704e-17,1
pinned,1.2875,40.0,8000,2.0099898562298558e-18,-4.031210839944711e-18,0,0,3.4911355117815115e-18,1
w11,1.9625,40.0,1000,0.9999999999999996,-0.999999999999999,1,-1,8.671119018262734e-16,1
w11,1.9625,40.0,2000,1.0000000000000009,-1.0000000000000013,1,-1,1.1749496091904413e-15,1
w11,1.9625,40.0,4000,0.9999999999999998,-0.9999999999999994,1,-1,4.839349969133126e-16,1
w11,1.9625,40.0,8000,1.0,-1.0,1,-1,0.0,1
w12,2.5625,40.0,1000,1.0000000000000004,-2.000000000000001,1,-2,7.691850745534255e-16,1
w12,2.5625,40.0,2000,1.0000000000000004,-2.000000000000001,1,-2,7.691850745534255e-16,1
w12,2.5625,40.0,4000,0.9999999999999996,-1.999999999999999,1,-2,9.678699938266251e-16,1
w12,2.5625,40.0,8000,1.0000000000000004,-2.000000000000001,1,-2,7.691850745534255e-16,1
w23,3.025,40.0,1000,1.999999999999997,-2.9999999999999942,2,-3,5.004631229248277e-15,1
w23,3.025,40.0,2000,2.0,-3.0000000000000004,2,-3,4.4408920985006257e-16,1
w23,3.025,40.0,4000,2.0000000000000036,-3.000000000000007,2,-3,6.153480596427404e-15,1
w23,3.025,40.0,8000,2.0000000000000004,-3.0000000000000018,2,-3,1.6011864169946884e-15,1
w34,3.4,40.0,1000,2.9999999999999853,-3.999999999999977,3,-4,2.0238972924434934e-14,1
w34,3.4,40.0,2000,3.0000000000000164,-4.000000000000026,3,-4,2.258751403877127e-14,1
w34,3.4,40.0,4000,3.00000000000002,-4.000000000000029,3,-4,2.5936482740094458e-14,1
w34,3.4,40.0,8000,2.9999999999999956,-3.999999999999992,3,-4,6.936895214610187e-15,1
w27_high,3.675,70.0,1000,2.000000000000603,-7.000000000000089,2,-7,5.63934547790525e-13,1
w27_high,3.675,70.0,2000,1.9999999999996703,-6.999999999999954,2,-7,3.0924117929162726e-13,1
w27_high,3.675,70.0,4000,1.9999999999998557,-6.999999999999979,2,-7,1.3493955917201486e-13,1
w27_high,3.675,70.0,8000,2.0000000000012603,-7.0000000000001785,2,-7,1.1812248744770523e-12,1
