T,n,mean_u,mean_v,norm,u_ci_lo_union,u_ci_hi_union,v_ci_lo_union,v_ci_hi_union,hotelling_T2,hotelling_crit95,hotelling_zero_excluded,bootstrap_ellipse_zero_excluded,simultaneous_rectangle_zero_excluded,Pneg,Ptarget,seed1_zero_d2,seed2_zero_d2,seed3_zero_d2,seed1_q95,seed2_q95,seed3_q95
0.02,1000,1.2193931256209958,-2.4280458852815356,2.7170436904555544,,,,,128637.68760057619,6.015506913325657,True,,,0.9984,0.04259999999999999,,,,,,
0.04,1000,1.0724507928452347,-2.1551714536890123,2.407262905847715,,,,,46714.33845685342,6.015506913325657,True,,,0.9745,0.06780000000000001,,,,,,
0.06,1000,0.9257272658349116,-1.856100809524456,2.0741458930913037,,,,,23190.91229783541,6.015506913325657,True,,,0.9301000000000001,0.08070000000000001,,,,,,
0.1,1000,0.6678669720675767,-1.3536387214044334,1.509431707784139,,,,,8314.746618944486,6.015506913325657,True,,,0.8158000000000002,0.07400000000000001,,,,,,
0.16,1000,0.4408469895330148,-0.8754276955792593,0.9801631080425004,,,,,2351.8865223743023,6.015506913325657,True,,,0.6851,0.053200000000000004,,,,,,
0.24,1000,0.2919170043651714,-0.5415098491912941,0.6151816432637709,,,,,627.5760375357079,6.015506913325657,True,,,0.5989,0.0369,,,,,,
0.32,1000,0.2150746640656875,-0.34675448451651847,0.408038948698877,,,,,184.36334841636375,6.015506913325657,True,,,0.5552,0.029000000000000005,,,,,,
0.5,1000,0.1123919648528508,-0.14424676946801301,0.18286356735403186,0.04708518842793124,0.1766404307188889,-0.2092854362372183,-0.07832281911578058,20.608582108109758,6.015506913325657,True,True,True,0.5176,0.015,20.892395794923463,20.878686958784854,20.62368649297523,6.134452934357512,6.074251277333301,5.928335647461096
0.55,1000,0.09614141311470326,-0.1100215774951366,0.14610927017205438,0.02847369726012864,0.1650413628120525,-0.17833908888829048,-0.04252265740609322,11.946944209057627,6.015506913325657,True,True,True,0.5099,0.012600000000000002,12.070108039272865,12.027402474270271,11.913953026346238,5.948446503002765,6.091332744710967,5.970922817184065
0.6,1000,0.09038924191563542,-0.08589494120259923,0.12469224506071436,0.018129668907582577,0.16334143279578658,-0.15762289515123415,-0.01458889104657502,8.02910085541402,6.015506913325657,True,True,True,0.5059,0.013300000000000001,7.803967822901096,8.219242285739025,7.989937233377211,6.022157563113666,5.9823532933258665,5.877209867303642
0.65,1000,0.09501423760142748,-0.06515894416735771,0.11521021374854469,0.017427955292172725,0.17148208176602822,-0.1392966086740124,0.00859989169257104,6.339920115753912,6.015506913325657,True,True,True,0.5067,0.011699999999999999,6.3075820891768775,6.283894065692533,6.297986843611439,6.031878974987635,5.928524838115342,5.977089933548636
0.7,1000,0.06951226813736108,-0.03986141787293427,0.0801304440050164,-0.011859717417011344,0.15092264019747942,-0.11981147470219598,0.04008353959628084,2.886702150109799,6.015506913325657,False,False,False,0.5012,0.0119,2.9049030939041476,2.8439587231953496,2.933752759507859,6.001087467602779,6.051697114862001,5.996761203788494
