T,n,dt,burn_cycles,measure_cycles,mean_u,mean_v,mean_dy,P_neg_y,P_target,mean_round_residual,mean_v_ci_lo,mean_v_ci_hi,P_neg_y_ci_lo,P_neg_y_ci_hi,P_target_ci_lo,P_target_ci_hi
0.02,1000,0.02,10,10,1.2193931256209958,-2.428045885281536,-2.102749418208086,0.9984,0.0425999999999999,0.1912830949060127,-2.44108263613608,-2.414688685986752,0.9976,0.9991,0.0387999999999999,0.0465
0.04,1000,0.02,10,10,1.0724507928452347,-2.1551714536890123,-1.866433228405722,0.9745,0.0678,0.2039160551214981,-2.1743201879678904,-2.1357527346743925,0.9714,0.9775,0.0628,0.0729024999999999
0.06,1000,0.02,10,10,0.9257272658349116,-1.856100809524456,-1.6074304530330406,0.9301,0.0807,0.2245457439164181,-1.8802057765112457,-1.8321185291917168,0.9251,0.9350000000000002,0.0756,0.0858
0.1,1000,0.02,10,10,0.6678669720675767,-1.3536387214044334,-1.1722855202825258,0.8158000000000002,0.074,0.2597958644925778,-1.3820309681938678,-1.3241932635899152,0.8081975,0.8232025000000001,0.0688,0.0791024999999999
0.16,1000,0.02,10,10,0.4408469895330148,-0.8754276955792593,-0.7581426235481087,0.6851,0.0532,0.2980458436536287,-0.910570516494876,-0.8400256342835817,0.6759,0.6944,0.0487,0.0578
0.24,1000,0.02,10,10,0.2919170043651714,-0.5415098491912941,-0.4689612857991409,0.5989,0.0369,0.3259886976233087,-0.5837481553022814,-0.4996368444395522,0.5892999999999999,0.6085,0.0332,0.0406
0.32,1000,0.02,10,10,0.2150746640656875,-0.3467544845165184,-0.3002981924674827,0.5552,0.029,0.3413362826631884,-0.3967574676221828,-0.2963415683706712,0.5452,0.5651,0.0257,0.0323024999999999
0.5,1000,0.02,10,10,0.1123919648528508,-0.144246769468013,-0.1249213667731368,0.5176,0.015,0.3566552471984184,-0.2082771875148217,-0.0788232079339696,0.5079,0.5274,0.0127,0.0174
0.55,1000,0.02,10,10,0.0961414131147032,-0.1100215774951366,-0.0952814810752265,0.5099,0.0126,0.3600570714895112,-0.1760516191773861,-0.0421100074243722,0.5,0.5195,0.0104,0.0148
0.6,1000,0.02,10,10,0.0903892419156354,-0.0858949412025992,-0.0743872011380216,0.5059,0.0133,0.3606916643364398,-0.1550166654868601,-0.0156668064900986,0.4965,0.5151,0.0111,0.0156
0.65,1000,0.02,10,10,0.0950142376014274,-0.0651589441673577,-0.0564293009327036,0.5067,0.0116999999999999,0.3626924138393371,-0.1365141209785188,0.0075858812550733,0.4971,0.5161999999999999,0.0096,0.0139
0.7,1000,0.02,10,10,0.069512268137361,-0.0398614178729342,-0.0345210005088281,0.5012,0.0119,0.3636955190901964,-0.1175054966049318,0.0390168942697208,0.4916,0.511,0.0097,0.0141
