T,n,mean_v,P_neg_y,P_target,mean_v_ci_lo,mean_v_ci_hi,P_neg_y_ci_lo,P_neg_y_ci_hi,P_target_ci_lo,P_target_ci_hi
0.02,1000,-2.4280458852815356,0.9984,0.04259999999999999,-2.4409766370243102,-2.414658636893062,0.9975999999999999,0.9991,0.038700000000000005,0.046599999999999996
0.04,1000,-2.1551714536890123,0.9745,0.06780000000000001,-2.175148153389964,-2.135452808034974,0.9715,0.9775,0.0629,0.073
0.06,1000,-1.856100809524456,0.9301000000000001,0.08070000000000001,-1.8801913948980535,-1.8323808405040347,0.9250000000000002,0.9350000000000002,0.0756,0.0858
0.1,1000,-1.3536387214044334,0.8158000000000002,0.07400000000000001,-1.3824546491617815,-1.324738411163582,0.8079000000000001,0.8233,0.0688,0.07930000000000001
0.16,1000,-0.8754276955792593,0.6851,0.053200000000000004,-0.9100587220839863,-0.8396477945359317,0.6758,0.6944,0.0487,0.05759999999999999
0.24,1000,-0.5415098491912941,0.5989,0.0369,-0.5843486988213229,-0.49908345264833237,0.5892999999999999,0.6088,0.033299999999999996,0.040600000000000004
0.32,1000,-0.34675448451651847,0.5552,0.029000000000000005,-0.3957789154419137,-0.2964928891546595,0.5456,0.565,0.0256,0.0324
0.5,1000,-0.14424676946801301,0.5176,0.015,-0.21055270767773887,-0.07907251656050508,0.5078975,0.5276025,0.0128,0.0174
0.55,1000,-0.1100215774951366,0.5099,0.012600000000000002,-0.17607526377713617,-0.042325839823240306,0.5001,0.5197999999999999,0.0105,0.0148
0.6,1000,-0.08589494120259923,0.5059,0.013300000000000001,-0.15648951169457295,-0.015705503857729362,0.4963,0.5154,0.011100000000000002,0.015600000000000001
0.65,1000,-0.06515894416735771,0.5067,0.011699999999999999,-0.13760820234732707,0.00944178425597124,0.4972,0.5164000000000001,0.009699999999999999,0.013800000000000002
0.7,1000,-0.03986141787293427,0.5012,0.0119,-0.11806489821709702,0.03902372667324178,0.4915,0.5108,0.009800000000000001,0.014199999999999999
