T,burn,start,n,mean_u,se_u,mean_v,se_v
0.65,10,orbit,200,0.09469674981916378,0.08734726534145205,0.012135977983463928,0.08159571742947604
0.65,10,ground,200,0.0913723141916552,0.08736449909972566,0.012826212050099522,0.08144700667133295
0.65,30,orbit,200,0.09521449262534772,0.08447075423042794,-0.09532164644143844,0.09270191210277129
0.65,30,ground,200,0.09521449262534976,0.0844707542304278,-0.09532164644143791,0.09270191210277126
0.65,60,orbit,200,0.02143851595320383,0.08350208135025322,-0.03937185068678071,0.08515312544399443
0.65,60,ground,200,0.021438515953203875,0.08350208135025321,-0.039371850686780605,0.08515312544399442
0.7,10,orbit,200,0.07711210290938592,0.08948311325203037,0.020029716695117116,0.08166877472139077
0.7,10,ground,200,0.07517922330935116,0.08928329825288554,0.022642148439869926,0.08166265394115182
0.7,30,orbit,200,0.07036432185256114,0.09607384097913421,-0.04904924564785233,0.09403397789869568
0.7,30,ground,200,0.07036432183331702,0.09607384098013332,-0.049049245609221276,0.09403397790180273
0.7,60,orbit,200,0.062237193133170055,0.09240261075677175,-0.0341394874264809,0.08942401761296218
0.7,60,ground,200,0.06223719313317056,0.09240261075677177,-0.034139487426480826,0.08942401761296218
