T,comparison,delta_u,delta_v,delta_norm,T2,crit,drift_detected
0.02,60to100,-0.010999749277937364,-0.0045399134868463545,0.011899802462458484,1.3680474223119499,6.039755055454466,False
0.02,100to140,0.0027549073481717913,-0.0007284816714163327,0.0028495964701340548,0.05189498893111815,6.039755055454466,False
0.04,60to100,0.016293258148934744,0.017141341400810767,0.023649436486457297,4.750274547786744,6.039755055454466,False
0.04,100to140,-0.0007833986724390962,-0.02835777647777392,0.02836859531671188,5.564154066720174,6.039755055454466,False
0.06,60to100,0.028175515282152664,0.005043513406642765,0.028623359147692703,4.03463670489304,6.039755055454466,False
0.06,100to140,-0.02274418170994644,-0.02618433903270792,0.034683099807180644,8.247476737639275,6.039755055454466,True
0.1,60to100,0.008094700378931388,0.014823347655610237,0.01688951775343978,1.222492369732641,6.039755055454466,False
0.1,100to140,-0.025067265141145913,-0.029249816577503352,0.03852167638452536,7.186051864772776,6.039755055454466,True
0.16,60to100,0.018674692884626587,0.012534535454090797,0.022491303505688193,1.5128126842370964,6.039755055454466,False
0.16,100to140,-0.0010422340438403937,-0.033750704005407375,0.033766792454462735,2.5789287531036136,6.039755055454466,False
0.24,60to100,0.04157485711533619,-0.004796936712359323,0.0418506791579659,2.160091761225658,6.039755055454466,False
0.24,100to140,-0.019926809041063236,-0.011573274039078096,0.023043836280936352,1.0399206348223642,6.039755055454466,False
0.32,60to100,0.06044838358833077,-0.009655637201045165,0.06121469111414501,3.4324443761979677,6.039755055454466,False
0.32,100to140,-0.01754184864194127,-0.0016207164551693563,0.017616559698330248,0.37858861922785886,6.039755055454466,False
0.5,60to100,0.07233729768274565,-0.040125257860677915,0.08272074077538265,2.343577933890588,6.039755055454466,False
0.5,100to140,0.004193318319030379,-0.03953291731045751,0.039754691164693844,0.9096521247475622,6.039755055454466,False
0.55,60to100,0.05066652840411198,-0.011562453125662859,0.051969100654214104,1.1611105971751488,6.039755055454466,False
0.55,100to140,0.006491371060496484,-0.04858646255035149,0.04901818276315187,1.2378528849767736,6.039755055454466,False
0.6,60to100,0.08396471283499653,-0.02268935239655331,0.08697631696984191,2.6498203591270824,6.039755055454466,False
0.6,100to140,0.006482449816327252,-0.028408586142711918,0.029138804406651363,0.35041873322276124,6.039755055454466,False
0.65,60to100,0.049709778701021654,0.0010400882065327796,0.04972065850310024,1.105987493293751,6.039755055454466,False
0.65,100to140,0.04606516277384112,-0.05360470167000017,0.07067859126008523,1.2157973804189972,6.039755055454466,False
0.7,60to100,0.08641873490704576,-0.016779706844571963,0.0880327002012549,2.592972011475497,6.039755055454466,False
0.7,100to140,0.020775776595370915,-0.05880302665762209,0.062365285513960214,1.1314767580386018,6.039755055454466,False
