T,window,burn,measure,n,mean_u,mean_v,norm,se_u,se_v,hotelling_T2,crit95,zero_excluded_hotelling,bootstrap_zero_d2,bootstrap_q95,zero_excluded_bootstrap,P_neg_y,P_target
0.5,b10_m20,10,20,500,0.1494124405852917,-0.15391517889653775,0.214508647136675,0.03177542201116498,0.034649828108804764,27.137598369197175,6.039755055454466,True,,,,0.5137,0.0159
0.5,b30_m20,30,20,500,0.0721486640843641,-0.11305220785034116,0.13411275639921488,0.03361408875488521,0.03422633068686632,11.148230660512027,6.039755055454466,True,,,,0.5113,0.0153
0.5,b60_m20,60,20,500,0.019287313896086455,-0.10967623342659888,0.11135922348854618,0.03360866270505922,0.033376565565083456,12.196717933099206,6.039755055454466,True,12.216746079450541,5.9537090220458815,True,0.514,0.0151
0.5,b100_m20,100,20,500,0.09162461157883203,-0.1498014912872768,0.17560055876580777,0.03281270505411394,0.0313606190476854,23.2539701244332,6.039755055454466,True,23.564014381115392,6.024965533146445,True,0.5184,0.0153
0.5,b140_m20,140,20,500,0.0958179298978623,-0.18933440859773426,0.21219942028423508,0.03196840498610946,0.03285575313932867,33.20750541048422,6.039755055454466,True,33.600199970394485,5.975982166843794,True,0.5243,0.0178
0.55,b10_m20,10,20,500,0.14556877953416164,-0.12135838000636924,0.18952077979165155,0.033172450123351786,0.03544475586600104,21.049560512047137,6.039755055454466,True,,,,0.5075,0.0121
0.55,b30_m20,30,20,500,0.06493599558447563,-0.08995637388402282,0.1109451789169279,0.035525597048399256,0.03583042558876691,6.749943523426285,6.039755055454466,True,,,,0.5078,0.0131
0.55,b60_m20,60,20,500,0.024210878801314582,-0.10294054204539309,0.10574933498103563,0.03377715383753077,0.03460330529817666,9.470735282728995,6.039755055454466,True,9.501583352680703,5.972974551295455,True,0.5136,0.014
0.55,b100_m20,100,20,500,0.07487740720542665,-0.11450299517105596,0.1368121413214125,0.034734508623203764,0.03327399465093603,12.21468143488406,6.039755055454466,True,12.206775047159237,6.052857776541917,True,0.5114,0.0152
0.55,b140_m20,140,20,500,0.08136877826592305,-0.16308945772140743,0.18226093738470592,0.03461204896350856,0.03481212064934089,22.02770355252912,6.039755055454466,True,21.856336010749214,6.030094213819854,True,0.5176,0.0135
0.6,b10_m20,10,20,500,0.1302605784723977,-0.08270455818681231,0.15429796579618119,0.034747549361455965,0.036555938664222895,14.20557572089279,6.039755055454466,True,,,,0.5066,0.0142
0.6,b30_m20,30,20,500,0.04844135759554003,-0.06763853509585684,0.08319577246238201,0.03761483755994011,0.03801705451720627,3.3768196161933846,6.039755055454466,False,,,,0.5099,0.0119
0.6,b60_m20,60,20,500,-0.010007517805607866,-0.0826158691323992,0.0832197827750786,0.036888965382605055,0.036725502814045734,7.214878573035408,6.039755055454466,True,7.341621337510019,6.027465863149625,True,0.515,0.0141
0.6,b100_m20,100,20,500,0.07395719502938874,-0.10530522152895243,0.12868121998907528,0.03670853232762773,0.03498674831886549,9.617741914309565,6.039755055454466,True,9.77903269891311,6.084539371689884,True,0.5148,0.0128
0.6,b140_m20,140,20,500,0.080439644845716,-0.13371380767166435,0.15604460524144936,0.03542425143528645,0.03591369744306618,13.949327585519313,6.039755055454466,True,14.106018191411628,5.891542847480426,True,0.5178,0.0132
0.65,b10_m20,10,20,500,0.13789677598754937,-0.08400177241110236,0.16146770140175717,0.03724531442617587,0.0393697237963665,13.741567700875866,6.039755055454466,True,,,,0.5023,0.0127
0.65,b30_m20,30,20,500,0.029008910537590596,-0.04515979469036792,0.0536742391381016,0.039017778924776036,0.03871497922910262,1.3923547517431094,6.039755055454466,False,,,,0.5014,0.012
0.65,b60_m20,60,20,500,-0.013406269731560587,-0.05749512092544259,0.0590374203225939,0.03820157359110238,0.03809205178957954,3.8436879641622435,6.039755055454466,False,3.794325801631686,5.981338442258563,False,0.5082,0.0123
0.65,b100_m20,100,20,500,0.036303508969461155,-0.056455032718909934,0.06712015705277319,0.037771149231962516,0.036323748628710725,2.501573938054151,6.039755055454466,False,2.4986545070809467,6.024234641194446,False,0.5034,0.0108
0.65,b140_m20,140,20,500,0.08236867174330233,-0.11005973438891015,0.13746906276873114,0.037250973084370274,0.038427694242592556,8.84286581477267,6.039755055454466,True,8.884536321886767,6.061823707548101,True,0.5112,0.0114
0.7,b10_m20,10,20,500,0.1321259998076085,-0.08178333403381696,0.1553891680615063,0.039534055380545476,0.0424619958650373,11.224287089330916,6.039755055454466,True,,,,0.5036,0.0109
0.7,b30_m20,30,20,500,0.029350005632871354,-0.029642499138018162,0.04171451289176211,0.04073989609694158,0.04167343274758262,0.6835219763827676,6.039755055454466,False,,,,0.5037,0.0121
0.7,b60_m20,60,20,500,-0.03224801317358696,-0.03473985853445101,0.04740033886627296,0.03986605146901953,0.03957409682988077,2.8188954167535347,6.039755055454466,False,2.7993648050461277,5.875186787969873,False,0.5048,0.0111
0.7,b100_m20,100,20,500,0.05417072173345874,-0.051519565379022955,0.07475782708163232,0.039775372774517245,0.038614145248869164,2.493332937391514,6.039755055454466,False,2.5519873738134136,5.94494304508914,False,0.5069,0.0105
0.7,b140_m20,140,20,500,0.07494649832882964,-0.11032259203664498,0.13337185582212338,0.039835912876338794,0.04042386549741224,7.67531368067226,6.039755055454466,True,7.828759654567397,6.1113794519920885,True,0.5143,0.0127
