T,from_window,to_window,delta_u,delta_v,delta_norm,se_delta_u,se_delta_v,paired_T2,crit95,drift_detected
0.5,b30_m20,b60_m20,-0.05286135018827761,0.003375974423742383,0.052969043289807304,0.04830371039324441,0.04866204973879917,1.5484972823712648,6.039755055454466,False
0.5,b60_m20,b100_m20,0.07233729768274565,-0.040125257860677915,0.08272074077538265,0.04748130438006112,0.047472562526601945,2.343577933890588,6.039755055454466,False
0.5,b100_m20,b140_m20,0.004193318319030379,-0.03953291731045751,0.039754691164693844,0.04628865774200343,0.04571042285100179,0.9096521247475622,6.039755055454466,False
0.55,b30_m20,b60_m20,-0.04072511678316102,-0.012984168161370362,0.04274486822818439,0.04978959561331826,0.050250676180485995,1.3109095732837184,6.039755055454466,False
0.55,b60_m20,b100_m20,0.05066652840411198,-0.011562453125662859,0.051969100654214104,0.04906991437697787,0.050020576915027835,1.1611105971751488,6.039755055454466,False
0.55,b100_m20,b140_m20,0.006491371060496484,-0.04858646255035149,0.04901818276315187,0.04914656501717404,0.048315122692011554,1.2378528849767736,6.039755055454466,False
0.6,b30_m20,b60_m20,-0.058448875401147925,-0.014977334036542292,0.060337314909607,0.05421953372250052,0.05364675267400204,2.119241417286479,6.039755055454466,False
0.6,b60_m20,b100_m20,0.08396471283499653,-0.02268935239655331,0.08697631696984191,0.05276123216582909,0.052835382562543255,2.6498203591270824,6.039755055454466,False
0.6,b100_m20,b140_m20,0.006482449816327252,-0.028408586142711918,0.029138804406651363,0.051192621009732785,0.05076733358396935,0.35041873322276124,6.039755055454466,False
0.65,b30_m20,b60_m20,-0.042415180269151156,-0.01233532623507472,0.04417247775018187,0.056626105757565603,0.054817157239655454,1.1168582315005315,6.039755055454466,False
0.65,b60_m20,b100_m20,0.049709778701021654,0.0010400882065327796,0.04972065850310024,0.05458466406588485,0.05553229430735236,1.105987493293751,6.039755055454466,False
0.65,b100_m20,b140_m20,0.04606516277384112,-0.05360470167000017,0.07067859126008523,0.05281909735073811,0.052945558354353876,1.2157973804189972,6.039755055454466,False
0.7,b30_m20,b60_m20,-0.06159801880645835,-0.005097359396432831,0.0618085673163292,0.05875524363485997,0.05884660683351065,1.7155360996046836,6.039755055454466,False
0.7,b60_m20,b100_m20,0.08641873490704576,-0.016779706844571963,0.0880327002012549,0.05648254911526333,0.05754825039506748,2.592972011475497,6.039755055454466,False
0.7,b100_m20,b140_m20,0.020775776595370915,-0.05880302665762209,0.062365285513960214,0.0561506297687304,0.05622644991249845,1.1314767580386018,6.039755055454466,False
